Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
855,,,,,,,,,,,,,,,Center burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,Rear door closed,,Straight stream rotated left at Room A,"Monitor on, narrow fog, 95 gpm",,,,,,,Right burner ignited,,,All burners off,,,,,,,,,,,,,,,,,,,,,,
885,,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,Water flow stopped,,Fixed narrow fog at Room B ceiling,,,"Monitor on, narrow fog, 95 gpm",,,,,,,,,,,,,,,,,,,,,,,,,All burners off,,,,,
930,,,,,,,Narrow fog rotated left at Room B ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,,,,,,,,"Monitor on, changed spray pattern to wide fog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,Basement CD door opened,,,,,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire,,,,,,,,
955,Gas-powered PPV fan, high throttle,,,,,,,,,,,,,,,,,,,,Fire out,,,,,,,,,,,,,,,,,,
960,,,,,,,Fixed narrow fog at Room A,,"Monitor on, straight stream, 95 gpm, mid ceiling",Monitor off,,,,,,,,,,,,,,,,,,,,,,,,,,1st floor CD door opened,,,,
