Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod11,16,BDP_A18_1,Voltage,,,0.03 m BC,,99.52,-248.8,BDP 18 0.03 m BC West
SC1Mod11,17,BDP_A18_2,Voltage,,,0.30 m BC,,99.52,-248.8,BDP 18 0.30 m BC West
SC1Mod11,18,BDP_A18_3,Voltage,,,0.61 m BC,,99.52,-248.8,BDP 18 0.61 m BC West
SC1Mod11,19,BDP_A18_4,Voltage,,,0.91 m BC,,99.52,-248.8,BDP 18 0.91 m BC West
SC1Mod11,20,BDP_A18_5,Voltage,,,1.22 m BC,,99.52,-248.8,BDP 18 1.22 m BC West
SC1Mod11,21,BDP_A18_6,Voltage,,,1.52 m BC,,99.52,-248.8,BDP 18 1.52 m BC West
SC1Mod11,22,BDP_A18_7,Voltage,,,1.83 m BC,,99.52,-248.8,BDP 18 1.83 m BC West
SC1Mod11,23,BDP_A18_8,Voltage,,,2.13 m BC,,99.52,-248.8,BDP 18 2.13 m BC West
SC1Mod11,24, TC_S_1,TC,,,,,1,0,TC S 1
SC1Mod11,25, TC_S_2,TC,,,,,1,0,TC S 2
SC1Mod11,26, TC_S_3,TC,,,,,1,0,TC S 3
SC1Mod11,27, TC_S_4,TC,,,,,1,0,TC S 4
SC1Mod11,28, TC_S_5,TC,,,,,1,0,TC S 5
SC1Mod11,29, TC_S_6,TC,,,,,1,0,TC S 6
SC1Mod11,30, TC_S_7,TC,,,,,1,0,TC S 7
SC1Mod11,31, TC_S_8,TC,,,,,1,0,TC S 8
SC1Mod12,0,TC_A12_1,TC,,,,,1,0,TC 12 1 West
SC1Mod12,1,TC_A12_2,TC,,,,,1,0,TC 12 2 West
SC1Mod12,2,TC_A12_3,TC,,,,,1,0,TC 12 3 West
SC1Mod12,3,TC_A12_4,TC,,,,,1,0,TC 12 4 West
SC1Mod12,4,TC_A12_5,TC,,,,,1,0,TC 12 5 West
SC1Mod12,5,TC_A12_6,TC,,,,,1,0,TC 12 6 West
SC1Mod12,6,BDP_A12_1,Voltage,,,,,99.52,-248.8,BDP 12 1 West
SC1Mod12,7,BDP_A12_2,Voltage,,,,,99.52,-248.8,BDP 12 2 West
SC1Mod12,8,BDP_A12_3,Voltage,,,,,99.52,-248.8,BDP 12 3 West
