Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod11,13,BDP_A14_6,99.52,-248.8,BDP 14 1.42 m BS West,BDP A14,Velocity
SC1Mod11,14,BDP_A14_7,99.52,-248.8,BDP 14 1.68 m BS West,BDP A14,Velocity
SC1Mod11,15,BDP_A14_8,99.52,-248.8,BDP 14 1.95 m BS West,BDP A14,Velocity
SC1Mod11,16,BDP_A18_1,99.52,-248.8,BDP 18 0.03 m BC West,BDP A18,Velocity
SC1Mod11,17,BDP_A18_2,99.52,-248.8,BDP 18 0.30 m BC West,BDP A18,Velocity
SC1Mod11,18,BDP_A18_3,99.52,-248.8,BDP 18 0.61 m BC West,BDP A18,Velocity
SC1Mod11,19,BDP_A18_4,99.52,-248.8,BDP 18 0.91 m BC West,BDP A18,Velocity
SC1Mod11,20,BDP_A18_5,99.52,-248.8,BDP 18 1.22 m BC West,BDP A18,Velocity
SC1Mod11,21,BDP_A18_6,99.52,-248.8,BDP 18 1.52 m BC West,BDP A18,Velocity
SC1Mod11,22,BDP_A18_7,99.52,-248.8,BDP 18 1.83 m BC West,BDP A18,Velocity
SC1Mod11,23,BDP_A18_8,99.52,-248.8,BDP 18 2.13 m BC West,BDP A18,Velocity
SC1Mod11,24,TC_S_1,1,0,TC Gear 1,TC Gear,Temperature
SC1Mod11,25,TC_S_2,1,0,TC Gear 2,TC Gear,Temperature
SC1Mod11,26,TC_S_3,1,0,TC Gear 3,TC Gear,Temperature
SC1Mod11,27,TC_S_4,1,0,TC Gear 4,TC Gear,Temperature
SC1Mod11,28,TC_S_5,1,0,TC Gear 5,TC Gear,Temperature
SC1Mod11,29,TC_S_6,1,0,TC Gear 6,TC Gear,Temperature
SC1Mod11,30,TC_S_7,1,0,TC Manikin 1,TC Manikin,Temperature
SC1Mod11,31,TC_S_8,1,0,TC Manikin 2,TC Manikin,Temperature
