Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
20,76.4494196,42.21457,27.067988,22.8169982,21.60907,20.689483,20.4496983,19.9729048,19.7582886,19.5893195,19.5229583,19.4693107,20.7858676,19.7236872,19.6777306,19.4334825,19.3787249,19.1958771,19.2551828,18.9457722,18.8700383,19.1557744,19.0809849,19.0142672,21.6898818,22.0855655,21.2530673,20.4580797,19.8256503,19.7872279,19.2284366,19.9562537,19.3177076,19.181517,19.8289262,19.2170617,23.2009646,24.7079804,24.8974224,24.2707292,23.8250993,22.7027155,22.0543193,21.5754545,21.1688932,20.6540526,20.641809,20.3619983,22.0204526,24.8594981,22.561927,20.2936362,20.004625,19.9764042,19.9240166,19.9679454,19.6174513,19.6068699,19.3145431,19.5718912,0.039757386,-0.025568669,0.1833035,0.0033001
21,74.1319842,41.2172664,26.6532916,22.5617197,21.4554669,20.6280021,20.3893395,19.9664492,19.7624685,19.586281,19.5153617,19.4685522,20.8594955,19.7331845,19.6849442,19.4293049,19.4018954,19.2205822,19.3076361,18.966677,18.8822022,19.1595727,19.0935234,19.032885,21.8477226,22.1465795,21.3016355,20.4853984,19.8142678,19.7974839,19.249338,19.9710681,19.336308,19.1978518,19.821702,19.2079334,23.8532826,27.0271684,26.1541546,24.7076326,24.9208469,23.3432238,22.0126022,21.3684251,20.9527253,20.603939,20.5571603,20.2929206,22.2583774,24.891984,22.7092291,20.3035011,20.0027174,19.9881717,19.9088226,19.9713539,19.6189611,19.5962301,19.3050409,19.5604924,0.039083532,-0.016156889,0.1832919,0.0033117
22,72.73638,39.7517667,25.9197691,22.3609241,21.3371046,20.5767482,20.3714794,19.9755486,19.7696694,19.5874049,19.5206639,19.4537256,20.9600427,19.7741869,19.7050464,19.4676597,19.4197281,19.244131,19.327383,18.9571579,18.8722991,19.1637351,19.0775484,19.0252694,21.8837454,22.2178036,21.3054108,20.519147,19.8271505,19.8232894,19.2637584,19.9847259,19.3616228,19.206461,19.8386586,19.192602,24.1887049,27.9509621,26.8552066,24.7547728,24.7475927,23.4108696,22.0916934,21.3872527,20.7929158,20.5051107,20.4522633,20.1960102,22.5222669,24.933413,22.8079632,20.290082,20.1168875,19.9720884,19.9132455,19.9613487,19.6165484,19.5926778,19.2976883,19.5706106,0.050202123,-0.003294123,0.1851728,0.0014308
23,75.4270747,41.25042,26.3421707,22.2354148,21.2710004,20.5413511,20.3497418,19.9674732,19.7745092,19.5838867,19.5118268,19.4486901,21.0957868,19.8420711,19.7599882,19.5078313,19.42836,19.2520111,19.3379227,18.9730186,18.863836,19.1662945,19.0728883,19.022508,21.9875906,22.3219064,21.3713291,20.5664699,19.8297064,19.8235705,19.2701177,19.9777902,19.3673525,19.191292,19.8512231,19.192635,24.7595861,28.3329137,28.840317,25.72451,26.0643678,23.937962,22.349777,21.5533585,20.794465,20.6042192,20.4841812,20.2328524,22.7302163,25.0558509,22.6943849,20.34782,20.1362946,19.9744014,19.9064447,19.9613842,19.6017783,19.6056236,19.3053175,19.5748197,0.04716978,-0.00156863,0.1857151,0.0008885
24,88.8373941,44.3352367,27.3161539,22.1714886,21.2491083,20.5183092,20.2989795,19.9330193,19.758286,19.5630987,19.4963607,19.4309529,21.2211019,19.8999082,19.8215904,19.5352956,19.4478412,19.2391967,19.3258686,18.9685686,18.869649,19.1709666,19.0676798,18.9971628,22.1462555,22.4890953,21.4177221,20.6102096,19.8286777,19.8115265,19.2694702,19.9763798,19.3500351,19.1933447,19.8441607,19.172269,25.7405197,29.4543913,30.2014833,27.1802365,27.7141798,25.2324034,22.578379,21.6410839,20.7210276,20.5333889,20.435747,20.2610957,22.951124,25.0945319,22.6422724,20.3768215,20.1053082,19.9897478,19.9187491,19.9691325,19.6064867,19.5970479,19.3020583,19.5677607,0.052560612,-0.001098041,0.1858074,0.0007962
25,91.9422088,42.8221018,27.0273228,22.1514838,21.1964539,20.5096574,20.2664067,19.9293001,19.7427898,19.5643176,19.4945404,19.4298917,21.3759596,19.9941657,19.8930252,19.5558885,19.4577959,19.2491585,19.3377303,18.9686476,18.8788494,19.1729435,19.0723149,19.0112979,22.3158635,22.6312326,21.5149158,20.6391163,19.8378616,19.8271729,19.2741043,19.9927886,19.3563552,19.1837066,19.8432651,19.1690923,26.6037906,28.8728141,30.4908595,27.9962794,28.8157039,26.7071342,23.1943995,21.9517746,21.086509,20.8437186,20.4648314,20.1979559,23.1580632,25.1567237,22.6292611,20.4366667,20.14087,20.035563,19.9224111,19.9860837,19.6063523,19.6215923,19.3205363,19.5858483,0.073450086,0.006745109,0.1859228,0.0006808
26,98.4509875,44.9079006,28.2346216,23.1156559,21.4964716,20.5335986,20.3195785,19.9247717,19.7492773,19.5749869,19.4964695,19.4344786,21.5978776,20.1100086,19.9746531,19.5771912,19.4654195,19.2579308,19.3453622,18.9956602,18.9058703,19.2041282,19.1088198,19.0542572,22.5183838,22.8020816,21.6196366,20.6744243,19.8238471,19.8287191,19.2824911,20.0110488,19.3677714,19.1894295,19.8345527,19.1858343,26.6502277,28.9530465,30.4510576,28.1105273,28.9625768,27.9229089,24.7296173,22.6647732,21.3443631,20.9799902,20.6751396,20.4074607,23.4733668,25.2851641,22.6610996,20.5372762,20.1944334,20.1009118,19.9858422,20.0236942,19.6424429,19.6421202,19.353605,19.6040929,0.071091597,0.016784341,0.1861074,0.0004962
27,113.5465236,53.3798996,32.5682988,25.2027912,23.2245778,21.352085,21.098905,20.2682707,19.7775593,19.6063176,19.5281761,19.4612332,21.8870092,20.2183891,20.0780493,19.6107924,19.4891427,19.2493638,19.3584586,19.0144553,18.9315117,19.2263415,19.1329284,19.072663,22.7581654,22.9991802,21.7373897,20.7311184,19.8448889,19.8239517,19.270122,20.0169151,19.3957885,19.3314855,19.914208,19.2005687,29.4141034,28.8234018,31.1338793,28.7488131,29.1480868,28.4292371,25.8700852,23.910534,22.6673251,21.4290514,21.1106141,20.7590727,23.6927455,25.4433195,22.7238794,20.6279036,20.2854775,20.1919575,20.0161345,20.0611977,19.6879134,19.6617839,19.3561778,19.6051471,0.075808575,0.026980436,0.1854959,0.0011077
28,133.1392447,64.0251687,35.3844115,28.3477885,26.1059815,23.3783638,22.3001671,21.117755,20.3395332,20.0077895,19.8266694,19.6027993,22.1625702,20.3360196,20.1709592,19.6707505,19.5027561,19.256908,19.3397775,18.9991972,18.9219515,19.2152653,19.1165344,19.0403172,23.0757375,23.1963982,21.8772772,20.7947851,19.8573554,19.8303497,19.2472647,20.0309138,19.8224066,19.6277058,20.2120755,19.4576115,29.00301,28.1913244,30.9364565,28.9592341,29.1825663,28.6343722,26.4442566,24.8615319,24.049408,22.274503,21.7040969,21.0695915,23.8832602,25.6017533,22.7949196,20.7241415,20.3297413,20.4936496,20.0725459,20.0606612,19.6949675,19.6737771,19.3674174,19.6137246,0.082547115,0.036705942,0.183892,0.0027116
29,144.5636062,71.5847673,39.7426391,30.7182856,27.6392438,24.1820126,23.0096223,21.6858781,20.6738204,20.3350187,20.2252722,19.9382298,22.4879513,20.4591978,20.2531038,19.7157577,19.5382622,19.268118,19.3224826,18.9788627,18.8894471,19.1926536,19.0768291,19.0101101,23.3173101,23.4282738,22.0291453,20.84542,19.8947293,19.8369953,19.2637933,20.0238841,19.9356714,19.8664183,20.552669,19.8398676,28.5922957,27.7194163,30.2392013,28.6342299,28.9172458,28.5154498,26.7334803,25.4383226,24.5255876,22.9793544,22.422481,21.6846491,24.201084,25.812532,22.8972712,20.8054618,20.3366852,20.5385555,20.2104586,20.1306221,19.7132986,19.6693291,19.3530939,19.5978897,0.077156283,0.03607849,0.1838573,0.0027463
