Time (s),Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
,,,0.1648988,
,,,0.164587,
,,,0.1657069,
,,,0.1658916,
,,,0.1654529,
,,,0.1654645,
,,,0.1655799,
,,,0.1669492,
,,,0.1656261,
,,,0.166806,
,,,0.1672678,
,,,0.1672794,
,,,0.1671962,
,,,0.1673463,
,,,0.1676142,
,,,0.1673717,
,,,0.1674549,
,,,0.1675426,
,,,0.1675819,
,,,0.1672332,
,,,0.1675195,
,,,0.1678197,
,,,0.1674064,
,,,0.1677065,
,,,0.1671039,
,,,0.1673025,
,,,0.167254,
,,,0.1668961,
,,,0.1676696,
,,,0.1670854,
,,,0.1672563,
,,,0.1672124,
,,,0.1673371,
,,,0.1673371,
,,,0.1670023,
,,,0.1673001,
,,,0.1671547,
,,,0.1674733,
,,,0.1677412,
,,,0.1672309,
,,,0.1669653,
,,,0.1670577,
,,,0.1672563,
,,,0.1651874,
,,,0.1654298,
,,,0.1657439,
,,,0.1648757,
,,,0.1648988,
,,,0.1654645,
,,,0.1651528,
,,,0.1648988,
,,,0.164968,
,,,0.1648526,
,,,0.165222,
,,,0.164714,
,,,0.1650835,
,,,0.1648757,
,,,0.1653606,
,,,0.1650604,
,,,0.1647833,
,,,0.1650604,
,,,0.1654529,
,,,0.1652682,
,,,0.1654183,
,,,0.1650604,
,,,0.1652567,
,,,0.1651643,
,,,0.1654645,
,,,0.1654552,
,,,0.1652567,
,,,0.1650142,
,,,0.1650258,
,,,0.1647025,
,,,0.1648872,
,,,0.1655222,
,,,0.1650027,
,,,0.1651643,
,,,0.1647256,
,,,0.1651528,
,,,0.1646101,
,,,0.1652567,
,,,0.1647718,
,,,0.1648641,
,,,0.1648872,
,,,0.1653028,
,,,0.1648988,
,,,0.1652336,
,,,0.1651643,
,,,0.1648988,
,,,0.1647949,
,,,0.1651412,
,,,0.1648179,
,,,0.1652567,
,,,0.1649565,
,,,0.1648179,
,,,0.1650027,
,,,0.1651181,
,,,0.1648064,
,,,0.1651089,
,,,0.1645178,
,,,0.164691,
,,,0.1651758,
,,,0.1649796,
,,,0.1647279,
,,,0.1651204,
,,,0.1645409,
,,,0.1650142,
,,,0.1648064,
,,,0.1648757,
,,,0.1650258,
,,,0.1651643,
,,,0.1649334,
,,,0.1649796,
,,,0.1645524,
,,,0.1648988,
,,,0.1650258,
,,,0.1651181,
,,,0.1649103,
,,,0.164968,
,,,0.1650027,
,,,0.1653282,
,,,0.1649334,
,,,0.164437,
,,,0.1647949,
,,,0.1648179,
,,,0.1650027,
,,,0.1650027,
,,,0.1652451,
,,,0.1655568,
,,,0.1655568,
,,,0.1651066,
,,,0.1648064,
,,,0.1652913,
,,,0.1654991,
,,,0.1655245,
,,,0.1654529,
,,,0.1652798,
,,,0.1651897,
,,,0.1651181,
,,,0.1651181,
,,,0.1650373,
,,,0.1652913,
,,,0.1651874,
,,,0.1659725,
,,,0.1658732,
,,,0.1656977,
,,,0.1653837,
,,,0.1655568,
,,,0.1654991,
,,,0.1655107,
,,,0.1655453,
,,,0.1657185,
,,,0.1658339,
,,,0.1656377,
