Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
69,0.595350009,0.532863611,0.568732776,0.512628284,0.518193726,0.49568708,0.4248381,0.3908227,0.1934662,0.2160951
70,0.612533286,0.578040155,0.594676155,0.534275378,0.551886426,0.517334174,0.4326516,0.4068659,0.2077566,0.2294565
71,0.647236767,0.594197044,0.633759687,0.559059732,0.55592955,0.518589078,0.443755,0.413403,0.2151589,0.2437278
72,0.659029212,0.621961795,0.666778533,0.590118606,0.605120892,0.54431461,0.4703825,0.4401018,0.2153645,0.2482056
73,0.662398482,0.638589273,0.688678788,0.616942179,0.575134389,0.53647146,0.5093986,0.4644061,0.2281129,0.2543834
74,0.675201708,0.642353985,0.671158584,0.624785329,0.62668422,0.563922485,0.5330447,0.4841368,0.2382395,0.2618303
75,0.67048473,0.660863819,0.703166649,0.64627556,0.624999585,0.582902908,0.5652239,0.5047057,0.2434314,0.2740663
76,0.698786598,0.673883448,0.77156283,0.683138365,0.655323015,0.60078529,0.5812621,0.5445504,0.265741,0.2870445
77,0.694406547,0.682510913,0.764150436,0.696785446,0.673517073,0.641726533,0.5853745,0.5602584,0.2887188,0.3084515
78,0.717317583,0.676236393,0.791441523,0.713883513,0.650606037,0.633099068,0.5847062,0.5577681,0.2897983,0.3249257
79,0.744271743,0.682040324,0.793126158,0.722354115,0.652964526,0.625569644,0.6028521,0.5686631,0.2957612,0.3275836
80,0.748314867,0.681569735,0.842654427,0.792785602,0.682614102,0.653334395,0.6018754,0.5683997,0.3246506,0.3542824
81,0.764487363,0.696001131,0.846023697,0.816158189,0.713948313,0.674197174,0.617708,0.5816414,0.3532829,0.3721216
82,0.773921319,0.700863884,0.846360624,0.827138599,0.720686853,0.673099133,0.6625841,0.6311359,0.3559046,0.3916847
83,0.770215122,0.704158007,0.854446872,0.853805309,0.752694918,0.696942309,0.6561072,0.6605645,0.4080288,0.4374678
84,0.852762237,0.738040415,0.900268944,0.873256321,0.724056123,0.709491349,0.6850479,0.679984,0.4145058,0.4813832
85,0.85579458,0.75451103,0.924190761,0.880942608,0.719676072,0.673255996,0.710339,0.6959314,0.4007808,0.4974743
86,0.819069537,0.755295345,0.951481848,0.91764855,0.746293305,0.708707034,0.7143485,0.6800319,0.412244,0.5061185
87,0.814689486,0.77804048,0.942384819,0.915138742,0.791441523,0.760314961,0.7260688,0.6631506,0.4551668,0.511578
88,0.82210188,0.800471889,0.972708249,0.945570164,0.765835071,0.763452221,0.7617949,0.6836955,0.4916126,0.5557088
89,0.863206974,0.828707229,1.011454854,0.970825107,0.820417245,0.799373848,0.7867261,0.7165243,0.5384936,0.5916504
90,0.908018265,0.881256334,0.994608504,0.972080011,0.881064105,0.859138651,0.8158211,0.7323759,0.5314511,0.5766129
91,0.932277009,0.954040766,1.071090933,0.992472201,0.871293222,0.86745239,0.8374624,0.7546928,0.595347,0.5911236
92,0.875336346,0.911217167,1.079514108,1.011295761,0.900268944,0.871060239,0.8696417,0.8043071,0.6138526,0.6076697
93,0.966643563,0.909962263,1.086926502,1.004550652,0.884096448,0.857726884,0.8873249,0.8375908,0.6181192,0.6317825
94,0.955524972,0.920472084,1.161724296,1.093648836,0.927896958,0.881413197,0.8673285,0.8461392,0.6151377,0.6442818
95,1.131063939,0.973805504,1.235174382,1.124864573,0.907681338,0.898040675,0.8307284,0.8084975,0.6333864,0.693058
96,1.196764704,1.073570372,1.243597557,1.150276379,1.037398233,0.9725506,0.8971945,0.8402248,0.6548735,0.7477966
97,1.18261377,1.130197915,1.261454688,1.189178403,1.080187962,1.005648693,0.8976572,0.8683603,0.6689069,0.7602959
98,1.093665042,1.142903818,1.366238985,1.275139327,1.145214873,1.060237017,0.9021294,0.8959451,0.6638693,0.7494727
99,1.1118591,1.129570463,1.472707917,1.333492363,1.1455518,1.101021397,0.9317384,0.9045414,0.7043246,0.7744236
100,1.16239815,1.164707775,1.371966744,1.366904182,1.32412311,1.24078633,0.963198,0.9484328,0.7239098,0.8027746
101,1.150942632,1.142119503,1.429244334,1.43372782,1.338947898,1.324394309,0.9964567,0.9796811,0.8117602,0.9012369
102,1.341306387,1.250982425,1.633085169,1.527061305,1.441710633,1.417414068,0.9808297,0.9601659,0.8102694,0.9427578
103,1.366575912,1.416002301,1.595686272,1.502904403,1.558961229,1.522669141,1.0340849,0.9786036,0.7386629,0.9122517
104,1.386454605,1.428551341,1.654648497,1.606590846,1.684971927,1.668394868,1.0504829,1.0097562,0.769557,0.9429014
105,1.379379138,1.452394517,1.750672692,1.694590989,1.680591876,1.731296931,1.0208739,0.9899536,0.7683233,0.9546106
106,1.411050276,1.437649395,1.879715733,1.825571594,1.659365475,1.740081259,1.0103874,0.9787233,0.7341393,0.9144307
107,1.36792362,1.448786668,2.057613189,1.922826654,1.692721248,1.706826303,1.0378374,0.9904804,0.7865719,0.9486004
108,1.530996288,1.532865236,1.975403001,1.981807142,1.776279144,1.736159684,1.0972097,1.0322407,0.7476587,0.9418239
109,1.584904608,1.577414328,2.067720999,2.053807259,1.908017601,1.830904936,1.021902,1.0274277,0.7976753,0.9580108
110,1.684971927,1.599218285,2.09568594,2.078591613,1.8530985,1.857101057,1.0439031,1.0084392,0.8451217,0.9781247
111,1.771562166,1.637492857,2.177559201,2.205650643,2.199796383,1.967375746,1.1308796,1.0762279,0.8878389,1.0002021
112,1.627020483,1.53255151,2.184297741,2.21490556,2.237869134,2.108081857,1.1178743,1.0982095,0.8680482,0.9808784
113,1.48584807,1.512943635,2.207882631,2.168787838,2.100739845,2.091140653,1.1827982,1.1823766,0.9488047,1.0574788
114,1.674864117,1.653963472,2.635442994,2.464788319,2.087599692,2.060552368,1.1935418,1.2416887,0.9244389,1.0561858
115,1.651953081,1.796865665,2.456871684,2.540082559,2.209904193,2.117807363,1.2874579,1.3145537,0.9859702,1.106279
116,1.744944933,1.840944168,2.412060393,2.479690304,2.38207389,2.287376266,1.2888972,1.3274122,1.0349587,1.1607063
117,1.836589077,1.91529723,2.418798933,2.559376708,2.658017103,2.510592315,1.4344235,1.3874666,1.0764936,1.208836
118,1.952491965,1.924081558,2.377356912,2.564866913,2.474728815,2.632004277,1.4298485,1.4231927,1.101322,1.2550979
119,2.082545787,2.041885671,2.55053739,2.654906275,2.559297492,2.770043717,1.4120626,1.4302326,1.1697929,1.3106506
120,2.124661662,2.144003484,2.372303007,2.57569046,2.446426947,2.788082962,1.6338218,1.6170045,1.1856769,1.3318421
121,2.244944601,2.263219364,2.518192398,2.59294539,3.025941387,2.892239994,1.5760431,1.6103957,1.2682326,1.3793731
122,1.919473119,2.145101525,2.514149274,2.702122038,3.064014138,3.011299011,1.6612718,1.6384833,1.3867201,1.5233072
123,1.991575497,2.124866198,2.397235605,2.548710024,3.008084256,2.984004849,1.8080318,1.7386218,1.3612749,1.6190638
124,2.074796466,2.345415576,2.678906577,2.759377033,2.777963115,2.851612477,1.8599504,1.890362,1.3584476,1.60939
125,2.094675159,2.409729406,3.014148942,3.009102929,2.792114049,2.586200281,2.021772,2.1134348,1.4252221,1.6561069
126,2.155322019,2.344474398,2.825469822,2.937573401,3.203501916,2.707298517,2.0765178,2.1526569,1.3865145,1.6682231
127,2.057613189,2.404552927,2.738879583,2.903690993,2.987868636,2.509808,2.2592096,2.3385908,1.5169793,1.7567243
128,1.955861235,2.334905755,2.454850122,2.697886737,3.241574667,2.653180782,2.0074301,2.2670906,1.4027583,1.7474096
129,2.028637467,2.320631222,2.831534508,2.839377163,3.158690625,2.759533896,2.0976451,2.3451278,1.4842345,1.7630219
130,2.282680425,2.59921991,2.622639768,2.826357534,3.289755228,3.015063723,2.4266857,2.5812985,1.6099701,1.8394786
131,2.201817945,2.443454951,2.851076274,2.906828253,3.057275598,2.991534273,2.2510877,2.6000475,1.4825896,1.7687447
132,2.278637301,2.499455042,2.78975556,2.923769457,2.903973813,2.868867407,2.4648278,2.5192328,1.6625055,1.9053517
133,2.365564467,2.648945481,2.482141209,2.719376968,2.812666596,2.886749789,2.3837629,2.4130122,1.4055342,1.804854
134,2.360847489,2.593102253,2.690699022,2.725808351,2.649593928,2.692867121,2.2328391,2.2671864,1.7346261,1.934445
135,2.503030683,2.676710232,2.18665623,2.495062878,3.084229758,2.901808637,2.2983799,2.5315645,1.6476496,1.9724698
136,2.13274791,2.567062995,2.076481101,2.229807545,3.084903612,2.980710726,2.3372417,2.682323,1.5694119,1.9894948
137,2.207208777,2.477180496,1.887128127,2.075611216,2.842316172,2.82667126,2.2312455,2.629069,1.6032875,1.9874355
138,2.215968879,2.386043093,1.77560529,1.921258024,2.613205812,2.719376968,2.1847244,2.539179,1.8505434,2.2067489
139,2.171494515,2.398592133,1.821764289,1.864473618,2.5606452,2.792945715,2.344387,2.6787312,1.6263681,2.1092204
140,2.192047062,2.312474346,1.619271162,1.765649928,2.076481101,2.470121661,2.4101334,2.6572764,1.714527,2.0878853
141,2.094675159,2.209415355,1.603435593,1.657100732,2.141171085,2.343376357,2.3017726,2.6280873,1.852908,2.0852274
142,2.136454107,2.221023217,1.618934235,1.664630156,2.208893412,2.295533142,2.6163171,2.8770447,2.0062478,2.2735319
143,2.310982293,2.268866432,1.450807662,1.525492675,2.119944684,2.173336865,2.3758465,2.8070531,1.6516078,2.1162364
144,2.272909542,2.342435179,1.43530902,1.440943518,1.996966329,2.145258388,2.3031605,2.6238011,1.8698201,2.0871191
145,2.092990524,2.212082026,1.303570563,1.407531699,2.00471565,1.990748333,2.3596541,2.6254773,2.121137,2.2073954
146,1.891508178,2.044238616,1.25673771,1.322982542,1.775268363,1.81333628,2.7257059,2.7888788,2.0580636,2.3294198
147,1.593327783,1.793728405,1.078840254,1.162511693,1.600740177,1.696787071,2.8687134,2.8687358,1.9153645,2.1742793
148,1.736184831,1.792316638,0.98382684,1.080629207,1.655996205,1.712630234,2.4423126,2.7108177,2.1469421,2.3231462
149,1.652290008,1.769257777,0.961926585,1.025727157,1.497303588,1.520159333,2.3831974,2.4954553,2.0305622,2.3033914
150,1.626346629,1.72078711,0.904985922,0.948393698,1.366575912,1.390276769,2.3984131,2.4921748,1.9663579,2.3026491
151,1.580524557,1.664787019,0.88611801,0.899452442,1.188678456,1.264786369,2.1159451,2.252508,2.1509002,2.3996269
152,1.639486782,1.705414536,0.934635498,0.879217115,1.124999253,1.155295995,2.0848968,2.174878,1.8957794,2.3430924
153,1.511454522,1.650983075,0.823786515,0.85333472,0.897236601,1.014433021,1.8644226,1.9750559,2.0051169,2.428792
154,1.275605622,1.468080817,0.849729894,0.879060252,0.97371903,1.003295748,1.5791274,1.7408966,2.2375683,2.6234419
155,1.254716148,1.387139509,0.763476582,0.847373926,0.819069537,0.904001469,1.5344054,1.5161716,2.0383756,2.5539771
156,1.227425061,1.313100173,0.722708415,0.804864053,0.821091099,0.858511199,1.4977539,1.4679461,2.030922,2.5643454
157,1.171832106,1.248158891,0.739217838,0.781491466,0.75471648,0.807216998,1.2907478,1.3312434,1.9206078,2.4682297
158,1.042115211,1.180080349,0.705525138,0.774746357,0.679918686,0.746824743,1.2833455,1.2792825,2.1010378,2.6014603
159,1.079851035,1.12313908,0.681940248,0.743216894,0.635781249,0.685334447,1.3817339,1.3112014,2.0684473,2.5444709
160,1.02425808,1.071844879,0.566711214,0.697412898,0.604783965,0.662432449,1.1598204,1.2177435,1.9602921,2.4569036
161,1.001347044,1.049727196,0.608153235,0.688785433,0.622641096,0.659922641,1.211225,1.2076148,1.9526843,2.4550119
162,0.878705616,0.967217258,0.540767835,0.65411871,0.610174797,0.623216699,1.1511844,1.1814188,1.8812319,2.3836794
163,0.882411813,0.929256412,0.511455186,0.609726481,0.574797462,0.596236263,1.0428236,1.0986405,1.9098129,2.2815056
164,0.840295938,0.8941191,0.494271909,0.593883318,0.55256028,0.580079374,0.9779511,1.0426808,1.8599504,2.1583798
165,0.734837787,0.808471902,0.501684303,0.559059732,0.573112827,0.563295033,1.0290986,1.0225669,2.0177624,2.2105562
166,0.743597889,0.796079725,0.510781332,0.563765622,0.537398565,0.511530243,0.918219,0.9682833,1.9538152,2.2542321
167,0.768530487,0.806118957,0.466643895,0.529883214,0.519541434,0.498196888,0.9161628,0.9532218,1.8865266,2.1893408
168,0.757411896,0.790432657,0.49865196,0.543373432,0.520215288,0.492863546,0.7961332,0.8743466,2.026347,2.2350521
169,0.604110111,0.712471746,0.474730143,0.528314584,0.467654676,0.475138027,0.755575,0.82308,1.7482483,2.0070227
170,0.547169448,0.627922589,0.46158999,0.514981229,0.476077851,0.472471356,0.6755895,0.7431273,1.8240187,1.9973488
171,0.542115543,0.623216699,0.44811291,0.47215763,0.437668173,0.471373315,0.6622757,0.6929862,1.5830855,1.8591855
172,0.477425559,0.556079335,0.430929633,0.45960859,0.452829888,0.470745863,0.687464,0.6925312,1.6555145,1.8674226
173,0.429244998,0.514824366,0.462263844,0.458824275,0.435646611,0.457726234,0.6127217,0.6554881,1.527877,1.7538509
174,0.453166815,0.491608642,0.446765202,0.45647133,0.459905355,0.471687041,0.6077355,0.6310881,1.3811684,1.7031351
175,0.390498393,0.468863507,0.414083283,0.452549755,0.366913503,0.409569293,0.5863512,0.6095614,1.1951353,1.5404759
176,0.349056372,0.427294812,0.419811042,0.4549027,0.378369021,0.402039869,0.6513266,0.6263948,1.372481,1.5648999
177,0.366913503,0.418510484,0.385444488,0.43137325,0.344339394,0.389647692,0.5110949,0.5747452,1.193439,1.4302804
178,0.357479547,0.403765362,0.388139904,0.432157565,0.294474198,0.36235353,0.5315025,0.5602584,1.0597357,1.294775
179,0.358490328,0.402039869,0.344339394,0.417883032,0.308288205,0.355608421,0.5203991,0.5585104,1.1108319,1.2508836
180,0.342654759,0.384471213,0.342317832,0.402196732,0.309298986,0.350431942,0.5244601,0.5426827,0.9502954,1.1066142
181,0.32008065,0.374431981,0.355794912,0.375686885,0.285377169,0.333961327,0.5531953,0.5500099,0.8749364,1.0082237
182,0.307951278,0.348706449,0.341980905,0.356863325,0.264487695,0.313882863,0.5310913,0.5496268,0.8157697,0.9295401
183,0.287735658,0.328784848,0.304245081,0.334745642,0.209568594,0.274196524,0.5001458,0.5332483,0.6784682,0.8260971
184,0.295148052,0.331922108,0.310983621,0.323608369,0.215970207,0.246118047,0.4525965,0.4996533,0.6671592,0.7536392
185,0.264487695,0.318902479,0.315363672,0.309804425,0.193396098,0.213804269,0.5407554,0.5295607,0.6452094,0.7340521
186,0.264824622,0.288157331,0.263476914,0.296314207,0.172506624,0.206588571,0.4942342,0.5084411,0.6687013,0.7244261
187,0.257749155,0.287529879,0.294137271,0.303373042,0.166105011,0.198431695,0.5341756,0.5274057,0.5735515,0.6744527
188,0.256738374,0.288157331,0.270552381,0.308078932,0.157344909,0.198588558,0.5228152,0.5306622,0.523689,0.6342249
189,0.227762652,0.290824002,0.275943213,0.304941672,0.138813924,0.19607875,0.4662187,0.5023591,0.4653449,0.5948112
190,0.221697966,0.287373016,0.254379885,0.293647536,0.149258661,0.1882356,0.4727985,0.5051846,0.4422128,0.5719436
191,0.24258744,0.286745564,0.334568511,0.316078945,0.162398814,0.173961067,0.4866264,0.5173966,0.4207257,0.5460829
192,0.23247963,0.289098509,0.26617233,0.282823989,0.181266726,0.178666957,0.470948,0.522042,0.4083372,0.5299918
193,0.223045674,0.284863208,0.251010615,0.271216127,0.112196691,0.126274715,0.4541901,0.525969,0.3603254,0.5001561
194,0.210579375,0.274039661,0.243261294,0.273725935,0.089285655,0.309490699,0.4588679,0.516798,0.3512268,0.476642
195,0.221024112,0.277490647,0.220013331,0.268863182,0.077156283,0.122666866,0.4222165,0.4979053,0.3191503,0.4538463
196,0.197102295,0.264941607,0.224730309,0.264784744,0.064689984,0.07372561,0.3961543,0.4707755,0.3101031,0.4363663
197,0.18530985,0.237961171,0.22911036,0.251137663,0.067048473,0.040313791,0.3452638,0.4338042,0.3134958,0.4281531
198,0.180929799,0.22274546,0.230794995,0.26039258,0.061657641,0.022745135,0.2876907,0.3815081,0.3055281,0.4164679
199,0.167789646,0.212078776,0.203166981,0.251921978,0.05727759,0.024941217,0.3013643,0.3697989,0.2980745,0.3994669
200,0.141846267,0.199059147,0.182951361,0.226980761,0.059973006,0.022745135,0.2749424,0.3648901,0.2804427,0.3925228
201,0.135444654,0.188549326,0.17520204,0.226353309,0.052897539,0.031686326,0.2172151,0.3290682,0.2854803,0.3909903
202,0.142520121,0.178666957,0.164420376,0.218510159,0.050202123,0.041568695,0.2004058,0.3011482,0.2759191,0.3840462
203,0.12803226,0.170510081,0.156671055,0.214117995,0.05727759,0.035294175,0.1981954,0.2855839,0.2512449,0.3726005
204,0.128369187,0.162510068,0.123652209,0.236549404,0.056266809,0.027294162,0.193826,0.2798371,0.246053,0.3621125
205,0.118261377,0.143215919,0.079514772,0.141333563,0.051212904,0.022901998,0.1992235,0.2786398,0.2507823,0.3590236
206,0.118261377,0.137411988,0.064689984,0.071529528,0.043463583,0.021803957,0.1967047,0.2664278,0.252016,0.3608913
207,0.095013414,0.126274715,0.039757386,0.046902037,0.045485145,0.027294162,0.1898165,0.2540242,0.2215331,0.3427409
208,0.096698049,0.125647263,0.037398897,0.029960833,0.05053905,0.02196082,0.2053406,0.2511269,0.2209676,0.3242313
209,0.092654925,0.123764907,0.061657641,0.021647094,0.054245247,0.019451012,0.1691518,0.2356104,0.2163926,0.3179577
210,0.080525553,0.115608031,0.05390832,0.014901985,0.051886758,0.023215724,0.1652965,0.2233266,0.211612,0.3083078
211,0.089959509,0.114196264,0.046832853,0.017568656,0.045148218,0.024000039,0.1686378,0.2169811,0.2122802,0.3053626
212,0.081199407,0.107921744,0.054582174,0.016156889,0.04043124,0.016313752,0.1701799,0.2100131,0.1967561,0.2984664
213,0.07412394,0.096627608,0.045485145,0.006117657,0.044474364,0.023215724,0.1590765,0.2064453,0.2067286,0.2997115
214,0.061994568,0.094902115,0.042789729,0.000784315,0.044811291,0.00784315,0.1563007,0.1984476,0.1982468,0.2932942
215,0.069406962,0.088157006,0.044137437,0.002980397,0.043126656,0.004235301,0.150492,0.1973461,0.2029246,0.2914504
216,0.075134721,0.089568773,0.050875977,0.013019629,0.051549831,0.006117657,0.143758,0.1870497,0.2123831,0.2943478
217,0.072102378,0.087372691,0.048180561,0.016627478,0.049528269,0.012392177,0.1414448,0.1781421,0.193312,0.2909237
218,0.05053905,0.083921705,0.051549831,0.012705903,0.035377335,0.011294136,0.1315237,0.1734968,0.1991721,0.2850571
219,0.070417743,0.075451103,0.044137437,0.016156889,0.04043124,0.013019629,0.1293133,0.1669837,0.2049808,0.2792145
