Fri Aug  9 02:13:26 2013,ArduinoHelmet1,110,13,0.0
Fri Aug  9 02:13:27 2013,ArduinoHelmet1,111,13,0.0
Fri Aug  9 02:13:28 2013,ArduinoHelmet1,112,13,0.0
Fri Aug  9 02:13:29 2013,ArduinoHelmet1,113,13,-0.0
Fri Aug  9 02:13:30 2013,ArduinoHelmet1,114,13,-0.0
Fri Aug  9 02:13:31 2013,ArduinoHelmet1,115,13,0.0
Fri Aug  9 02:13:32 2013,ArduinoHelmet1,116,13,-0.0
Fri Aug  9 02:13:33 2013,ArduinoHelmet1,117,13,0.0
Fri Aug  9 02:13:34 2013,ArduinoHelmet1,118,13,-0.0
Fri Aug  9 02:13:35 2013,ArduinoHelmet1,119,13,0.0
Fri Aug  9 02:13:36 2013,ArduinoHelmet1,120,13,0.0
Fri Aug  9 02:13:37 2013,ArduinoHelmet1,121,13,-0.0
Fri Aug  9 02:13:38 2013,ArduinoHelmet1,122,13,-0.0
Fri Aug  9 02:13:39 2013,ArduinoHelmet1,123,13,-0.0
Fri Aug  9 02:13:40 2013,ArduinoHelmet1,124,13,0.0
Fri Aug  9 02:13:41 2013,ArduinoHelmet1,125,13,0.0
Fri Aug  9 02:13:42 2013,ArduinoHelmet1,126,13,-0.0
Fri Aug  9 02:13:43 2013,ArduinoHelmet1,127,13,0.0
Fri Aug  9 02:13:44 2013,ArduinoHelmet1,128,13,0.0
Fri Aug  9 02:13:45 2013,ArduinoHelmet1,129,13,0.0
Fri Aug  9 02:13:46 2013,ArduinoHelmet1,130,13,0.0
Fri Aug  9 02:13:47 2013,ArduinoHelmet1,131,13,-0.0
Fri Aug  9 02:13:48 2013,ArduinoHelmet1,132,13,-0.0
Fri Aug  9 02:13:49 2013,ArduinoHelmet1,133,13,0.0
Fri Aug  9 02:13:50 2013,ArduinoHelmet1,134,13,-0.0
Fri Aug  9 02:13:51 2013,ArduinoHelmet1,135,13,0.0
Fri Aug  9 02:13:53 2013,ArduinoHelmet1,136,13,-0.0
Fri Aug  9 02:13:54 2013,ArduinoHelmet1,137,13,-0.0
Fri Aug  9 02:13:55 2013,ArduinoHelmet1,138,13,-0.0
