s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.1900056E+002, 9.6332014E+003,-3.5848897E+003,-5.9076639E+003,-1.3983755E+002,-6.9168103E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5620715E+001, 1.1855825E-001, 7.5457317E-001
 2.2000067E+002, 9.7283613E+003,-3.6092816E+003,-5.9735166E+003,-1.3311609E+002,-7.0811324E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4181595E+001, 1.1738934E+001, 7.5457317E-001
 2.2100587E+002, 9.5667860E+003,-3.6086258E+003,-5.7896918E+003,-1.3892831E+002,-7.6536328E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9431619E+000, 2.8774737E+001, 7.5457317E-001
 2.2200542E+002, 9.9190704E+003,-3.7104040E+003,-6.0161357E+003,-1.4473603E+002,-8.7145048E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8944606E+001, 4.6923320E+001, 7.5457317E-001
 2.2300116E+002, 9.7064121E+003,-3.6529220E+003,-5.9200116E+003,-1.4391180E+002,-8.8618229E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1660823E+001,-1.1319500E+001, 7.5457317E-001
 2.2400346E+002, 9.7511385E+003,-3.6135479E+003,-5.9714272E+003,-1.4217898E+002,-7.5335756E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8905249E+000, 2.3231024E+001, 7.5457317E-001
 2.2500507E+002, 9.6230041E+003,-3.5471367E+003,-5.9508767E+003,-1.3517321E+002,-8.9741142E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2957598E+001,-1.1080014E+001, 7.5457317E-001
 2.2600261E+002, 9.9385466E+003,-3.6057180E+003,-6.1816542E+003,-1.3184350E+002,-8.7619247E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5891609E+001, 1.8454791E+001, 7.5457317E-001
 2.2700166E+002, 9.5760026E+003,-3.5810284E+003,-5.8417099E+003,-1.3680298E+002,-8.3511481E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1708829E+000, 1.5626216E+001, 7.5457317E-001
 2.2800372E+002, 9.8596115E+003,-3.5568740E+003,-6.1675420E+003,-1.2801995E+002,-7.8074230E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9346992E+000, 6.3947374E+000, 7.5457317E-001
 2.2900217E+002, 1.0001897E+004,-3.6640432E+003,-6.1348648E+003,-1.3472346E+002,-7.9265083E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0925934E+001, 6.7472688E+001, 7.5457317E-001
 2.3000291E+002, 1.0184389E+004,-3.7842609E+003,-6.2270393E+003,-1.3940944E+002,-7.5726082E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6774699E+001, 3.2922328E+001, 7.5457317E-001
 2.3100053E+002, 1.0143569E+004,-3.8251575E+003,-6.1269510E+003,-1.4518561E+002,-9.0069771E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1759502E+001, 4.5374489E+001, 7.5457317E-001
 2.3200142E+002, 1.0079973E+004,-3.7561802E+003,-6.1903871E+003,-1.3674929E+002,-7.5029793E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4217556E+001,-4.0941565E+000, 7.5457317E-001
 2.3300163E+002, 9.8697185E+003,-3.6862721E+003,-6.0717390E+003,-1.3770415E+002,-8.4853677E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5548476E+001,-2.6845307E+001, 7.5457317E-001
 2.3400424E+002, 9.9892941E+003,-3.7255776E+003,-6.1085772E+003,-1.3626873E+002,-8.4739556E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4081164E+001, 1.8023235E+001, 7.5457317E-001
 2.3500168E+002, 9.9827696E+003,-3.7276865E+003,-6.0746228E+003,-1.3708388E+002,-7.9644710E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6400450E+001, 4.2579946E+001, 7.5457317E-001
 2.3600047E+002, 1.0467156E+004,-3.8411842E+003,-6.4900223E+003,-1.3246389E+002,-7.4330100E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1251982E+001, 2.7427503E+000, 7.5457317E-001
 2.3700305E+002, 9.3390683E+003,-3.4864945E+003,-5.7559631E+003,-1.2668126E+002,-7.6010676E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2678988E+001,-3.0830703E+001, 7.5457317E-001
 2.3800496E+002, 9.3859339E+003,-3.4392274E+003,-5.8505628E+003,-1.2107006E+002,-7.8710775E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9251544E+001,-2.5713463E+001, 7.5457317E-001
 2.3900230E+002, 9.4078979E+003,-3.4284338E+003,-5.8087038E+003,-1.1969295E+002,-7.8940100E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4554801E+001, 5.0277911E+001, 7.5457317E-001
 2.4000241E+002, 9.8079210E+003,-3.6534841E+003,-5.9847176E+003,-1.2038339E+002,-6.6620476E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0388313E+001, 4.8669662E+001, 7.5457317E-001
 2.4100101E+002, 1.0318397E+004,-3.7765881E+003,-6.3872359E+003,-1.3297349E+002,-9.0128638E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0030016E+001, 2.0698451E+001, 7.5457317E-001
 2.4200171E+002, 9.6241695E+003,-3.5871310E+003,-5.9188060E+003,-1.3240524E+002,-7.5391556E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8121489E+001,-1.4926651E+001, 7.5457317E-001
 2.4300195E+002, 9.4415451E+003,-3.5059160E+003,-5.7956399E+003,-1.3262062E+002,-7.4460943E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3731559E+001, 6.6238942E+000, 7.5457317E-001
 2.4400266E+002, 9.8619742E+003,-3.6245848E+003,-6.0437836E+003,-1.3334173E+002,-8.3962820E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7226157E+001, 5.9424483E+001, 7.5457317E-001
 2.4500502E+002, 9.6416996E+003,-3.5840523E+003,-5.9302347E+003,-1.3383550E+002,-8.0344259E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3603744E+001,-7.2263361E+000, 7.5457317E-001
 2.4600430E+002, 9.6850700E+003,-3.5616670E+003,-5.9699281E+003,-1.3466845E+002,-8.5682718E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4484984E+000, 1.7949609E+001, 7.5457317E-001
 2.4700435E+002, 9.9572589E+003,-3.7361481E+003,-6.0274668E+003,-1.3123368E+002,-8.3335847E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0159249E+001, 6.1576892E+001, 7.5457317E-001
 2.4800340E+002, 1.0390767E+004,-3.8933295E+003,-6.3580446E+003,-1.3294339E+002,-8.0779399E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1247249E+000, 5.6420317E+000, 7.5457317E-001
 2.4900072E+002, 9.6505432E+003,-3.5763473E+003,-5.9709890E+003,-1.2498807E+002,-7.4393827E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8413711E+001,-2.2525088E+001, 7.5457317E-001
 2.5000499E+002, 1.0264692E+004,-3.7390956E+003,-6.3421840E+003,-1.1823643E+002,-7.6290826E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7562437E+001, 6.4413249E+001, 7.5457317E-001
 2.5100342E+002, 9.7714890E+003,-3.6478650E+003,-5.9707995E+003,-1.3309424E+002,-8.2137236E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1285763E+001, 1.8908960E+001, 7.5457317E-001
 2.5200557E+002, 1.0572923E+004,-3.8912746E+003,-6.4730381E+003,-1.4246428E+002,-9.4282570E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7622898E+001, 6.5203470E+001, 7.5457317E-001
