Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
29,19.821198,19.817277,19.878229,20.057164,19.893107,19.57652,20.320045,19.894601,20.034824,19.968651,19.951901,20.055072,20.320893,20.050394,19.824205,19.512738,19.748401,19.416767,19.824114,19.829671,19.452152,19.526081,19.391667,19.340013,0.00028,
30,19.78884,19.82286,19.921791,20.024788,19.89869,19.50616,20.40154,20.05208,20.07837,19.974234,19.957483,20.098597,20.326473,19.980068,19.753861,19.480346,19.829878,19.460346,19.791718,19.873216,19.495722,19.569636,19.397252,19.345598,0.00028,
31,19.864722,19.784868,19.845832,19.948869,19.89869,19.544133,20.287667,19.976135,20.00244,19.974234,19.957483,20.060654,20.288523,20.055976,19.715896,19.518322,19.791932,19.460346,19.791718,19.873216,19.419751,19.645572,19.435232,19.307608,0.00028,
32,19.864722,19.82286,19.921791,20.024788,19.822772,19.544133,20.363583,19.976135,20.07837,19.936291,19.995431,20.060654,20.288523,20.093928,19.677929,19.518322,19.829878,19.49834,19.829697,19.873216,19.495722,19.493695,19.435232,19.345598,-2.49E-05,
33,19.902661,19.784868,19.921791,19.948869,19.822772,19.582104,20.287667,20.014108,20.040406,19.898347,19.919534,20.098597,20.288523,20.055976,19.753861,19.480346,19.829878,19.49834,19.791718,19.835254,19.419751,19.569636,19.397252,19.345598,0.00028,
34,19.864722,19.82286,19.921791,20.024788,19.89869,19.658044,20.363583,20.05208,20.040406,19.936291,19.995431,19.984766,20.326473,20.055976,19.715896,19.480346,19.791932,19.422352,19.867676,19.835254,19.495722,19.607604,19.359271,19.345598,0.000433,
35,19.859139,19.741292,19.916208,20.019206,19.855149,19.57652,20.395959,20.008526,20.110752,19.930708,19.913952,20.055072,20.320893,20.088346,19.710312,19.512738,19.824295,19.378771,19.786135,19.867633,19.452152,19.564051,19.391667,19.340013,0.000128,
36,19.870305,19.714465,19.965351,20.03037,19.790395,19.587689,20.369164,20.095633,20.121915,19.979816,19.963066,20.066236,20.332054,20.13746,19.797408,19.485931,19.835461,19.427937,19.873259,19.802875,19.463322,19.53725,19.364856,19.351183,0.00028,
37,19.864722,19.708882,19.959768,20.062746,19.860732,19.582104,20.40154,20.090052,20.07837,19.936291,19.995431,20.022711,20.288523,20.093928,19.715896,19.556297,19.829878,19.422352,19.829697,19.873216,19.533706,19.569636,19.397252,19.307608,0.00028,
38,19.859139,19.779285,20.030138,20.019206,19.855149,19.538548,20.395959,20.008526,20.072788,19.968651,19.989849,20.055072,20.24499,20.088346,19.748278,19.550713,19.786348,19.492755,19.862093,19.905593,19.528122,19.564051,19.391667,19.340013,0.00028,
