Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
23,274.721328,284.539217,270.395917,267.113594,256.395374,239.354969,210.863088,174.582827,69.337496,55.615456,52.912912,251.816538,291.325127,274.699345,258.660759,252.124023,248.484698,232.244115,206.465785,65.128353,58.342937,67.292283,221.907274,263.487566,259.654455,253.312391,249.984072,238.498789,223.524754,68.730395,177.4791,63.373378,59.618159,267.073565,261.160717,747.215322,739.591005,727.826899,698.359341,664.129234,633.064576,587.699787,418.214894,203.54399,204.010639,191.701363,167.135052,74.829767,43.466863,31.060806,1261.620918,2.568844,2.527152,2.4847,2.524945,2.464361,2.462538,-0.000363,-0.000822,-0.000388,0,
24,275.172122,286.06195,271.740752,268.422452,257.44831,240.114273,211.021047,174.741206,67.214895,55.031502,52.180302,252.271836,292.326818,275.892649,259.600641,253.441356,249.428305,233.459566,206.776369,64.876868,57.612074,67.224387,222.406124,264.72417,260.89332,254.591877,251.078073,239.937153,224.402415,68.772549,178.477039,62.974771,59.261238,267.457307,256.648052,747.704843,740.043082,728.60763,699.791304,665.624822,634.587897,589.431522,422.117844,203.364776,204.670344,193.125965,168.747216,76.160237,43.292232,31.034494,1261.633779,2.560907,2.527915,2.488363,2.533491,2.437503,2.459333,-0.000363,-0.000975,-8.28E-05,0,
25,275.734116,287.361985,273.084847,269.544555,258.463387,241.287631,211.407394,174.861417,65.164754,54.410502,51.779706,253.101652,293.291293,277.011203,260.61484,254.495801,250.334033,234.447755,207.35368,64.47851,57.249297,67.193178,222.753176,265.848298,261.870114,255.608587,252.321571,241.223981,225.279811,68.557967,179.017059,62.355645,58.777303,267.861493,265.532301,748.17787,740.184607,729.262021,700.879223,666.343796,635.014705,590.896336,424.669917,202.939624,205.350956,194.724175,170.457155,76.741186,43.212344,31.179162,1261.627348,2.601505,2.545924,2.511715,2.53227,2.464514,2.459333,-0.000363,-0.000822,6.98E-05,0,
26,276.316441,288.607904,274.411568,270.649471,259.61073,241.991812,211.700532,175.155396,63.537854,53.883371,51.694824,253.876943,294.460127,278.483382,261.835853,255.570427,251.484975,235.116481,208.751996,65.825745,56.796278,67.108841,223.234894,266.917944,262.79245,256.720357,253.285227,242.455605,225.723206,68.36362,179.120157,61.903683,58.434997,268.111056,263.917471,748.866335,740.504433,729.654341,701.779628,666.55028,634.787799,592.033169,425.127293,202.470591,206.025764,196.507317,170.750787,76.986769,42.829547,31.167898,1261.614488,2.597995,2.546839,2.497521,2.547836,2.459783,2.470779,-5.79E-05,-0.000822,-8.28E-05,0,
27,277.354575,290.159846,275.674402,271.839337,260.656629,242.707028,212.157245,175.804358,62.288615,53.293334,51.140839,254.663159,296.007985,280.113976,263.440431,257.104672,252.72146,236.098387,210.542023,67.623735,56.169912,67.182219,223.576187,268.109955,263.912141,257.468688,254.034834,243.283829,225.836874,68.400298,179.272825,61.425868,58.114704,268.494632,270.373962,750.424002,741.655175,730.728756,702.228048,666.887155,634.330388,592.832938,426.758407,201.566705,206.952007,198.389309,171.181707,77.877461,42.543288,31.254304,1261.627348,2.571438,2.533562,2.497063,2.540663,2.457494,2.474442,-0.000363,-0.000975,-0.000541,0,
28,278.429338,292.37546,276.936599,273.177243,261.963342,243.76064,212.766111,176.415191,62.766327,52.629294,50.771404,255.336846,297.297276,281.595446,265.118465,258.712667,254.219345,237.268619,212.255141,66.926643,55.432749,67.182219,224.182831,269.226925,265.18048,258.403762,254.934042,243.923623,225.836874,68.400298,179.425496,60.984731,57.851454,268.749708,272.339507,751.376185,742.385126,731.82361,702.805972,667.17154,634.108902,594.405758,428.444961,201.141423,207.860938,200.024713,173.655382,79.631534,42.203045,31.060806,1261.620918,2.57327,2.522116,2.489737,2.537153,2.446964,2.477495,-0.00021,-0.000975,0.000222,0,
29,279.281415,294.072972,278.235262,274.291609,263.269325,244.926595,213.184649,176.949704,62.251864,52.629294,50.512747,256.047747,299.248632,283.668104,266.60905,259.908591,255.529199,238.513743,213.396797,64.467542,55.248412,66.998772,224.675637,270.566605,266.224482,259.637483,256.319637,245.240302,226.10208,68.803747,179.998024,60.506747,57.593689,269.233709,272.265154,752.002483,742.71612,732.007026,702.733045,667.026632,634.144916,596.05591,429.020853,200.759974,208.737295,201.589128,175.334255,82.088177,41.793877,30.872906,1261.620918,2.602268,2.55798,2.497215,2.523876,2.458715,2.469406,-0.00021,-0.001127,-0.000235,0,
30,280.101714,295.148156,279.464645,275.522376,264.617431,245.947249,214.027265,177.566314,61.338434,52.155057,50.037787,257.47448,300.946804,285.374969,268.141488,261.296187,257.105632,239.688457,215.076266,62.489799,54.553271,67.114321,224.98452,271.725176,267.124537,260.801413,257.635156,246.373913,226.751704,68.515811,180.881646,59.997384,57.30458,269.537084,282.473576,751.860631,742.317083,731.829106,702.228048,666.742254,633.610124,597.245235,431.869066,200.231624,209.657271,202.968142,175.607103,84.14773,41.464578,30.690606,1261.627348,2.572354,2.544703,2.507594,2.538069,2.467566,2.456281,-0.00021,-0.001127,-8.28E-05,0,
31,281.058757,296.764904,280.608257,276.741456,265.655528,246.805955,214.249807,177.789714,60.266594,51.558881,49.514648,257.992255,302.044765,286.737148,269.326959,262.671812,258.333535,241.002091,216.401451,60.940865,54.031321,67.072151,225.585211,273.243748,268.497326,262.102961,258.863973,247.683614,227.541332,67.629992,181.906604,59.440139,56.973074,269.909279,297.208739,751.786947,742.42741,731.425614,701.972838,667.249422,633.754171,597.747554,433.164187,199.926424,210.457092,204.226703,175.301815,85.358555,41.017927,30.50264,1261.627348,2.529009,2.528526,2.484395,2.539595,2.479621,2.476426,-0.00021,-0.001127,-0.000388,0,
32,282.063509,297.618063,281.836516,277.93394,266.816042,247.525327,214.293522,177.948151,58.984491,50.751876,49.002372,259.081565,303.484208,288.479043,270.894847,263.871277,259.273141,242.10027,217.851474,59.99043,53.520233,67.004252,226.538031,275.106704,269.992099,263.638806,260.028545,249.37925,228.871948,67.452048,183.32477,58.783356,56.635992,270.313052,298.197702,752.113015,742.71612,731.310082,702.295505,668.294698,634.216944,597.706297,433.05088,200.340354,211.746002,205.822358,176.517312,86.8946,40.975117,30.384208,1261.620918,2.513441,2.503192,2.477527,2.53227,2.469244,2.479631,-0.00021,-0.000975,-0.000235,0,
