Time,FSW1_0-03mBC,FSW1_0-3mBC,FSW1_0-61mBC,FSW1_0-91mBC,FSW1_1-22mBC,FSW1_1-52mBC,FSW1_1-83mBC,FSW1_2-13mBC,FSW2_0-03mBC,FSW2_0-3mBC,FSW2_0-61mBC,FSW2_0-91mBC,FSW2_1-22mBC,FSW2_1-52mBC,FSW2_1-83mBC,FSW2_2-13mBC,FSW3_0-3mBC,FSW3_0-61mBC,FSW3_0-91mBC,FSW3_1-22mBC,FSW3_1-52mBC,FSW3_1-83mBC,FSW3_2-13mBC,FSW4_0-3mBS,FSW4_0-61mBS,FSW4_0-91mBS,FSW4_1-22mBS,FSW4_1-52mBS,FSW4_1-83mBS,FSW4_2-13mBS,FSW3_bdp_0-3mBC,FSW3_bdp_0-61mBC,FSW3_bdp_0-91mBC,FSW3_bdp_1-22mBC,FSW3_bdp_1-52mBC,FSW3_bdp_1-83mBC,FSW3_bdp_2-13mBC,FSW4_bdp_0-3mBS,FSW4_bdp_0-61mBS,FSW4_bdp_0-91mBS,FSW4_bdp_1-22mBS,FSW4_bdp_1-52mBS,FSW4_bdp_1-83mBS,FSW4_bdp_2-13mBS,FSW1_HF_0-15mAF,FSW1_RAD_0-15mAF,FSW2_HF_0-15mAF,FSW2_RAD_0-15mAF,FSW3_HF_1-52mBC,FSW3_HF2_1-52mBC,FSW5_HF_1-52mBC,FSW5_HF2_1-52mBC,FSW6_bdp_0-3mBS,FSW6_bdp_0-6mBS,FSW6_bdp_0-9mBS,FSW6_bdp_1-2mBS,FSW6_TC_0-3mBS,FSW6_TC_0-6mBS,FSW6_TC_0-9mBS,FSW6_TC_1-2mBS,Untitled,Comment
20,201.55399,172.397344,115.372413,80.387252,74.328957,42.264237,40.441765,37.656785,202.545546,187.872913,123.942285,64.269769,37.496992,27.618135,26.167426,24.418139,44.776386,38.347547,29.801761,26.751984,25.080449,24.301107,23.84898,31.679408,31.87908,28.890143,28.975452,26.331044,25.347716,24.07947,2.511737,2.529085,2.521434,2.508005,2.527777,2.519522,2.521433,2.545072,2.529795,2.529875,2.558574,2.55958,2.504189,2.531449,-0.000188,1.10E-05,-0.000516,-0.000364,-0.000141,-0.000119,-3.49E-05,8.08E-05,2.543259,2.553932,2.534497,2.552679,27.169932,28.772114,28.927614,28.072525,0,
21,213.922769,175.971366,115.659354,88.417109,78.682196,41.657804,40.057978,38.168902,214.759457,190.039652,125.615191,72.698305,41.403584,28.738037,26.722422,24.747474,49.951687,40.984528,29.866026,26.81645,25.069407,24.290058,23.913632,36.127991,34.681884,29.669885,29.077459,26.433288,25.412283,24.144092,2.511127,2.527254,2.520366,2.5077,2.527472,2.519522,2.520975,2.539119,2.529337,2.528502,2.559185,2.557749,2.500985,2.531143,-0.000188,1.10E-05,-0.000668,-0.000211,-0.000141,-0.000119,-3.49E-05,-7.18E-05,2.544022,2.548592,2.53053,2.550084,27.17544,28.702286,28.933113,28.115729,0,
22,243.002936,174.30413,116.638476,93.282723,86.362342,41.631446,39.807766,38.73992,211.955506,189.019193,126.225222,81.326747,55.861048,29.87874,27.072916,25.060989,56.088518,43.339889,29.989894,26.865217,25.193841,24.338939,23.84898,40.505766,37.125456,31.673915,29.314437,26.595325,25.423321,24.192977,2.503955,2.526643,2.520518,2.507394,2.526862,2.519827,2.523112,2.53683,2.531932,2.532927,2.558117,2.556986,2.504037,2.531143,-0.000341,1.10E-05,-0.000821,-5.88E-05,-0.000141,0.000187,0.000118,-7.18E-05,2.542496,2.557289,2.532513,2.553442,27.213179,28.626952,28.895458,28.078029,0,
23,265.35014,172.380627,117.106482,100.418419,91.712076,40.94474,39.343682,38.947537,205.006962,192.097147,138.30843,88.285274,68.861993,29.937523,27.131808,25.49798,60.81919,45.737843,30.086273,26.961906,25.17728,24.435854,23.908105,45.285279,40.431295,34.733696,29.448568,26.654284,25.444566,24.062893,2.509754,2.525728,2.520671,2.506326,2.526404,2.519369,2.521586,2.536067,2.527658,2.530333,2.561017,2.555765,2.504647,2.531296,-3.59E-05,-0.000142,-0.000516,-0.000364,-0.000141,3.39E-05,0.000118,-7.18E-05,2.540817,2.552864,2.533886,2.554052,27.250917,28.702286,28.970766,28.078029,0,
24,269.160618,180.13606,120.436822,111.315138,99.64375,40.135732,38.981324,38.846458,198.992526,198.753539,148.372078,94.290499,72.98219,29.760328,27.255953,25.924604,67.402551,49.417214,30.6614,27.312522,25.339492,24.446902,23.919158,50.887312,45.129369,35.456156,29.572519,26.7408,25.455603,24.149617,2.51128,2.527712,2.520976,2.506479,2.525946,2.519369,2.520975,2.535151,2.528421,2.530638,2.557048,2.555155,2.502969,2.525954,-0.000188,1.10E-05,-0.000516,-0.000364,1.20E-05,3.39E-05,0.000118,-0.000224,2.542191,2.552101,2.530987,2.552679,27.288653,28.739951,28.933113,28.002625,0,
25,269.383935,195.059254,128.89493,122.006007,108.409255,39.576383,38.570602,38.361091,205.132444,224.792611,162.995903,100.225304,80.429234,29.534459,27.029691,25.849054,73.52616,53.482553,32.12675,27.614292,25.452857,24.636021,24.032706,56.49496,49.910438,35.755602,29.723107,26.854028,25.493403,24.187451,2.506091,2.527864,2.520671,2.506174,2.525488,2.519217,2.522654,2.53683,2.528879,2.530791,2.555217,2.553934,2.500222,2.527328,-0.000341,1.10E-05,-0.000516,-0.000364,-0.000141,3.39E-05,-3.49E-05,8.08E-05,2.542038,2.553475,2.529156,2.553747,27.320881,28.659119,28.965267,27.997121,0,
26,267.820279,202.457674,138.260683,129.495525,95.77214,39.27795,38.010283,37.464473,235.080165,233.388663,174.242191,104.918442,89.978527,29.120242,26.237398,25.509017,80.124652,57.795954,34.039923,28.632134,25.868426,24.938544,24.184086,61.902847,54.307122,35.830451,29.836034,26.854028,25.531201,24.187451,2.50426,2.528169,2.520671,2.505563,2.526404,2.518301,2.522044,2.535609,2.525064,2.530485,2.554759,2.55546,2.502816,2.526565,-0.000341,1.10E-05,-0.000973,-0.000364,1.20E-05,0.000187,-3.49E-05,8.08E-05,2.54387,2.55378,2.528698,2.558021,27.299669,28.675621,28.944111,28.051335,0,
27,259.564476,199.12962,142.930905,133.090864,98.895007,39.602788,37.924643,36.818009,242.082911,235.531717,180.339089,108.203294,93.389751,28.807888,25.886631,25.422401,86.056712,62.05301,36.050983,30.390613,26.461576,25.192143,24.248718,66.592231,58.534817,36.455532,29.937958,26.805263,25.633553,24.214235,2.505023,2.528017,2.520518,2.506479,2.526709,2.520438,2.522044,2.539272,2.53239,2.531554,2.556743,2.554392,2.50068,2.525802,-0.000341,-0.000294,-0.000668,-0.000364,-0.000141,3.39E-05,0.00027,-7.18E-05,2.54448,2.550881,2.524426,2.553747,27.288653,28.739951,28.933113,28.040328,0,
28,246.640202,202.109058,145.243193,136.521416,111.854674,39.682828,37.070331,36.898258,239.375788,237.463014,169.277483,111.250415,89.899611,28.549635,25.74112,25.163353,92.160659,64.99775,37.663868,32.237724,26.995468,25.575608,24.443425,71.989196,63.285002,37.470365,29.943454,26.886256,25.601276,24.333252,2.507312,2.525575,2.520671,2.505716,2.525488,2.519827,2.521738,2.541714,2.532542,2.531096,2.557811,2.55485,2.501595,2.529007,-0.000341,1.10E-05,-0.000516,-5.88E-05,1.20E-05,0.000187,-3.49E-05,-7.18E-05,2.54677,2.551796,2.526257,2.549168,27.288653,28.739951,28.933113,28.040328,0,
29,256.765255,207.633205,149.939756,140.141361,120.007773,40.95018,36.621491,36.52426,243.744619,246.918731,162.381201,115.338969,87.326517,29.792471,25.665598,24.860911,97.609107,68.15492,39.828338,33.926189,27.523585,25.764531,24.519089,78.25815,67.949087,38.441481,30.018724,26.923995,25.714656,24.333252,2.510059,2.525575,2.520671,2.506784,2.525335,2.519827,2.52006,2.538662,2.529185,2.531401,2.556285,2.55546,2.5048,2.532059,-0.000341,1.10E-05,-0.000821,-0.000211,-0.000293,0.000187,-3.49E-05,8.08E-05,2.540512,2.553932,2.525799,2.551458,27.256425,28.707786,29.013916,28.045831,0,
