Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A8_2,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
20,289.092402,348.602613,334.099938,327.453495,317.014434,303.122827,273.326339,219.717884,87.804834,62.138787,58.968037,309.181467,370.074572,357.299327,339.622494,332.382359,325.836741,304.946028,254.063208,90.308148,64.828575,56.53909,271.627127,332.465829,326.974032,323.982172,319.431978,306.315112,281.074906,89.98211,207.59626,67.463258,74.774411,1259.830887,168.303984,723.897149,710.968104,691.706623,657.342523,621.540092,583.473214,529.635194,1260.753528,1260.40165,259.328668,157.195662,66.720009,36.379644,32.781383,276.002826,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.543177,2.493705,2.517925,2.476416,2.498861,2.57617,-5.79E-05,-0.000669,6.98E-05,0,
21,289.287781,348.212427,333.855027,327.244943,316.842071,303.060108,273.337258,219.994884,87.595227,62.112859,58.868507,309.449056,369.867394,357.164544,339.852011,332.575666,325.95711,304.625965,252.649913,90.245445,64.839366,56.586747,271.898297,332.84178,327.350439,324.248995,319.772366,306.362648,280.937631,89.882671,207.493208,67.400654,75.031105,1259.830887,168.418358,723.677418,710.821968,691.706623,657.848825,622.511612,583.652333,528.739513,1260.753528,1260.40165,259.665142,156.587719,66.426496,36.379644,32.781383,276.188471,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.562101,2.490195,2.50419,2.462072,2.479021,2.600284,-5.79E-05,-0.000669,-8.28E-05,0,
22,289.129308,347.764359,333.661689,327.1611,316.721423,302.82872,273.623608,219.983726,87.364044,62.06533,59.004817,309.3649,369.965648,357.153853,339.877758,332.601449,326.019446,304.578399,252.938825,90.308148,64.865298,56.575921,272.03607,333.123206,327.412826,324.530886,319.944724,306.682494,280.59335,89.871869,207.59626,67.573336,74.559791,1259.837206,168.462102,723.719435,710.863883,691.966695,657.564833,622.660853,584.481586,528.422336,1260.75985,1260.40797,260.081829,155.757603,65.954904,36.310389,32.711879,276.453819,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.553249,2.482716,2.509684,2.443149,2.462538,2.609747,9.47E-05,-0.000822,-8.28E-05,0,
23,288.955628,347.264772,333.416758,327.062191,316.475789,302.655697,273.820301,220.184757,87.22792,61.929211,59.015631,309.228941,369.576918,356.909958,339.706147,332.466122,326.139811,304.920067,254.26156,90.17194,64.912811,56.586747,272.084169,333.316528,327.569824,324.614791,319.992105,306.987165,280.270802,89.992912,207.797862,67.510735,74.884423,1259.830887,168.494609,723.75066,710.968104,691.997722,657.414849,622.187759,585.157009,528.345399,1260.753528,1260.40165,260.151074,154.992478,65.435735,36.117939,32.66883,276.856677,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.546382,2.498284,2.508768,2.447117,2.458723,2.598758,9.47E-05,-0.000669,-0.000235,0,
24,288.955628,346.863801,333.161086,326.806326,316.292636,302.655697,274.043212,220.678373,87.117735,62.07613,59.089189,309.339001,369.576918,356.873588,339.523811,332.283543,326.066732,304.809782,255.3104,90.208692,64.802643,56.660407,272.232855,333.353046,327.789201,324.870832,320.285073,307.134095,280.011434,89.992912,207.988261,67.510735,72.977505,1259.830887,168.494609,724.483147,711.552694,692.543575,658.174327,622.727522,585.981063,529.205273,1260.753528,1260.40165,260.263197,155.410193,64.958611,36.043155,32.63131,277.1536,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.558743,2.483785,2.500985,2.44498,2.491688,2.609747,9.47E-05,-0.000822,-8.28E-05,0,
25,288.887239,346.613978,332.874241,326.702038,316.041593,302.550798,274.160118,221.443204,86.82932,62.191715,59.168152,309.417765,369.654874,356.988043,339.529171,332.179359,326.181724,304.851944,256.251963,90.177342,64.844762,56.66582,272.312658,333.248858,328.050499,324.949358,320.363692,306.625213,279.498065,89.888072,207.9177,67.479434,72.982909,1259.837206,168.652732,724.92809,712.106193,693.167641,658.794542,623.488553,587.132934,530.46446,1260.75985,1260.40797,260.492934,154.580423,64.413416,36.048668,32.636841,277.455957,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.548671,2.493552,2.520824,2.470465,2.491077,2.588532,0.000247,-0.000975,-0.000235,0,
26,288.771082,346.389894,332.868875,326.440783,315.889671,302.545394,274.414686,222.310539,86.677027,62.223042,59.125967,309.559109,369.831085,357.128175,339.633213,332.06444,326.139811,304.993589,256.433631,90.17194,64.802643,56.734063,272.641697,333.243493,328.081688,325.017135,320.358312,306.656552,279.344367,89.882671,207.950182,67.510735,72.506152,1259.837206,168.728986,724.671683,711.996565,693.094848,658.396668,623.524542,587.670429,531.037646,1260.75985,1260.40797,259.932317,153.327851,63.899436,35.973879,32.636841,277.715705,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.565153,2.505762,2.531507,2.46314,2.488636,2.604252,9.47E-05,-0.000975,-8.28E-05,0,
27,288.881811,346.645079,333.051508,326.513894,315.816401,302.471857,274.600402,222.841752,86.419971,62.186314,59.162745,309.852568,369.867394,357.128175,339.815545,332.21051,326.066732,304.883306,256.396199,90.098437,64.839366,56.734063,272.864673,333.535629,328.227926,325.126859,320.394931,306.876964,279.344367,89.992912,208.178652,67.547427,71.950623,1259.830887,168.837751,724.373267,711.698853,692.83472,658.13816,623.375285,589.06273,532.751824,1260.753528,1260.40165,259.777289,154.992478,63.783874,35.968365,32.556265,277.93286,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.566374,2.490805,2.514567,2.449864,2.471848,2.606542,9.47E-05,-0.000822,-0.000235,0,
28,289.060923,346.785541,333.15572,326.508522,315.737745,302.539991,274.706368,223.822468,86.377854,62.291095,59.230892,310.103933,370.043599,357.122829,339.627853,332.278177,325.988278,304.657329,255.829142,90.166538,64.760524,56.728651,273.04501,333.822386,328.185996,325.231208,320.352933,306.57768,278.894111,89.987511,208.363438,67.578728,71.725161,1259.824569,168.870261,724.038246,711.510774,692.538213,658.277503,623.981808,589.415825,533.355486,1260.747207,1260.39533,260.182942,155.100797,64.108898,35.962852,32.588258,278.112897,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.568511,2.491721,2.51884,2.451848,2.479021,2.591737,9.47E-05,-0.000822,6.98E-05,0,
29,288.913292,346.858447,333.082669,326.435411,315.591197,302.503222,274.854924,224.694679,86.377854,62.217642,59.194116,310.654071,370.55189,357.377408,339.700787,332.314693,326.097899,304.620564,256.278399,90.31355,64.687076,56.728651,272.859212,334.041468,328.003197,325.231208,320.352933,306.32051,278.412149,89.987511,208.020743,67.505343,72.506152,1259.837206,168.957756,723.536332,711.229236,692.07586,658.215825,625.252205,590.035657,533.580958,1260.75985,1260.40797,260.717143,155.263887,64.156436,35.973879,32.599319,278.383509,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.533715,2.495689,2.517009,2.469397,2.496572,2.590516,-5.79E-05,-0.000822,-8.28E-05,0,
