X_Value,GC1_0mBC,GC1_0-3mBC,GC1_0-61mBC,GC1_0-91mBC,GC1_1-22mBC,GC1_1-52mBC,GC1_1-83mBC,GC1_2-13mBC,GC1_2-44mBC,GC1_2-74mBC,GC1_3-05mBC,GC2_0mBC,GC2_0-3mBC,GC2_0-61mBC,GC2_0-91mBC,GC2_1-22mBC,GC2_1-52mBC,GC2_1-83mBC,GC2_2-13mBC,GC2_2-44mBC,GC2_2-74mBC,GC2_3-05mBC,GC3_0mBC,GC3_0-3mBC,GC3_0-61mBC,GC3_0-91mBC,GC3_1-22mBC,GC3_1-52mBC,GC3_1-83mBC,GC3_2-13mBC,GC3_2-44mBC,GC3_2-74mBC,GC3_3-05mBC,GC4_0mBC,GC4_0-3mBC,GC4_0-61mBC,GC4_0-91mBC,GC4_1-22mBC,GC4_1-52mBC,GC4_1-83mBC,GC4_2-13mBC,GC4_2-44mBC,GC4_2-74mBC,GC4_3-05mBC,GC5_0-3mBS,GC5_0-61mBS,GC5_0-91mBS,GC5_1-22mBS,GC5_1-52mBS,GC5_1-83mBS,GC6_0-3mBS,GC6_0-61mBS,GC6_0-91mBS,GC6_1-22mBS,GC6_1-52mBS,GC6_1-83mBS,GC8_0-15mAF,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,BDP5_SED_1-83mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
1282,260.801219,307.878885,300.513517,292.941449,278.625556,261.561881,225.792537,169.889989,42.449918,38.758812,35.981741,270.962688,320.240419,307.764593,291.813034,287.067213,283.201405,262.496324,197.235041,40.009509,40.018027,46.809195,237.871938,288.656827,284.793344,281.921217,279.158404,264.566233,236.235701,65.941454,170.307136,55.38936,63.204601,1259.818251,158.468673,557.134513,551.132285,537.734331,505.5635,482.873709,437.480907,351.877786,1260.740887,1260.38901,206.37735,112.844544,45.70428,33.336402,30.704928,240.077041,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.529442,2.47768,2.509379,2.468481,2.483904,2.562891,-5.79E-05,-0.000975,6.98E-05,0,
1283,260.640939,307.463939,300.06098,292.524893,278.243944,260.916137,225.326596,168.772816,42.736536,38.897006,35.933353,270.61717,319.90021,307.460105,291.507035,286.612828,282.89459,261.962563,195.696805,40.073085,39.969794,46.83536,237.672264,288.387348,284.560445,281.614031,278.887914,264.592571,236.186868,65.967364,169.83848,55.489105,63.645476,1259.818251,158.430649,555.487239,549.735354,536.588146,505.024868,482.69435,436.510858,350.311876,1260.740887,1260.38901,204.432981,111.581787,45.555928,33.261424,30.704928,238.493189,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.531883,2.489889,2.519451,2.454137,2.48192,2.570065,-0.00021,-0.000822,-8.28E-05,0,
1284,260.571773,307.138631,299.735058,292.198325,278.101093,260.734897,225.332165,168.320849,43.076656,38.716035,35.901457,270.399552,319.466285,307.061631,291.106573,286.248604,282.419062,261.258361,193.869667,40.041298,40.049827,46.840807,237.338313,288.023275,284.195798,281.100865,278.374094,264.150439,236.343371,65.789264,169.462906,55.457663,63.79242,1259.818251,158.468673,553.804174,548.159315,535.298627,504.665759,482.335621,435.540707,348.089849,1260.740887,1260.38901,203.021901,112.658788,45.259173,33.036457,30.629747,237.512196,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.546534,2.494621,2.513499,2.460698,2.479326,2.586395,-0.000363,-0.000975,0.000222,0,
1285,260.459787,306.807896,299.477333,291.940085,277.878625,260.734897,225.370068,168.28272,43.63421,38.716035,36.013635,270.176448,318.990324,306.584272,290.700631,285.952844,281.975015,260.324232,192.494911,39.966765,40.198924,46.914922,237.07423,287.468932,283.75163,280.767419,277.928924,263.740054,236.192415,65.642463,169.081757,55.420804,63.829155,1259.818251,158.392625,552.08531,546.511612,533.722455,503.947493,481.259358,434.426698,345.794195,1260.740887,1260.38901,202.030116,113.922319,45.036561,32.961458,30.55456,236.983808,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.518911,2.484242,2.518535,2.46665,2.481615,2.576933,-0.00021,-0.000975,-8.28E-05,0,
1286,260.230308,306.398227,299.177357,291.6764,277.873175,260.580013,225.326596,167.895847,44.148908,38.785137,36.157693,269.613129,318.435693,306.101452,290.178471,285.503709,281.599476,259.758083,191.534527,40.073085,40.118901,46.946531,236.804574,286.946014,283.375995,280.280256,277.589544,263.286795,235.658447,65.637069,168.885591,55.452246,63.351566,1259.818251,158.430649,550.330635,544.79223,532.181995,503.085484,480.362391,433.636023,344.99235,1260.740887,1260.38901,200.771073,113.736449,44.702571,32.848949,30.479368,236.606319,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.547145,2.483937,2.516093,2.46665,2.484057,2.576322,-0.000363,-0.000975,-0.000388,0,
1287,260.054616,305.820911,298.893582,291.46586,277.661589,260.292175,224.579569,166.649074,44.679761,38.907971,36.243454,269.252094,318.04363,305.598032,289.709414,285.070807,281.05512,259.0961,190.629114,40.158565,39.943469,46.920368,236.664731,286.476269,282.942571,279.920533,277.303583,262.961875,235.254278,65.574455,168.210826,55.46308,62.475083,1259.824569,158.474277,548.545411,543.185539,530.646697,502.156822,479.650058,432.886517,344.013503,1260.747207,1260.39533,199.288414,113.964975,44.41109,32.741957,30.409712,236.272092,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.540735,2.495842,2.517772,2.47077,2.480089,2.57968,-0.000516,-0.000669,6.98E-05,0,
1288,259.96896,305.552783,298.588141,291.233611,277.502352,259.75817,223.99967,165.799426,45.225692,38.822428,36.157693,269.017944,317.55675,305.21989,289.366269,284.801035,280.525899,258.561558,189.663016,40.259392,39.783382,46.83536,236.351746,285.98471,282.524348,279.576043,276.921552,262.46565,234.903366,65.490262,167.399453,55.525964,62.096714,1259.811933,158.387022,547.030819,541.670433,529.20293,501.104376,479.101246,431.509902,342.507918,1260.734566,1260.382691,198.704667,114.883686,44.288768,32.730898,30.323425,236.147694,1259.548491,1259.943624,1260.60251,1259.285106,1259.285147,1259.504586,1259.021969,2.546229,2.501489,2.520214,2.479774,2.488483,2.584717,-0.000363,-0.000975,-8.28E-05,0,
1289,259.787756,305.52142,298.519892,291.054519,277.396546,259.688935,223.550158,165.462069,45.899034,38.716035,36.200574,268.614139,317.122595,304.931387,289.076293,284.473563,280.12401,258.193012,188.102556,40.264868,39.714288,46.914922,236.16859,285.546352,282.048303,279.062475,276.518702,262.209801,234.30469,65.569061,166.719303,55.53138,61.881585,1259.818251,158.392625,545.460403,540.242748,527.918219,500.139527,478.317079,430.041076,341.60163,1260.740887,1260.38901,198.481276,115.186768,44.108592,32.698918,30.216153,236.039978,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.545313,2.483937,2.521587,2.475196,2.488025,2.577696,-0.00021,-0.000975,6.98E-05,0,
1290,259.66475,305.290035,298.398578,290.896051,277.348557,259.565856,223.121789,164.65076,46.481528,38.779654,36.339112,268.119418,316.782146,304.479686,288.622275,284.055745,279.779798,257.695678,186.601599,40.067609,39.852473,46.792854,235.931035,285.202592,281.629939,278.71787,276.173679,261.825444,233.764772,65.52157,166.403361,55.483689,62.217812,1259.824569,158.436252,543.854136,538.743351,526.597571,498.891632,477.317553,428.67986,341.132888,1260.747207,1260.39533,198.105195,114.931848,44.114067,32.666937,30.296907,236.045541,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.532494,2.483021,2.512125,2.471228,2.480089,2.555108,-5.79E-05,-0.000669,-8.28E-05,0,
1291,259.563703,305.043468,298.188403,290.759271,277.211107,259.165777,222.791527,163.900088,46.974359,38.939775,36.312722,267.907046,316.353296,304.159777,288.1899,283.696617,279.38324,257.519589,185.887047,40.041298,39.863428,46.766688,235.753395,284.917525,281.344435,278.320843,275.813295,261.462973,233.246952,65.569061,166.109837,55.494522,62.144302,1259.824569,158.512301,542.206726,537.274432,524.913121,497.641562,476.420354,427.780698,340.622262,1260.747207,1260.39533,197.685298,114.448344,44.076934,32.666937,30.259302,236.045541,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.523337,2.488211,2.516856,2.473975,2.494588,2.557702,-5.79E-05,-0.000975,-0.000235,0,
