Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_0-15mAF,RAD_0-15mAF,EVENT,Untitled,Comment
20,20.202786,20.578095,20.828769,21.007476,20.919381,21.020342,21.156404,21.186581,21.32655,21.222201,21.167636,20.05712,20.664132,20.84899,20.698827,20.539382,20.926351,20.557492,20.584929,20.856016,20.440953,20.552681,20.038882,20.746371,20.676963,20.742728,20.739985,20.849144,20.980348,20.9033,20.321823,20.781324,22.719282,36.38344,35.338308,32.263926,30.566857,30.787398,25.364121,24.995155,25.290325,25.106802,24.58453,24.40119,28.884405,28.080218,27.824209,28.686327,28.733016,29.48128,1259.819701,2.505963,2.485489,2.44685,2.520672,2.468176,2.477495,-0.000668,-0.00128,-8.28E-05,0,
21,20.235107,20.572489,20.861113,21.001872,20.875851,20.976813,21.150801,21.143042,21.320947,21.216598,21.162033,20.127396,20.696465,20.805458,20.655287,20.60966,20.882836,20.513926,20.541367,20.812481,20.397391,20.509136,19.919387,20.664874,20.823164,20.699178,20.810284,20.843539,21.050599,21.011467,20.278274,20.623959,22.654735,37.852239,36.172649,32.83816,31.179754,31.437578,25.904292,25.233191,25.452599,25.155792,24.633555,24.488024,28.895557,28.053677,27.835372,28.622172,28.781819,29.454792,1259.832396,2.509321,2.492662,2.468675,2.522045,2.466803,2.485431,-0.000516,-0.000822,-0.000235,0,
22,20.278641,20.578095,20.866717,21.045402,20.881455,21.058267,21.232264,21.186581,21.32655,21.222201,21.167636,20.095063,20.70207,20.811062,20.585019,20.539382,20.88844,20.519533,20.509017,20.818086,20.365042,20.552681,20.038882,20.670479,20.790819,20.704783,20.739985,20.811201,21.018276,20.941225,20.283881,20.629564,22.605635,38.811943,37.133721,33.539911,31.619729,31.914882,26.535102,25.411004,25.668002,25.25799,24.660187,24.552457,28.846731,28.155616,27.899593,28.611018,28.695364,29.443646,1259.819701,2.512526,2.497698,2.469896,2.521129,2.473975,2.485431,-0.000821,-0.000975,-8.28E-05,0,
23,20.273034,20.572489,20.89906,21.077723,20.875851,21.052663,21.226661,21.067167,21.396792,21.178695,21.162033,20.165336,20.658526,20.767529,20.61735,20.571718,20.882836,20.513926,20.541367,20.812481,20.397391,20.509136,19.919387,20.664874,20.785214,20.775067,20.73438,20.881481,21.012672,20.897696,20.278274,20.699841,22.649126,39.563634,37.849122,34.295324,32.301579,32.371097,26.993627,25.907847,25.975639,25.452539,24.741435,24.671491,28.965324,28.161196,27.905174,28.691904,28.776243,29.449219,1259.826048,2.50871,2.491288,2.468217,2.524945,2.477027,2.492909,-0.000516,-0.000975,-8.28E-05,0,
24,20.208394,20.659632,20.948215,21.088931,20.88706,21.025946,21.199938,21.154249,21.407996,21.265705,21.173239,20.138612,20.707676,20.740809,20.628562,20.544988,20.894045,20.525139,20.55258,20.823691,20.408605,20.520349,20.00653,20.676085,20.758474,20.710388,20.783543,20.816806,20.985952,20.946829,20.289489,20.63517,22.56775,40.266522,38.553011,34.964206,32.896808,32.853535,27.629377,26.317755,26.309748,25.598085,24.924943,24.703703,28.959749,28.155616,27.861902,28.723979,28.808316,29.443646,1259.819701,2.507794,2.487931,2.470659,2.52586,2.480232,2.493367,-0.000668,-0.000975,-8.28E-05,0,
25,20.164857,20.578095,20.866717,21.121251,20.957305,21.09619,21.232264,21.262449,21.364472,21.222201,21.205545,20.095063,20.70207,20.84899,20.660892,20.577324,20.926351,20.519533,20.509017,20.818086,20.440953,20.552681,19.962959,20.632532,20.752869,20.666836,20.777938,20.925026,20.980348,20.941225,20.245938,20.629564,22.611243,41.203488,39.453999,35.718618,33.690376,33.38437,28.238212,26.77643,26.541743,25.67924,24.930539,24.784915,29.040662,28.085798,27.942864,28.691904,28.85154,29.562115,1259.826048,2.515731,2.495104,2.468064,2.52525,2.475196,2.494588,-0.000668,-0.000822,-8.28E-05,0,
26,20.229499,20.566883,20.931402,21.07212,20.98402,21.198746,21.33484,21.21331,21.39119,21.248896,21.194339,20.121788,20.652921,20.799853,20.649681,20.566113,20.915143,20.584239,20.497805,20.768945,20.353828,20.50353,19.913778,20.659268,20.77961,20.731518,20.728775,20.913818,21.007069,20.892092,20.272667,20.694236,22.660343,42.51729,40.173442,36.478041,34.413932,33.845504,28.77693,27.240494,26.816997,25.803757,24.941733,24.871718,29.014144,28.134658,27.878646,28.665404,28.825045,29.53563,1259.838744,2.518631,2.495562,2.470354,2.522961,2.476416,2.49062,-0.000821,-0.001127,-0.000388,0,
27,20.31096,20.610456,20.974951,21.267329,21.027545,21.166429,21.302516,21.180978,21.35887,21.292399,21.199942,20.127396,20.658526,20.767529,20.61735,20.571718,20.844923,20.551886,20.579323,20.812481,20.359435,20.547075,19.95735,20.70282,20.747263,20.623283,20.696426,20.843539,21.012672,20.897696,20.278274,20.699841,22.535472,44.290669,41.056612,37.102662,35.189746,34.284249,29.330733,27.757457,27.032125,25.868121,25.006172,24.898327,29.040662,28.198893,27.867483,28.729556,28.85154,29.524485,1259.826048,2.519241,2.493272,2.468217,2.524334,2.475653,2.493367,-0.000668,-0.000975,-8.28E-05,0,
28,20.409237,20.784729,21.073253,21.327658,21.163717,21.340511,21.362852,21.241325,21.419201,21.276911,21.222355,20.187769,20.68095,20.827878,20.67771,20.594143,20.867343,20.536353,20.525837,20.834902,20.381864,20.531562,19.979787,20.725243,20.883532,20.797488,20.794754,20.828016,20.921303,20.920115,20.300704,20.722264,22.637911,45.950243,41.86468,37.652203,35.665511,34.910117,29.92188,28.311865,27.360321,25.970252,25.070608,24.924936,29.104845,28.187734,27.931702,28.756054,28.80274,29.51334,1259.813353,2.518783,2.502124,2.473101,2.525708,2.4784,2.49474,-0.000516,-0.00128,-0.000235,0,
29,20.614325,20.686384,21.164657,21.418992,21.103385,21.356015,21.302516,21.180978,21.434712,21.292399,21.162033,20.203275,20.772338,20.767529,20.61735,20.60966,20.844923,20.475965,20.541367,20.812481,20.397391,20.509136,19.95735,20.892535,20.937006,20.888893,20.886183,20.805596,21.012672,20.935621,20.24033,20.623959,22.541081,47.449855,43.071597,38.602496,36.393278,35.52589,30.690962,29.006877,27.565559,26.213613,25.314243,25.017323,29.083904,28.242168,27.948445,28.697481,28.894762,29.530057,1259.832396,2.529162,2.509907,2.481953,2.532117,2.480842,2.500082,-0.000516,-0.000975,-0.000235,0,
