Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
20,297.522889,319.691828,310.328959,297.146492,282.518966,256.482648,210.294683,123.442396,76.601204,65.763152,61.861685,300.024691,324.305123,310.667685,300.069543,295.521387,285.573433,247.101128,135.267143,75.217089,66.65164,61.604633,261.069994,295.707153,296.058446,293.011926,287.675337,272.611386,225.12002,87.473199,135.54472,76.65598,80.199226,638.311922,343.413344,625.88691,613.110324,581.832331,522.288421,488.975939,450.380537,363.745835,182.641329,1265.249877,106.84809,84.424002,63.134076,49.935511,40.185208,35.701825,1263.886231,2.504894,2.491288,2.464096,2.509379,2.465429,2.45506,-0.00021,-0.00128,-8.28E-05,0,
21,297.338871,319.288851,309.92517,296.815005,282.148807,255.996189,210.180456,122.881556,76.491201,65.763152,61.75147,299.730412,323.866232,310.4109,299.811974,295.22657,285.536475,247.401799,134.702553,75.217089,66.688345,61.531134,260.84591,295.375429,295.763561,292.827476,287.490504,272.313984,225.12002,87.39976,135.168464,76.765973,80.077986,638.084594,343.329302,625.299984,612.128732,580.961203,520.879364,487.818093,449.867128,363.516632,182.706083,1265.236757,106.984977,84.779953,63.269793,50.293897,40.39734,35.802637,1263.873119,2.515425,2.497698,2.463638,2.514109,2.464819,2.476121,-0.000516,-0.000975,-0.000235,0,
22,297.222854,319.246647,309.589185,296.588393,281.884034,255.541368,210.288894,122.277847,76.302288,65.647507,61.709142,299.39372,323.348581,310.038456,299.659186,295.073547,285.604767,248.147596,134.583935,75.28483,66.71947,61.525545,260.616125,295.038066,295.463044,292.563618,287.189128,272.233976,225.038461,87.467614,134.786562,76.723734,80.329158,637.826724,343.177909,624.79058,611.404337,580.274783,519.332197,486.199356,449.287403,362.893074,182.662048,1265.230198,107.238691,84.994658,63.411111,50.546973,40.65236,36.058766,1263.866564,2.502452,2.492509,2.465317,2.50419,2.458562,2.46559,-0.00021,-0.000975,6.98E-05,0,
23,297.04442,319.252215,309.411196,296.225609,281.741572,255.322463,210.485053,121.872505,76.124526,65.579711,61.788209,299.068188,322.805415,309.677136,299.407181,294.821151,285.573433,249.054796,134.21338,75.327062,66.72505,61.494384,260.397677,294.711876,295.136836,292.310955,286.972909,272.016546,224.741017,87.363041,134.529001,76.65598,81.545357,637.868278,343.074099,624.364173,610.9785,579.742678,518.4771,484.806317,448.969862,362.135124,182.476848,1265.236757,107.57787,84.926823,63.379988,50.700435,40.732523,36.32625,1263.873119,2.485969,2.48732,2.442118,2.503274,2.452,2.460402,-5.79E-05,-0.000975,-8.28E-05,0,
24,296.860374,319.142305,309.154182,296.115084,281.778596,254.985526,210.675415,122.208789,76.124526,65.6164,61.861685,298.921009,322.366388,309.163417,299.07595,294.563129,285.425599,249.317665,133.837181,75.290404,66.688345,61.494384,260.285606,294.453788,294.841863,292.015759,286.714075,271.942181,224.627306,87.252886,134.303361,76.729309,82.027919,637.585367,343.043205,624.045755,610.660506,579.461447,517.944685,483.986898,448.688207,361.304366,182.788323,1265.243317,107.805909,84.675405,63.312132,50.74303,40.775445,36.36935,1263.879675,2.511763,2.477553,2.457381,2.509073,2.460698,2.467574,-0.000363,-0.000822,-0.000235,0,
25,296.713129,318.885837,309.044028,296.004556,281.48239,254.64854,210.751557,122.881556,76.197861,65.726464,61.898422,298.700228,322.146858,308.94323,298.744684,294.26822,285.240795,249.542958,134.025271,75.327062,66.688345,61.494384,260.248247,294.232553,294.620614,291.794343,286.529179,271.756259,224.627306,87.436479,134.190552,76.65598,81.765489,637.399615,342.855345,623.644393,610.367498,579.061774,517.688189,483.335797,448.395587,360.535145,182.324026,1265.236757,108.022664,84.192517,63.012657,50.700435,40.695285,36.401032,1263.873119,2.509473,2.499682,2.463028,2.492897,2.457952,2.469406,-0.00021,-0.001127,-8.28E-05,0,
26,296.481046,318.47165,308.739105,295.845973,280.952684,254.300115,210.739982,122.832808,76.186712,65.678613,61.850508,298.321028,321.8796,308.748568,298.439001,294.035807,285.007766,250.207294,134.089075,75.352571,66.71389,61.483206,260.124807,294.036965,294.388138,291.598596,286.370011,271.484636,224.805295,87.388591,133.840728,76.718159,82.835171,637.224869,342.75153,623.361991,610.265161,578.386365,517.406772,482.946696,448.365174,360.249751,182.36806,1265.243317,107.917112,83.75759,63.054999,50.595215,40.738209,36.481515,1263.879675,2.510236,2.488083,2.458754,2.503274,2.455815,2.473832,-0.000363,-0.000975,-8.28E-05,0,
27,296.344987,318.262926,308.346311,295.599252,280.55653,254.011877,210.713486,122.619893,76.234528,65.799839,61.971895,298.258619,321.671176,308.612926,298.302944,293.715188,284.834183,250.594035,133.536277,75.290404,66.688345,61.457633,259.87463,293.753154,294.104305,291.38837,286.085378,271.421562,224.892624,87.436479,133.513838,76.729309,82.761779,636.972532,342.642149,623.146078,609.941709,577.526346,516.976422,482.444485,448.149816,360.395225,181.565761,1265.243317,107.805909,83.53734,63.385595,50.484344,40.738209,36.406739,1263.879675,2.507184,2.492357,2.452039,2.499764,2.459172,2.45506,-0.000363,-0.000822,-8.28E-05,0,
28,296.192116,317.890897,308.010185,295.225144,280.032271,253.706514,210.745769,122.016277,76.228953,65.794257,62.039778,297.958581,321.37286,308.240304,297.966,293.562089,284.680684,250.851026,132.628148,75.358145,66.71947,61.452044,259.495271,293.52626,293.803624,291.08747,285.968794,271.192751,225.000561,87.320738,133.470533,76.723734,83.165443,636.503929,342.423381,622.858203,609.258904,576.738029,516.617785,482.157496,447.862666,360.540695,179.770268,1265.243317,107.768843,83.427218,63.826334,50.521302,40.961609,36.593669,1263.879675,2.503673,2.492051,2.466996,2.490913,2.46253,2.465896,-0.000363,-0.001127,-0.000388,0,
29,296.186514,317.885328,307.747492,294.998416,279.952538,253.588432,210.816122,121.076745,76.186712,65.751989,62.144393,297.695324,321.184316,308.16131,297.849945,293.298352,284.490205,250.695214,131.382351,75.315913,66.640479,61.409703,259.265352,293.262463,293.539804,290.860372,285.630259,270.889522,225.260083,87.278436,133.314474,76.754824,80.958374,636.246117,342.344891,622.636813,608.822202,576.087599,516.432989,481.936775,447.713608,360.280569,177.930986,1265.236757,107.800254,83.127971,63.820727,50.663482,41.104835,36.43842,1263.873119,2.507947,2.491899,2.466385,2.509379,2.45902,2.477495,-0.00021,-0.000975,-8.28E-05,0,
