Time,FSE1_0-03mBC,FSE1_0-3mBC,FSE1_0-61mBC,FSE1_0-91mBC,FSE1_1-22mBC,FSE1_1-52mBC,FSE1_1-83mBC,FSE1_2-13mBC,FSE2_0-03mBC,FSE2_0-3mBC,FSE2_0-61mBC,FSE2_0-91mBC,FSE2_1-22mBC,FSE2_1-52mBC,FSE2_1-83mBC,FSE2_2-13mBC,FSE3_0-3mBC,FSE3_0-61mBC,FSE3_0-91mBC,FSE3_1-22mBC,FSE3_1-52mBC,FSE3_1-83mBC,FSE3_2-13mBC,FSE4_0-3mBS,FSE4_0-61mBS,FSE4_0-91mBS,FSE4_1-22mBS,FSE4_1-52mBS,FSE4_1-83mBS,FSE4_2-13mBS,FSE3_bdp_0-3mBC,FSE3_bdp_0-61mBC,FSE3_bdp_0-91mBC,FSE3_bdp_1-22mBC,FSE3_bdp_1-52mBC,FSE3_bdp_1-83mBC,FSE3_bdp_2-13mBC,FSE4_bdp_0-3mBC,FSE4_bdp_0-61mBC,FSE4_bdp_0-91mBC,FSE4_bdp_1-22mBC,FSE4_bdp_1-52mBC,FSE4_bdp_1-83mBC,FSE4_bdp_2-13mBS,FSE1_HF_0-15mAF,FSE1_RAD_0-15mAF,FSE2_HF_0-15mAF,FSE2_RAD_0-15mAF,FSE3_HF_1-52mBC,FSE3_HF2_1-52mBC,FSE5_HF_1-52mBC,FSE5_HF2_1-52mBC,FSE_bdp_0-3mBS_RW,FSE_bdp_0-6mBS_RW,FSE_bdp_0-9mBS_RW,FSE_bdp_1-2mBS_RW,FSE_TC_0-3mBS_RW,FSE_TC_0-6mBS_RW,FSE_TC_0-9mBS_RW,FSE_TC_1-2mBS_RW,Untitled,Comment
21,155.909715,105.372178,61.065705,33.488633,29.267349,27.9001,26.001618,23.688824,150.434146,119.262157,77.094025,31.416233,26.264262,24.709061,23.349646,21.979408,22.758907,22.103407,21.385389,21.01062,21.119895,21.858845,22.49099,24.127248,24.001806,23.849797,23.275577,23.669197,23.51524,22.366558,2.538591,2.546651,2.506668,2.508476,2.527955,2.510953,2.531521,2.534306,2.46286,2.444133,2.592947,2.517187,2.536979,2.526236,-0.000328,0.000178,-0.000163,-0.000421,0.000118,-0.000256,-5.79E-05,0.000575,2.495587,2.533575,2.505259,2.50311,28.333793,28.26597,28.115239,28.111892,0,
22,161.972668,116.832942,67.332014,35.307884,31.506818,28.335939,25.871955,23.899516,156.300539,125.1078,83.127118,34.58696,27.266644,24.995021,23.446782,22.000886,23.348523,22.200701,21.406874,21.032124,21.141384,21.842425,22.436692,24.073022,23.947581,23.833406,23.221315,23.614964,23.536683,22.38802,2.537675,2.548025,2.506515,2.508628,2.52765,2.510648,2.531368,2.531253,2.470032,2.444286,2.5931,2.517187,2.537132,2.526083,-2.30E-05,2.49E-05,-0.000163,-0.000268,-0.000188,-0.000104,9.48E-05,0.000422,2.49864,2.533727,2.504953,2.503415,28.93106,28.335893,28.072115,28.10645,0,
23,164.298832,112.855734,71.923879,37.66863,33.725729,30.148111,25.764091,24.056343,165.399665,129.982018,90.253544,39.299361,28.628882,25.37828,23.565769,22.120037,24.073208,22.471449,21.488169,21.075536,21.108941,21.809997,22.442162,24.116323,23.990881,23.83887,23.264644,23.620429,23.50431,22.355616,2.539201,2.545125,2.506668,2.508323,2.527803,2.510801,2.531368,2.530338,2.472474,2.444896,2.592795,2.517187,2.537437,2.525473,-0.000176,2.49E-05,-0.000163,3.69E-05,-3.49E-05,4.88E-05,-0.000211,0.000575,2.501692,2.53388,2.504953,2.503263,29.83991,28.26597,28.1906,28.149588,0,
24,155.589607,109.470424,76.53996,39.78996,35.704802,31.195185,25.720862,24.013042,167.871165,133.580613,98.344048,47.09671,28.887063,25.486139,23.598142,22.03878,24.899942,22.617539,21.444784,21.032124,21.103464,21.842425,22.398802,24.186536,24.288064,23.909103,23.259178,23.614964,23.498845,22.274393,2.538133,2.544667,2.506973,2.508018,2.52765,2.510496,2.53091,2.534306,2.468659,2.446575,2.5931,2.516882,2.536979,2.526388,-0.000176,2.49E-05,-1.00E-05,-0.000116,-3.49E-05,4.88E-05,9.48E-05,0.000422,2.496961,2.534032,2.505106,2.503415,30.989394,28.325012,28.211954,28.133263,0,
25,161.826041,110.329448,80.360107,41.620405,36.757138,31.914211,25.839637,24.094181,170.126166,144.552822,105.660619,63.686404,28.930156,25.529363,23.603607,22.082145,25.850299,22.774547,21.450259,21.075536,21.14686,21.847899,22.366382,24.532469,24.671714,23.914566,23.264644,23.658269,23.50431,22.355616,2.538438,2.54482,2.506668,2.508018,2.527803,2.510343,2.531216,2.537969,2.46759,2.444896,2.594474,2.516729,2.53759,2.526236,-2.30E-05,-0.00028,0.000143,-0.000268,-0.00034,-0.000409,-0.000211,0.000727,2.501539,2.533727,2.504801,2.50311,32.089643,28.298211,28.147478,28.181842,0,
26,167.534812,130.268155,87.298318,45.03953,38.213702,31.876665,26.104005,23.980664,172.567362,159.107759,113.074299,81.137819,29.645336,25.30273,23.452248,22.044252,26.945344,22.963941,21.563983,21.075536,21.184778,21.847899,22.404273,25.099685,25.276543,23.990257,23.226781,23.620429,23.579984,22.317741,2.542254,2.546498,2.506973,2.508171,2.52765,2.510343,2.531063,2.550332,2.46759,2.444438,2.594321,2.516576,2.537285,2.526236,-0.000176,0.000178,0.000295,-0.000116,0.000118,-0.000256,-0.000363,0.000422,2.497266,2.53388,2.505106,2.503263,33.29585,28.341334,28.228278,28.187283,0,
27,162.619264,131.87827,90.63788,51.808952,40.482747,31.533268,26.438361,24.126555,177.714119,157.050681,121.073649,95.013625,30.316998,25.637208,23.408939,22.076673,28.146924,23.185705,21.558508,21.032124,21.179302,21.76662,22.360912,26.190008,25.686713,24.098321,23.297039,23.577123,23.612354,22.31227,2.542864,2.546193,2.506668,2.507865,2.527497,2.510038,2.53091,2.554759,2.471711,2.444438,2.593405,2.517034,2.537285,2.52593,-0.000176,0.00033,-1.00E-05,-0.000268,-0.000188,-0.000104,-5.79E-05,0.000727,2.500013,2.533422,2.504801,2.502805,34.297139,28.443489,28.217396,28.251787,0,
28,179.652622,132.254183,86.705242,58.223672,44.238894,31.232755,26.778062,24.126555,180.768627,160.432715,124.286018,94.314411,31.181545,25.977034,23.484624,22.03878,29.616133,23.640029,21.634318,21.107992,21.141384,21.76662,22.360912,27.812727,26.328728,24.022638,23.334899,23.652804,23.536683,22.38802,2.541185,2.547414,2.506821,2.507102,2.526887,2.509733,2.530758,2.550332,2.470185,2.444438,2.5931,2.516729,2.536827,2.526236,-0.000176,2.49E-05,-0.000163,-0.000116,-3.49E-05,4.88E-05,-0.000211,0.000727,2.496656,2.533575,2.504801,2.5025,35.650549,28.373573,28.109797,28.181842,0,
29,196.860155,142.507941,87.660421,63.958382,46.761379,30.932157,27.079927,24.202224,187.069959,165.569179,127.092398,95.565776,32.158006,26.316754,23.598142,22.152455,31.233664,24.283336,21.634318,21.107992,21.179302,21.804523,22.398802,29.244697,27.159002,24.136161,23.334899,23.614964,23.536683,22.31227,2.539812,2.549703,2.506668,2.507713,2.526887,2.509885,2.530452,2.549722,2.46347,2.445659,2.5931,2.516424,2.536522,2.52593,-0.000176,-0.000128,-0.000163,-0.000116,-3.49E-05,-0.000409,-5.79E-05,0.000575,2.499555,2.533422,2.505106,2.50311,36.89014,28.379014,28.303631,28.187283,0,
30,202.921168,139.599729,86.778708,67.555473,48.61309,30.894577,27.645694,24.240057,204.702496,170.368973,146.252793,107.452611,33.808433,26.618636,23.635979,22.114565,32.998834,25.039683,21.785922,21.221785,21.141384,21.804523,22.436692,30.599512,27.950932,24.211837,23.334899,23.652804,23.536683,22.31227,2.540422,2.549398,2.506821,2.507102,2.526124,2.510343,2.531216,2.549874,2.46988,2.445964,2.592489,2.516729,2.536216,2.525473,-2.30E-05,2.49E-05,-1.00E-05,-0.000268,-3.49E-05,-0.000256,9.48E-05,0.000575,2.498334,2.533727,2.505259,2.502957,38.181439,28.362692,28.324983,28.246346,0,
