Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2
136,1.976076855,2.123297568,1.912734579,2.37176856
137,1.871966412,2.109964213,1.918125411,2.372552875
138,1.895214375,2.151846634,1.950470403,2.311846894
139,1.842653763,2.174748632,1.988543154,2.267768391
140,1.839284493,2.260082104,2.063677875,2.217415368
141,1.90026828,2.295219416,1.881737295,2.146670155
142,1.8194058,2.260709556,2.057613189,2.21961145
143,1.790767005,2.240631092,1.909702236,2.156081935
144,1.764486699,2.331297906,1.928907075,2.146199566
145,1.771562166,2.430121596,2.019540438,2.192631014
146,1.821090435,2.439533376,1.907680674,2.192787877
147,1.714284576,2.376631313,1.869607923,2.226356559
148,1.78908237,2.254591899,1.906669893,2.16941529
149,1.726413948,2.32000377,1.896562083,2.242513448
150,1.722033897,2.196709452,1.780996122,2.219140861
151,1.755726597,2.146356429,1.798179399,2.4313765
152,1.767182115,2.132866211,1.764149772,2.484082468
153,1.807276428,2.14117995,1.862195529,2.453494183
154,1.73517405,2.079689654,1.84635996,2.478749126
155,1.748988057,2.149179963,1.875335682,2.45804321
156,1.792114713,2.23843501,1.919136192,2.418984323
157,1.712936868,2.171925098,1.85646777,2.34823911
158,1.733152488,2.149650552,1.863543237,2.3372587
159,1.846023033,2.179140796,1.937667177,2.282513513
160,1.927559367,2.132081896,2.011791117,2.33412144
161,1.86320631,2.068552381,2.051548503,2.308552771
162,1.770214458,2.205964369,2.060982459,2.22274871
163,1.599392469,2.317180236,2.047168452,2.174434906
164,1.695416664,2.372239149,2.022909708,2.182434919
165,1.720349262,2.222905573,1.890834324,2.190905521
166,1.81266726,2.238121284,1.871629485,2.218356546
167,1.734163269,2.299297854,1.896562083,2.243611489
168,1.764823626,2.26667035,2.081535006,2.215846738
169,1.810645698,2.317180236,2.049526941,2.155768209
170,1.842653763,2.270435062,2.062330167,2.121885801
171,1.799864034,2.253493858,2.071764123,2.125964239
172,1.772572947,2.191689836,1.934971761,2.178670207
173,1.845686106,2.048944506,1.859163186,2.188866302
174,1.735510977,2.161415277,1.968664461,2.328160646
175,1.703502912,2.212552615,1.86320631,2.320788085
