Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
57,812.9831065,811.4528359,762.1745663,658.6599796,606.2812957,533.9430408,449.0598828,356.6859075,281.4407664,223.797439,205.3387552,174.1257948,,1.833893661,2.219454587,2.026674124
58,812.814794,828.1733524,795.9957344,701.6993354,640.4270639,564.3374075,482.2202867,393.720892,320.7293334,254.4258343,229.9281126,190.8584965,,1.846696887,2.120474034,1.983585461
59,816.5930927,840.706144,825.8168314,729.9941789,656.3108179,576.55531,494.0652055,401.6355305,334.0670444,266.5167365,243.3453138,198.1693108,,1.692047394,2.122826979,1.907437187
60,827.3557811,843.956652,811.5088637,699.432558,640.6507349,565.4050177,482.4508162,385.8352846,319.4215587,259.4717671,238.2627286,195.1280304,,1.689015051,2.159532921,1.924273986
61,823.9875325,840.2433947,816.1583036,704.5140468,632.8206682,561.6067471,472.6865346,379.3442522,311.7728942,250.8291849,234.5501173,190.8638152,,1.762465137,2.18980748,1.976136309
62,826.5092476,806.2102369,779.6124455,662.0002495,599.160728,530.3204595,448.1158277,364.3323969,304.442397,249.7304656,234.108317,192.1510894,,1.810308771,2.342121453,2.076215112
63,823.4585713,795.5717223,760.5228813,646.3829939,600.5816553,523.404236,446.4535882,362.5392129,301.5863489,245.4865117,233.113952,194.4706124,,1.925537805,2.276552719,2.101045262
64,822.7713152,809.3843356,780.4040568,660.7181751,608.6509012,533.3941375,458.2297513,369.8109044,306.5949981,252.5774627,236.827518,199.4927487,,1.815699603,2.221807532,2.018753568
65,823.4554493,810.0875178,774.9132023,672.8683681,621.5653331,543.6766219,461.1851563,375.4679763,310.0363661,256.9179819,244.93901,208.9740462,,1.69811208,2.154983894,1.926547987
66,830.6789637,837.8047025,777.3901091,675.8548169,617.1660135,544.6760347,462.7837902,380.1745466,317.0945461,264.8788755,247.3789304,208.3380662,,1.800537888,2.151846634,1.976192261
67,819.8980041,842.8650029,787.7384531,685.6582908,629.2428364,548.0179504,461.9035433,381.8028397,318.1610538,261.5197928,246.3827847,209.468592,,1.831198245,2.115454418,1.973326332
68,814.1169825,834.8408199,783.4621191,674.2348359,625.5755933,535.1569913,456.435873,380.1174274,316.1295603,256.7497526,246.8264826,209.9706088,,1.913071506,2.081885736,1.997478621
69,817.3047123,840.7203633,791.7821282,665.5070776,618.7553837,538.4413458,458.8824703,372.2652504,303.2220298,247.2548479,238.1745855,198.8557409,,1.857478551,2.13961132,1.998544936
70,818.4756691,817.8252132,768.0722323,658.1995986,610.7746687,530.1688768,446.661217,355.8124844,288.2240609,235.2931106,226.7520225,190.6110807,,1.74191259,2.213964382,1.977938486
71,814.6859167,820.4253358,748.8733609,643.2969083,589.0324988,516.2497989,439.904186,355.677557,287.5706047,233.4039706,220.4892753,186.3801525,,1.732478634,2.353886178,2.043182406
72,793.2296337,790.0735376,722.5422765,617.458302,554.4751098,482.8956621,410.2395467,334.6083675,274.9528102,226.5843211,214.6077011,181.2627189,,1.716306138,2.439062787,2.077684463
73,794.4260959,783.6221709,714.8747312,602.71104,533.1438601,478.0669044,408.8536718,336.7316959,275.512513,225.3774558,212.9406651,182.0936741,,1.794810129,2.362513643,2.078661886
74,767.1030744,762.448334,709.1826982,591.519052,527.0993513,470.011753,397.9884973,330.3300887,268.7039055,221.3006713,208.7958851,181.3618542,,1.708556817,2.374121505,2.041339161
75,766.3609198,733.9569612,677.1785696,569.4680525,518.2020829,457.4075825,389.816711,320.1527598,260.6520258,214.1389249,202.3605014,176.1323898,,1.756737378,2.376317587,2.066527483
76,781.658864,726.1769263,668.7034959,565.5974808,509.7120146,457.0534269,394.0807692,324.2723925,261.1274867,216.2906579,205.9966854,177.3988789,,1.737195612,2.364552862,2.050874237
77,793.904138,740.4275835,682.2081764,578.4690395,520.1424376,472.7258647,400.6620071,332.4669689,267.4528331,215.0957979,205.1857821,176.0119059,,1.802896377,2.311376305,2.057136341
78,787.526423,739.1371686,670.846203,590.3410505,536.796864,481.478637,403.4963283,335.7346364,275.0567462,219.4219053,216.2826376,182.6644029,,1.807950282,2.325493975,2.066722129
79,800.5837968,766.8322336,684.2221105,595.1588803,535.7198112,469.8600893,395.1923369,336.0759841,275.6925251,223.8132578,221.4150122,186.2177404,,1.814351895,2.320788085,2.06756999
80,805.9667995,796.5827621,708.6360649,608.9906918,543.012449,479.7763253,406.2532584,341.1447389,282.4756804,238.1260674,235.3468602,195.55775,,1.828502829,2.276866445,2.052684637
81,808.3958878,804.3079817,723.135767,594.9639121,539.0171058,485.4686374,416.1793934,341.6215655,282.7384723,240.6585657,236.5062069,198.245628,,1.903974477,2.269964473,2.086969475
82,810.7033985,809.0071893,723.5095908,598.0698858,539.1207486,483.0041427,417.0209044,339.9999684,283.9562858,243.1494955,235.6792434,196.8602632,,1.86657558,2.251925228,2.059250404
83,809.4900039,798.2638575,716.5615639,623.4888443,574.4806762,498.580778,423.9238421,346.2155321,288.4076457,247.694841,242.1181845,203.5056198,,1.864217091,2.162513318,2.013365205
84,812.4196683,808.5233404,714.6733153,631.8385746,580.0204115,491.6161973,417.9194624,346.6398932,284.8467762,241.4499004,237.8926289,200.8325764,,1.878031098,2.115925007,1.996978053
85,804.0992945,823.257167,719.8069671,631.159998,592.4833656,505.0530688,417.3133344,341.4609708,283.9214953,238.9490443,235.6906387,195.587218,,1.890497397,2.075454353,1.982975875
86,787.1733447,810.462878,724.4165369,625.8458164,593.4376496,498.7820863,416.4853821,340.7858951,279.8261561,238.4351744,236.095636,195.8268539,,1.84635996,2.097728899,1.97204443
87,784.5949188,822.8291684,739.8005748,646.3258521,611.9166613,516.2475195,428.8555419,348.7595167,292.0701187,244.29569,237.0941678,194.5418326,,1.846696887,2.082199462,1.964448175
88,792.3611049,818.2815384,751.757386,661.4628714,627.1710392,523.1391829,443.4797194,351.9009304,296.4980033,243.7952774,233.9423991,199.084115,,1.951144257,2.06431708,2.007730669
89,803.6489851,838.0247266,769.1766012,664.7091928,628.8074568,514.0462819,438.5727583,352.9661373,299.192843,247.9776778,234.1045067,199.9629224,,2.063004021,1.969885554,2.016444788
90,807.3699674,834.952125,774.1413685,669.2579844,617.4654216,507.6368842,419.0019875,344.0063911,286.229183,244.1221938,237.9152521,206.2019486,,2.063677875,2.028081727,2.045879801
91,811.3585628,831.6684853,784.0599049,667.6272387,619.7665926,522.102797,418.8076117,338.4360278,283.6718439,237.7154412,236.2080894,203.0168927,,1.975403001,2.080317106,2.027860054
92,795.0544471,834.658549,801.2617635,706.3588111,646.2961816,560.8531798,464.2323544,363.4199161,305.8286894,245.1957635,238.5246733,205.5443858,,1.885780419,2.052709218,1.969244819
93,807.7784373,851.0005956,804.2472032,705.1216874,636.8778023,558.2686168,473.2515182,383.4173698,320.8536018,257.4032052,243.2585018,211.3014778,,1.91374536,2.097728899,2.00573713
94,816.9636718,856.0943691,806.5396275,699.2270891,655.4355311,576.9117036,492.8797283,390.6168663,322.8857452,255.2388037,244.755999,208.9191286,,1.903300623,2.114356377,2.0088285
