Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
64,782.1255511,765.9145301,669.9749198,568.2549359,531.1659187,435.8567938,339.6896707,288.9909286,252.1117853,220.9510226,211.259222,185.231982,,1.870281777,2.368003848,2.119142813
65,796.0771023,792.0065064,702.9017361,597.1837166,552.142083,457.951033,361.8132146,301.7660208,260.5000201,224.4030998,210.9688185,187.4426368,,1.749998838,2.319846907,2.034922873
66,787.0636436,807.0496894,724.0231046,593.9928883,551.7719809,458.1955873,370.3286702,315.5116864,268.6549847,229.4335118,214.1857264,188.2394512,,1.796157837,2.375533272,2.085845555
67,788.3994205,811.5836983,727.6969287,596.9790492,560.9899767,456.3992855,369.7481392,308.0725838,263.4129023,225.7588343,213.0580466,189.2243668,,1.858826259,2.481886386,2.170356323
68,780.1001918,780.8821676,708.6193792,581.3510706,557.6150534,446.4642943,372.876305,309.7361215,264.0028048,224.6018022,210.5377501,184.8958834,,1.867923288,2.478749126,2.173336207
69,778.0431996,762.8327407,687.6127656,571.7218121,546.4829975,436.5387288,364.6495863,305.0719206,261.2280606,222.4389105,209.9841913,184.5478768,,1.948785768,2.423847076,2.186316422
70,779.1803279,776.2080742,680.5857623,570.2801721,555.3199713,440.2644363,364.0492809,303.2836057,260.5142508,221.0477147,212.2965224,185.4925383,,1.979446125,2.370827382,2.175136754
71,767.5527892,774.3200102,683.8415249,566.8761256,555.1568763,436.6307041,362.3433483,301.7732403,261.1706737,225.6073681,221.7023124,192.6257849,,1.976750709,2.306042963,2.141396836
72,780.0066291,787.3071384,710.3188207,593.4183073,568.341369,449.2814168,373.4265431,302.7914541,264.03781,233.6587677,229.1607451,198.8824723,,1.955187381,2.289258622,2.122223002
73,785.1517369,798.366172,721.5366286,609.9233533,574.2183964,467.5670105,382.1841718,303.9841801,263.6039057,229.0067889,224.7858122,198.8982621,,1.886454273,2.325180249,2.105817261
74,786.5199413,805.3365611,731.3394354,631.6759991,587.0452505,489.7721531,395.6584754,319.402632,279.9464429,237.6585689,225.4179943,198.4295207,,1.79919018,2.315611606,2.057400893
75,788.2516867,816.2567721,753.8717973,665.5367218,618.7193104,514.9821392,410.7954984,343.273682,308.9866521,257.9370296,242.0636451,212.8411409,,1.795147056,2.42039609,2.107771573
76,780.4225572,832.5819361,775.687975,683.5891989,647.9563794,549.1989265,440.1437102,374.1606035,333.86471,280.4188753,255.8215379,217.2049758,,1.752357327,2.41725883,2.084808079
77,798.0019227,834.1468568,780.4747239,695.7709269,656.8690346,568.2487903,458.2918585,386.9379319,337.584096,287.03054,261.4816111,221.8942891,,1.743260298,2.538827655,2.141043977
78,810.2288457,851.2727883,798.7837635,711.1791725,661.0293156,570.2424131,473.9934346,400.9552605,347.0866511,293.6763019,263.7007123,224.0259983,,1.758422013,2.499768768,2.129095391
79,818.2425725,864.3648887,809.2469991,732.3028752,688.3732619,599.6516945,499.0438173,408.63258,352.612042,300.3210147,268.1786186,227.05181,,1.716979992,2.388239175,2.052609584
