s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.7700092E+002, 9.7259569E+003,-3.4984779E+003,-6.0168269E+003,-2.0438871E+002, 3.3014257E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5600802E+000, 9.5648225E+000, 7.5457317E-001
 2.7800592E+002, 9.9583279E+003,-3.5926328E+003,-6.0766370E+003,-2.0918232E+002, 3.1259839E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5505766E+001, 8.3001812E+001, 7.5457317E-001
 2.7900415E+002, 1.0719249E+004,-3.7975050E+003,-6.6538421E+003,-2.1715704E+002, 3.2116348E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4805759E+001, 5.3956399E+001, 7.5457317E-001
 2.8000363E+002, 1.0232050E+004,-3.7033568E+003,-6.3286712E+003,-2.2381681E+002, 3.2707293E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6295366E+001,-2.0523687E+001, 7.5457317E-001
 2.8100208E+002, 9.4733680E+003,-3.4862047E+003,-5.7756769E+003,-2.1537816E+002, 3.2911259E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4928891E+001,-6.0063863E-001, 7.5457317E-001
 2.8200217E+002, 9.3455500E+003,-3.4192342E+003,-5.7542618E+003,-2.0259793E+002, 3.1801469E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7709406E+001,-2.7363841E+001, 7.5457317E-001
 2.8300275E+002, 9.5441629E+003,-3.4829210E+003,-5.8083182E+003,-2.0407715E+002, 3.1866140E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2391551E+000, 5.2033185E+001, 7.5457317E-001
 2.8400217E+002, 1.0882197E+004,-3.8292528E+003,-6.8071865E+003,-2.0450425E+002, 3.2145605E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4314993E+001, 4.4468038E+001, 7.5457317E-001
 2.8500186E+002, 9.9105349E+003,-3.5262570E+003,-6.2083554E+003,-2.0229300E+002, 3.3679397E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9288283E+001,-2.3002624E+001, 7.5457317E-001
 2.8600348E+002, 9.5320951E+003,-3.4450510E+003,-5.8848367E+003,-2.0335715E+002, 3.3071477E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3519417E+001, 2.1573229E+000, 7.5457317E-001
 2.8700281E+002, 9.6782659E+003,-3.4694892E+003,-6.0001693E+003,-2.0072225E+002, 3.1495868E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1219385E+000, 1.1034784E+001, 7.5457317E-001
 2.8800186E+002, 1.0118124E+004,-3.6845231E+003,-6.1416156E+003,-2.1107195E+002, 3.2148181E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1815101E+001, 8.4128331E+001, 7.5457317E-001
