Time,Test_16_West_063014_custom,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX
1643,,,,,,,,,,,
1645,,,,,,,,,,,
1650,,,,,,,,Fixed straight stream at Door BC,Hose fixed,,
1665,,,,,,,,,,,
1676,,,,,,,,,,,
1680,,,,,,,,Hose rotated right,Hose rotated left,,
1710,,,,,,,,Hose fixed,Hose fixed,,
1740,,,,,,,,Hose rotated left,Rear door opened,,
1760,,,,,,,,,,,
1770,,,,,,,,Hose fixed,Hose rotated right,,
1800,,,,,,,,Rear door opened,Hose fixed,,
1820,,,,,,,,,,,
1830,,,,,,,,Hose rotated right,Hose rotated left,,
1840,,,,,,,,,,,
1860,,,,,,,,Hose fixed,Hose fixed,,
1890,,,,,,,,Hose rotated left,Rear door closed,,
1920,,,,,,,,Hose fixed,Water flow stopped,,
1935,,,,,,,,,,,
1950,,,,,,,,Rear door closed,,,
1980,,,,,,,,Water flow stopped,,,
1997,,,,,,,,,,,
2010,,,,,,,,,,,
2025,,,,,,,,,,,
2038,,,,,,,,,,,
2040,,,,,,,,,,,
2070,,,,,,,,,,,
2085,,,,,,,,,,,
2088,,,,,,,,,,,
2100,,,,,,,,,,,
2130,,,,,,,,,,,
2160,,,,,,,,,,,
2190,,,,,,,,,,,
2220,,,,,,,,,,,
2245,,,,,,,,,,,
2250,,,,,,,,,,,
2280,,,,,,,,,,,
2310,,,,,,,,,,,
2340,,,,,,,,,,,
2348,,,,,,,,,,,
2370,,,,,,,,,,,
2400,,,,,,,,,,,
2418,,,,,,,,,,,
2430,,,,,,,,,,,
2440,,,,,,,,,,,
2460,,,,,,,,,,,
2490,,,,,,,,,,,
2520,,,,,,,,,,,
2550,,,,,,,,,,,
2565,,,,,,,,,,,
2580,,,,,,,,,,,
2600,,,,,,,,,,,
2610,,,,,,,,,,,
2615,,,,,,,,,,,
2635,,,,,,,,,,,
2640,,,,,,,,,,,
2653,,,,,,,,,,,
2655,,,,,,,,,,,
2670,,,,,,,,,,,
2685,,,,,,,,,,,
2700,,,,,,,,,,,
2730,,,,,,,,,,,
2750,,,,,,,,,,,
2760,,,,,,,,,,,
2790,,,,,,,,,,,
2820,,,,,,,,,,,
2850,,,,,,,,,,,
2880,,,,,,,,,,,
2910,,,,,,,,,,,
2940,,,,,,,,,,,
2970,,,,,,,,,,,
3000,,,,,,,,,,,
3020,,,,,,,,,,,
3030,,,,,,,,,,,
3060,,,,,,,,,,,
3090,,,,,,,,,,,
3120,,,,,,,,,,,
3150,,,,,,,,,,,
3158,,,,,,,,,,,
3175,,,,,,,,,,,
3180,,,,,,,,,,,
3210,,,,,,,,,,,
3234,,,,,,,,,,,
3240,,,,,,,,,,,
3255,,,,,,,,,,,
3270,,,,,,,,,,,
3285,,,,,,,,,,,
3300,,,,,,,,,,,
3330,,,,,,,,,,,
3360,,,,,,,,,,,
3390,,,,,,,,,,,
3420,,,,,,,,,,,
3450,,,,,,,,,,,
3480,,,,,,,,,,,
3510,,,,,,,,,,,
3540,,,,,,,,,,,
3570,,,,,,,,,,,
3600,,,,,,,,,,,
3625,,,,,,,,,,,
3630,,,,,,,,,,,
3660,,,,,,,,,,,
3690,,,,,,,,,,,
3703,,,,,,,,,,,
3720,,,,,,,,,,,
3750,,,,,,,,,,,
3780,,,,,,,,,,,
3810,,,,,,,,,,,
3825,,,,,,,,,,,
3840,,,,,,,,,,,
3870,,,,,,,,,,,
3900,,,,,,,,,,,
3930,,,,,,,,,,,
3960,,,,,,,,,,,
3990,,,,,,,,,,,
4020,,,,,,,,,,,
4050,,,,,,,,,,,
4080,,,,,,,,,,,
4110,,,,,,,,,,,
4140,,,,,,,,,,,
