Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,HRR Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale TC_Helmet,Y Scale GAS,Y Scale HOSE,Y Scale TC_Gear,Y Scale PRESSURE,Y Scale TC_Manikin,Ambient Temp
1,PPV,PPV_NCCNY,PPV_NCCNC,60,180,,None,None,None,None,None,None,None,None,None,None,None,None,30
2,PPV,PPV_NOCNY,PPV_NOCNC,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
3,PPV,PPV_NCONY,PPV_NCONC,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
4,PPV,PPV_NOONY,PPV_NOONC,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
5,PPV,PPV_YoCONY,PPV_OCONC,70,250,,None,None,None,None,None,None,None,None,None,None,None,None,30
6,PPV,PPV_YoOONY,PPV_OOONC,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
7,PPV,PPV_YiCCNY,PPV_ICCNC,1,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
8,PPV,PPV_YiOCNY,PPV_IOCNC,64,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
9,PPV,PPV_YiCONY,PPV_ICONC,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
10,PPV,PPV_YiOONY,PPV_IOONC,60,261,,None,None,None,None,None,None,None,None,None,None,None,None,30
11,PPV,PPV_YoCOrNY,PPV_OCRNC,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
12,PPV,PPV_YoOOrNY,PPV_OORNC,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
13,PPV,PPV_YoColNY,PPV_OCLNC,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
14,PPV,PPV_YoOOlNY,PPV_OOLNC,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
15,PPV,PPV_NCCNN,PPV_NCCNO,60,180,,None,None,None,None,None,None,None,None,None,None,None,None,30
16,PPV,PPV_NOCNN,PPV_NOCNO,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
17,PPV,PPV_NCONN,PPV_NCONO,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
