Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 00:55:00,72.6,84,0.5,1.0,WSW,0.00,72.5,84,0.5,1.0,WSW,0.00,80.1,58,29.94
Tue, 07-01-2014 00:56:00,72.6,84,0.8,2.0,WSW,0.00,72.4,84,0.1,1.0,SSW,0.00,80.1,58,29.94
Tue, 07-01-2014 00:57:00,72.6,84,1.0,3.0,WSW,0.00,72.4,84,0.4,2.0,SSW,0.00,80.0,58,29.94
Tue, 07-01-2014 00:58:00,72.6,84,1.2,3.0,SSW,0.00,72.4,84,1.0,2.0,SW,0.00,80.0,58,29.94
Tue, 07-01-2014 00:59:00,72.6,84,0.3,3.0,SSW,0.00,72.5,84,0.9,2.0,SW,0.00,80.0,58,29.94
Tue, 07-01-2014 01:00:00,72.6,84,0.3,1.0,SSW,0.00,72.5,84,0.1,1.0,SW,0.00,80.0,58,29.94
Tue, 07-01-2014 01:01:00,72.6,84,0.1,1.0,SSW,0.00,72.5,84,0.3,1.0,SW,0.00,80.0,58,29.93
Tue, 07-01-2014 01:02:00,72.6,84,0.8,2.0,SSW,0.00,72.5,84,0.7,2.0,SW,0.00,79.9,58,29.93
Tue, 07-01-2014 01:03:00,72.6,84,0.3,1.0,SSW,0.00,72.6,84,0.1,1.0,SW,0.00,79.9,58,29.93
Tue, 07-01-2014 01:04:00,72.6,84,0.1,1.0,SSW,0.00,72.6,84,0.4,2.0,SW,0.00,79.9,58,29.93
Tue, 07-01-2014 01:05:00,72.6,84,0.1,1.0,SSW,0.00,72.6,84,0.5,2.0,SW,0.00,79.9,58,29.93
Tue, 07-01-2014 01:06:00,72.6,84,0.0,0.0,,0.00,72.6,84,0.2,1.0,SW,0.00,79.9,58,29.93
Tue, 07-01-2014 01:07:00,72.6,84,0.0,0.0,,0.00,72.6,84,0.0,0.0,,0.00,79.9,58,29.93
Tue, 07-01-2014 01:08:00,72.6,84,0.0,0.0,,0.00,72.6,84,0.0,0.0,,0.00,79.9,58,29.93
