Time,PUF 1,PUF 2,PUF 3,PUF 4
164,0.1230976,0.1838392,0.1633565,0.0591272
165,0.1210796,0.1741528,0.1514504,0.0586227
166,0.103624,0.1627512,0.139746,0.0630623
167,0.1015051,0.1534684,0.1354073,0.0602371
168,0.0971664,0.1409568,0.1251156,0.0629614
169,0.091516,0.1311696,0.1107878,0.0620533
170,0.0880854,0.1244093,0.1028167,0.056302
171,0.084453,0.123703,0.0887917,0.0539813
172,0.0793071,0.1168418,0.0833431,0.053275
173,0.0736568,0.1084671,0.0802152,0.0458085
174,0.0692172,0.1133103,0.0744639,0.0350122
175,0.0629614,0.1123013,0.067401,0.0264357
176,0.0640713,0.102615,0.0670983,0.02018
177,0.0625578,0.0947448,0.0645758,0.021189
178,0.0553939,0.0937358,0.0610443,0.0245186
179,0.0497435,0.0909106,0.059329,0.0262339
180,0.0458085,0.0838476,0.0576137,0.0249222
181,0.0456067,0.0805179,0.0585218,0.0242159
182,0.0403599,0.0780964,0.0587236,0.0306735
183,0.0400572,0.0772892,0.0529723,0.0206845
184,0.0386446,0.0712352,0.0510552,0.0182629
185,0.0395527,0.0731523,0.0515597,0.0142269
186,0.0369293,0.0741613,0.0513579,0.0133188
187,0.0319852,0.0657866,0.0534768,0.0156395
188,0.0322879,0.0615488,0.0500462,0.0237114
189,0.0309762,0.0649794,0.0470192,0.0263348
190,0.0266375,0.064374,0.0505507,0.0218952
191,0.0260321,0.0673001,0.046212,0.0247204
192,0.0263348,0.0651812,0.0446985,0.0279492
193,0.0252249,0.0624569,0.0449003,0.0256285
194,0.0252249,0.0631632,0.0484318,0.0199782
195,0.0227024,0.0569074,0.0510552,0.0246195
196,0.0193727,0.0576137,0.0524678,0.0182629
197,0.0172539,0.057311,0.0511561,0.014126
198,0.0163458,0.054284,0.0447994,0.0206845
199,0.0148323,0.0582191,0.0395527,0.0243168
200,0.0124107,0.0540822,0.0418733,0.0274447
201,0.0137224,0.0497435,0.0377365,0.0248213
202,0.0098882,0.0476247,0.038241,0.0210881
203,0.0106954,0.0500462,0.0332969,0.0236105
204,0.0135206,0.0506516,0.033196,0.0230051
205,0.0111999,0.0452031,0.0322879,0.0199782
206,0.0120071,0.0438914,0.0302699,0.0197764
207,0.0107963,0.0474229,0.0290591,0.0182629
208,0.0096864,0.0425797,0.0280501,0.0133188
209,0.0102918,0.0387455,0.0225006,0.0104936
210,0.0081729,0.0393509,0.0185655,0.011099
211,0.0038342,0.0388464,0.0234087,0.013117
212,0.0055495,0.0394518,0.0178592,0.0104936
213,0.0041369,0.0404608,0.0169511,0.0124107
214,0.0026234,0.0430842,0.0195745,0.0069621
215,0.0032288,0.0358194,0.0215925,0.0075675
216,0.003027,0.0389473,0.0216934,0.0081729
217,0.001009,0.0396536,0.022097,0.0079711
218,0.0032288,0.0429833,0.0174556,0.0039351
219,0.0012108,0.0380392,0.0132178,0.0052468
220,-0.0018162,0.0343059,0.0161439,0.0055495
221,-0.0006054,0.0357185,0.0132178,0.0042378
222,-0.001009,0.0337005,0.0144286,0.0042378
223,0.0018162,0.0302699,0.0162448,0.0077693
224,0.0014126,0.0309762,0.0133187,0.0028252
225,0.0018162,0.0290591,0.0156394,0.0065585
226,0.0023207,0.0346086,0.0132178,0.0085765
227,-0.0001009,0.0312789,0.0187673,0.0125116
228,-0.0001009,0.0293618,0.0202808,0.0114017
229,-0.0014126,0.0246195,0.0212898,0.0067603
230,0.0006054,0.0212898,0.022097,0.0056504
231,0.0007063,0.018162,0.0223997,0.0132179
232,-0.0024216,0.0195746,0.0193727,0.0111999
233,0.0035315,0.0195746,0.0162448,0.0164467
234,0.0033297,0.0221979,0.0173547,0.0149332
235,0.0035315,0.0197764,0.0156394,0.0088792
