Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface 0.2m,TC Surface 0.4m,TC Surface 0.6m,TC Surface 0.8m,TC Surface 1.0m,TC Surface 1.2m,TC Surface 1.4m,TC Surface 1.6m,TC Surface 1.8m,TC Surface 2.0m,TC Surface 2.2m
22,39.8670553,46.4032357,34.9659932,19.0814765,10.6994351,7.2192867,21.4382714,22.4841907,15.4266982,9.6638301,5.7149845,3.7725908,0,272.5948486,142.2649994,119.844162,54.8353004,51.2483521,47.001503,42.4596405,36.6583061,36.9023857,34.6216621,36.8336601,32.2246017,175.1359253,172.8750305,161.5911102,100.7222824,76.9831009,58.1014175,45.9488373,40.5711823,38.3579941,31.5751801,27.225214
23,49.4492224,49.5444945,30.8809543,14.6955377,8.8293204,6.0481519,34.4802357,37.7633545,27.1667699,14.9115238,6.3971767,4.0777316,0,278.2388916,142.1290741,120.4009552,56.4284363,52.1646118,48.1336288,44.3130112,39.6528397,41.0892639,38.855629,40.1565666,34.971199,183.7045288,177.1769409,168.4489594,105.7945786,80.7441406,60.121109,47.3951378,41.43927,38.9306641,31.9759541,27.5997791
24,42.2589239,52.9033064,35.7223963,20.4808474,10.7720109,7.1554397,21.7897619,24.4669166,21.3723362,18.8806316,7.8376421,4.9640364,0,290.3224487,150.4439697,122.1917572,58.5887032,54.3020973,49.3088379,44.2963638,40.4571838,42.2658424,39.2660637,41.1570168,35.4765358,187.9988098,182.9086456,175.1630402,110.4177933,83.0174484,61.6153488,48.4526405,42.1377983,39.3863373,32.5041389,27.9704056
25,35.3442365,37.8047535,27.3933508,17.1117552,10.3487748,6.5297691,29.468091,27.5945244,21.9275121,13.0347518,6.8558602,4.4195274,0,292.1836243,158.8121643,133.9778442,60.3451691,56.1767349,51.4235229,44.3309441,40.1214905,41.0893745,38.5668869,41.4297409,35.6445732,190.0708466,187.6389465,181.4397278,118.3905716,89.7126236,65.6756134,50.9821625,44.2111244,40.5577431,33.2412949,28.4670887
26,32.1229278,47.6414476,33.9865125,18.1555978,11.3832374,6.6404221,20.8633801,23.7416607,14.3515029,9.3581599,5.3889355,3.5453617,0,301.8122559,154.2656708,139.9841461,60.7061348,55.7680359,50.6518021,43.9640694,40.0355339,40.5481644,38.7819748,41.468235,35.5201149,188.1130829,188.5599213,181.8939972,120.7922974,90.2591095,67.0575943,52.1804581,45.7151718,41.8950691,33.9971504,29.0144634
27,33.1410063,39.8468828,31.5772449,19.7987502,12.6172467,7.408177,37.8070409,34.3617819,20.3913792,13.4472997,6.2648805,4.1482647,0,310.8856506,154.9448547,147.5383911,63.4605827,61.1545334,55.6662521,46.1848373,41.0684929,41.1557732,38.7833939,41.721035,36.4890862,189.569809,190.7218323,184.2664032,124.6283112,92.2305832,68.4686584,53.4680481,46.8211288,42.7539024,34.709568,29.6418781
28,36.5767847,36.005883,23.7693796,12.7740818,8.4293438,5.7241453,39.9775077,44.5343649,26.6026423,13.5110974,6.1920964,4.192695,0,308.8435059,157.6513824,149.285202,64.0157928,60.5686531,54.9901047,46.627655,42.4682083,42.1211433,39.4176559,42.3156509,37.2220116,193.841568,194.2929382,186.5928345,128.5217896,94.644043,70.2070312,54.7894707,48.1244278,43.6575851,35.287674,30.1645107
29,33.8318115,38.0120242,28.075805,12.079223,7.8089165,5.2740351,20.6339278,22.5104613,14.6903701,7.5520917,4.411972,3.0856669,0,312.5185547,165.6371613,155.4396973,66.1288223,62.61483,57.1990547,47.7903481,43.7497368,43.6438713,40.7309723,41.6892471,36.8066673,197.576355,197.6828156,186.9780731,128.5815887,93.5793304,70.2464371,55.1557732,48.3256378,44.112648,35.9572182,30.6418705
30,32.4243701,41.2333768,33.208278,17.4978788,9.8991876,5.89039,17.2183674,20.9999022,15.9896865,9.4852621,5.0774265,2.7556927,0,324.3851013,171.2791901,165.3174438,70.420784,66.5617218,61.4026604,49.815815,45.2260323,44.6651115,41.8624611,42.7463112,37.3950768,194.8599548,198.0277863,184.3918762,127.1010437,91.733696,69.2017746,54.7047653,47.8905029,44.3004417,36.3718948,31.1044998
31,37.6187984,48.4591653,41.1316024,25.8800334,15.8027792,10.1530692,28.4189144,34.2686621,24.7782607,15.2545189,9.2944226,7.9159527,0,332.916626,171.3849487,163.7980957,72.0484619,69.9884491,64.205986,53.3616905,47.0717354,44.9698639,42.1211319,44.6479836,37.7346115,195.1350555,201.8107147,192.4137878,134.4481506,96.1406479,72.1295242,57.3234329,50.0168762,46.1341095,36.9550781,31.6342754
32,46.3110947,48.8287888,30.7453551,14.6412186,10.1529085,6.6601897,31.2648786,30.0006292,15.0905979,8.2525515,5.5888593,4.3123394,0,333.6287231,173.2438354,160.5057983,71.7243271,70.4883041,64.6439209,53.7522316,49.1037102,47.0178108,42.9551735,45.0057945,38.7327957,203.6809998,205.7132721,197.9219666,138.8672333,98.7078171,73.8734818,58.8847618,51.2700272,47.3843422,37.8853264,32.270092
