Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
41,16.4337109,13.4152829,7.7556149,4.3978173,3.5645576,2.2782234,20.2292346,22.0228134,10.5746474,6.8388066,3.5259675,2.8217828,0,452.6354065,356.1071777,251.674118,113.2411423,111.1395493,92.886673,75.7155304,64.8179855,58.1635742,52.2912407,50.6510277,46.0155563,134.9599762,110.0512619,108.7455444,79.8580704,57.5214043,50.6849518,45.6442566,36.4164314,34.994854,32.914753,29.196701
42,14.5802676,11.669177,7.4276865,4.1206591,3.0581465,1.8677999,20.0214668,15.3627493,8.766542,6.5550052,3.5028897,2.5851122,0,472.1993408,380.1346436,268.1734619,119.4151917,113.4762955,94.8932419,75.8523941,64.5434265,57.2688866,51.7417107,49.7783508,45.3494759,138.9854126,111.231987,109.3372116,79.6758041,57.5844765,50.7323608,45.7230034,36.4699936,35.0503349,33.0131264,29.1621628
43,16.69534,18.0280008,16.8407564,10.2588792,5.6323788,2.6943273,13.8592875,12.2578938,8.7208063,6.7495226,4.4395302,2.9129442,0,468.3922424,380.4274902,280.0603333,122.0352707,115.0921173,95.794754,76.0655289,65.8046112,58.97089,52.7146034,50.6131248,45.9894295,140.713501,112.5082626,109.6259308,79.8013992,57.6221504,50.6548424,45.7772713,36.6222496,35.1578407,33.3005028,29.2006683
44,23.6211657,29.1232006,25.8152046,16.129267,8.5739066,4.1871209,15.0216773,18.2778468,14.2863987,10.0826261,6.5227948,4.1208131,0,459.8593445,352.9805603,260.7347717,120.4328079,113.6480026,93.8377991,74.919487,64.2319412,58.8296127,53.4301376,51.6408348,47.318367,143.6881866,114.0439301,117.1380692,83.4790726,58.4534035,51.4458656,46.7064018,36.8167877,35.5040817,34.0994339,29.3066158
45,16.2294317,17.085542,11.6521681,6.874244,5.2559563,3.2667542,11.170662,9.9639081,7.1726292,5.1435622,4.0952218,3.1508842,0,479.0602722,374.8253784,277.8761292,124.1548157,117.3997574,96.2007751,75.2797241,63.173233,57.6688499,52.4029236,51.3312225,46.4076309,145.2743378,116.0477676,119.6920242,85.4691162,59.4124069,52.4192848,47.9278946,37.3273888,36.2734566,35.1676941,29.562355
46,22.8106841,23.3139419,15.4746182,8.0870975,5.0080504,2.9412328,16.8787277,17.961896,11.2497776,7.1240877,4.1286974,2.9048515,0,498.5801392,392.2314758,294.2861633,130.5125122,124.6501007,101.2695999,78.8889313,65.7508621,58.5423393,52.0087318,51.0116348,45.9710922,146.8015747,117.721199,119.8594513,85.7903748,59.8490562,52.7470093,48.1155396,37.8859863,36.6496811,35.1529655,29.8918419
47,15.3777151,15.3700126,10.5048026,5.6867503,4.15937,2.3303311,11.0965313,10.6699302,8.3803114,6.9767609,4.5582165,3.0540897,0,502.6948853,397.1896973,297.1176147,129.1064606,124.7683334,101.4908066,79.7994995,67.0573654,61.1125374,53.9153633,51.6415672,46.4497108,149.6146545,119.3888702,122.7701111,87.2440567,60.4567528,52.9603233,48.146965,38.2693405,36.8532715,35.3142395,30.1332989
48,15.391697,13.8917889,9.556685,5.7813179,4.0510215,2.2747395,11.4021314,10.136778,6.6853245,4.9247096,3.4191161,2.4894284,0,511.6867981,405.082428,297.638916,130.8971558,127.1941605,102.7591324,81.976326,67.7895355,60.8517761,54.5304375,52.4166412,46.5569992,148.5201263,120.7238541,121.3843307,87.0942917,60.8854027,53.155365,48.3389359,38.5744133,37.1761818,35.7649269,30.2959328
49,17.1825769,13.9383301,9.0642542,5.1185269,3.8746609,2.0344232,12.3242268,9.8407648,6.2284559,4.3214263,2.8873105,2.1971406,0,511.6121826,401.17453,285.5138855,127.0237045,124.6925201,100.80439,81.2257614,68.3930588,61.4052315,55.3906975,53.2680206,47.9692841,148.9498444,121.5278015,120.6143341,86.5994034,61.0306778,53.1723595,48.0430679,38.8135948,37.1732063,35.3930054,30.4948711
50,15.5736999,14.1198947,10.8042891,5.7428691,3.9437036,2.0922112,11.1731835,9.7919765,6.4818739,5.6176058,3.0797107,2.354154,0,510.2104187,379.692627,267.0396729,125.0688248,123.4063797,100.2714005,79.9736786,67.1853943,60.5520058,55.3023834,52.4282761,47.2660942,148.8281097,122.0401154,119.8056412,86.1726913,61.0315781,53.0688095,47.6772842,38.9025536,37.0291939,35.0390854,30.6018219
