s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 2.7780254E+002, 2.3964658E+003, 2.9146106E+002
 2.7810025E+002, 2.2908071E+003, 1.9059581E+002
 2.7840553E+002, 2.5240762E+003, 2.0307074E+002
 2.7870193E+002, 2.3377861E+003, 2.8792444E+002
 2.7900517E+002, 2.1698850E+003, 4.6154968E+002
 2.7930550E+002, 2.3210706E+003, 4.8022189E+002
 2.7960009E+002, 2.5820400E+003, 2.4636671E+002
 2.7990189E+002, 2.7915227E+003, 3.3951678E+002
 2.8020169E+002, 2.8742136E+003, 4.0252670E+002
 2.8050472E+002, 2.7765999E+003, 2.6695642E+002
 2.8080228E+002, 2.5026956E+003, 2.0744374E+002
 2.8110477E+002, 2.4231882E+003, 3.6238177E+002
 2.8140507E+002, 2.4559717E+003, 6.0732294E+002
 2.8170108E+002, 2.4343645E+003, 4.4946320E+002
 2.8200283E+002, 2.6302227E+003, 2.6474268E+002
 2.8230344E+002, 2.7853809E+003, 3.3525717E+002
 2.8260400E+002, 2.5155850E+003, 4.9660632E+002
 2.8290042E+002, 2.4044031E+003, 3.4244061E+002
 2.8320042E+002, 2.5837302E+003, 3.3635553E+002
 2.8350071E+002, 2.6111096E+003, 3.6851334E+002
 2.8380504E+002, 2.5799827E+003, 4.5115469E+002
 2.8410333E+002, 2.5550322E+003, 6.9972620E+002
 2.8440371E+002, 2.4933777E+003, 6.5307483E+002
 2.8470086E+002, 2.6870718E+003, 4.0298285E+002
 2.8500210E+002, 2.5680642E+003, 2.8741312E+002
 2.8530266E+002, 2.2087720E+003, 5.2029974E+002
 2.8560514E+002, 2.4498425E+003, 7.7905310E+002
 2.8590488E+002, 2.6098733E+003, 4.9603604E+002
 2.8620447E+002, 2.7827834E+003, 4.4350122E+002
 2.8650151E+002, 2.7897815E+003, 5.0860562E+002
 2.8680158E+002, 2.7086882E+003, 3.2660730E+002
 2.8710468E+002, 2.5154277E+003, 3.4109296E+002
 2.8740104E+002, 2.3665886E+003, 4.5019022E+002
 2.8770006E+002, 2.5039827E+003, 4.4858990E+002
 2.8800263E+002, 2.7744270E+003, 5.3954242E+002
 2.8830335E+002, 2.9528726E+003, 5.0176154E+002
 2.8860071E+002, 2.5885251E+003, 7.4549829E+002
 2.8890591E+002, 2.5410239E+003, 7.0427661E+002
 2.8920456E+002, 2.6183972E+003, 5.9445166E+002
 2.8950129E+002, 3.0019036E+003, 4.8760159E+002
 2.8980458E+002, 2.8458894E+003, 3.6177341E+002
 2.9010407E+002, 2.8845752E+003, 2.8342941E+002
 2.9040041E+002, 3.0143997E+003, 1.2327921E+002
 2.9070174E+002, 3.0212581E+003, 1.3462616E+002
 2.9100293E+002, 2.8877834E+003, 3.8198361E+002
 2.9130312E+002, 2.8174783E+003, 3.9612527E+002
 2.9160331E+002, 2.6526838E+003, 4.6536499E+002
 2.9190281E+002, 2.8881956E+003, 4.5228073E+002
 2.9220268E+002, 3.1663940E+003, 6.2232001E+002
 2.9250577E+002, 2.8350769E+003, 5.5382440E+002
 2.9280131E+002, 2.8308501E+003, 7.5425433E+002
 2.9310125E+002, 2.4842566E+003, 6.1404474E+002
 2.9340180E+002, 2.4865874E+003, 5.4850330E+002
 2.9370376E+002, 2.5102002E+003, 4.9515878E+002
 2.9400458E+002, 2.8177888E+003, 3.1828339E+002
 2.9430233E+002, 3.1188523E+003, 1.9089091E+002
 2.9460096E+002, 2.9848821E+003, 1.9524768E+002
 2.9490193E+002, 2.7074426E+003, 3.3247198E+002
 2.9520487E+002, 2.8334138E+003, 3.6750085E+002
 2.9550398E+002, 2.7676594E+003, 4.7156726E+002
 2.9580154E+002, 2.8089160E+003, 4.7106454E+002
 2.9610437E+002, 2.4825791E+003, 7.5926764E+002
 2.9640241E+002, 2.4670549E+003, 7.4510486E+002
 2.9670395E+002, 2.5697283E+003, 7.7495831E+002
 2.9700055E+002, 2.7602129E+003, 7.3060547E+002
 2.9730075E+002, 2.8742913E+003, 6.5117316E+002
 2.9760295E+002, 2.7634939E+003, 6.5209302E+002
 2.9790505E+002, 2.6721699E+003, 6.9569183E+002
 2.9820472E+002, 2.5930935E+003, 6.8219958E+002
 2.9850185E+002, 2.4645530E+003, 6.2699500E+002
 2.9880212E+002, 2.7956011E+003, 6.1006989E+002
 2.9910192E+002, 2.8620659E+003, 9.6555774E+002
 2.9940239E+002, 2.8996489E+003, 9.5960376E+002
 2.9970473E+002, 2.9344155E+003, 7.9520306E+002
 3.0000060E+002, 2.8173262E+003, 7.0427765E+002
