s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 7.5303288E+001, 1.0009640E+003, 3.0343664E+001
 7.5604018E+001, 9.9780292E+002, 7.5381454E+001
 7.5900055E+001, 1.0339542E+003, 1.5531749E+002
 7.6204286E+001, 9.9477411E+002, 1.4744083E+002
 7.6504517E+001, 9.8279419E+002, 1.0355814E+002
 7.6801794E+001, 9.4476404E+002, 4.4086212E+001
 7.7101930E+001, 9.2786115E+002, 2.3361755E+001
 7.7404930E+001, 8.6802960E+002, 2.9670692E+001
 7.7702214E+001, 7.9259070E+002, 2.7016441E+001
 7.8001598E+001, 7.4700629E+002, 1.0401437E+001
 7.8300969E+001, 7.5278528E+002, 7.8332543E+000
 7.8600011E+001, 7.5152246E+002, 1.1162212E+001
 7.8905334E+001, 8.7603180E+002, 2.5944281E+001
 7.9200979E+001, 1.0039109E+003, 7.2942383E+001
 7.9500951E+001, 1.0520677E+003, 6.8093193E+001
 7.9800610E+001, 1.0122261E+003, 3.5116528E+001
 8.0100826E+001, 1.0290717E+003, 1.9082035E+001
 8.0402914E+001, 1.0642207E+003, 3.8241608E+001
 8.0702427E+001, 1.0232336E+003, 1.5831568E+001
 8.1001245E+001, 1.0068522E+003, 4.4905119E+000
 8.1300839E+001, 1.0494136E+003, 7.7831345E+001
 8.1603218E+001, 9.8808246E+002, 3.0202732E+001
 8.1906307E+001, 9.4800458E+002, 8.8906307E+000
 8.2201143E+001, 9.4068628E+002, 2.2748430E+001
 8.2502413E+001, 1.0162953E+003, 2.3455563E+001
 8.2802588E+001, 1.0944852E+003, 7.7102609E+000
 8.3101808E+001, 1.1867539E+003, 1.5266603E+001
 8.3403485E+001, 1.1856228E+003, 1.0430940E+001
 8.3703158E+001, 1.1903434E+003, 1.0867480E+001
 8.4000190E+001, 1.2136288E+003, 8.2003956E+000
 8.4305297E+001, 1.2355283E+003, 7.4575448E+000
 8.4604074E+001, 1.2153398E+003, 1.1566646E+001
 8.4901756E+001, 1.0870017E+003, 5.2273998E+000
 8.5200761E+001, 9.4787231E+002, 5.7830110E+000
 8.5501962E+001, 8.3078058E+002, 1.2705714E+001
 8.5804698E+001, 8.9294226E+002, 1.9331200E+001
 8.6101506E+001, 9.8863220E+002, 4.3060085E+001
 8.6405030E+001, 1.0416321E+003, 8.9396736E+001
 8.6702828E+001, 1.0544972E+003, 9.2200623E+001
 8.7000236E+001, 1.0668590E+003, 7.9262131E+001
 8.7303046E+001, 1.0671399E+003, 8.2501793E+001
 8.7600497E+001, 1.1100817E+003, 2.4486576E+001
 8.7901677E+001, 1.1233102E+003, 2.1606693E+001
 8.8200118E+001, 1.0846323E+003, 4.8824623E+001
 8.8504497E+001, 9.9184741E+002, 6.4053680E+001
 8.8801329E+001, 1.0089620E+003, 2.2801748E+001
 8.9104995E+001, 9.8161658E+002, 2.4540642E+001
 8.9404013E+001, 9.5174957E+002, 3.5141823E+001
 8.9702235E+001, 9.8098572E+002, 2.7995455E+001
 9.0002386E+001, 9.7667792E+002, 5.4304176E+001
 9.0301016E+001, 9.4762457E+002, 7.1459511E+001
 9.0601992E+001, 9.0689374E+002, 4.5212772E+001
 9.0901833E+001, 9.3427808E+002, 8.2641609E+001
 9.1201740E+001, 1.0125607E+003, 6.7681046E+001
 9.1503441E+001, 1.0564375E+003, 2.7394283E+001
 9.1802411E+001, 1.0272866E+003, 2.7029308E+001
 9.2103010E+001, 1.0297614E+003, 4.0054043E+001
 9.2404831E+001, 1.0546930E+003, 2.5565229E+001
 9.2704649E+001, 9.8976477E+002, 3.6730330E+000
 9.3004078E+001, 9.6061902E+002, 1.3027907E+001
 9.3301060E+001, 1.0388651E+003, 4.2519279E+001
 9.3604433E+001, 1.1183677E+003, 5.1060829E+001
 9.3902228E+001, 1.0721146E+003, 1.9481112E+001
 9.4203011E+001, 9.4791699E+002, 4.3495369E+001
 9.4501340E+001, 9.1446283E+002, 8.3574005E+001
 9.4800202E+001, 8.4252399E+002, 8.8787361E+001
 9.5105023E+001, 8.0275385E+002, 2.6912804E+001
 9.5404092E+001, 9.0367749E+002, 1.8045334E+001
 9.5702734E+001, 8.8229431E+002, 9.4639788E+000
