Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
20,50.8177988,41.4300946,34.9995086,23.660968,19.9312082,12.7396691,10.6144294,20.1160845,11.986594,18.1721148,14.3261607,10.6031121,0.5359476,-47521392,637.7876587,503.2986755,394.0406494,317.9707947,221.3072205,187.1417542,140.0649414,124.7522659,110.432457,97.6319427,82.6718369,357.4519653,269.6201782,242.1134491,142.4360199,158.9476929,83.1379395,158.1547546,106.0523682,98.5460129,115.3201752,91.8011017,96.9932709,110.7040024,116.3392715,134.2030182,95.8333435,110.2329254,86.161377,57.8767395,77.5161438,57.8624535,40.3151741,43.0029945,43.8678246,41.5875168,38.3146095,36.983757,37.3237038,34.7651291,34.5758591,34.5355377,33.5087738,-3.88E+12,3327.955566,26.1819077,0,10
21,52.9411658,41.6563064,28.6071321,22.8766134,16.7073268,12.9474181,11.4719756,25.6558954,15.1070368,19.6304196,13.61193,10.6261999,0.5534032,-44951928,634.947876,503.8601685,399.7966309,320.8080139,227.9477539,190.7154388,142.6387177,124.6023865,107.3683243,94.0081406,78.5044556,356.9043274,269.4083252,230.7559052,140.7114563,153.7544861,82.8428726,154.79245,101.9323502,92.5622406,104.5237656,85.314476,98.7924728,114.7482834,120.9764175,140.8156433,99.5492554,117.2994537,87.735054,59.0176582,76.5475922,57.0791092,40.7585335,43.0471573,43.831337,41.5501938,38.310421,36.9855423,37.1412659,34.7253494,34.5487976,34.5373306,33.565712,-3.88E+12,3327.953613,26.199192,0,10
22,51.4723456,42.854471,39.1371269,23.8640101,17.407985,13.8199942,12.1003217,25.2862308,16.5933649,22.5393009,15.0904358,11.6268333,0.5910388,-50770588,628.0970459,479.7984924,374.4721985,300.866333,220.2326202,190.3441467,142.2525787,125.6267395,108.5266418,94.9646606,80.0937729,366.4466553,291.7823486,256.261322,143.2224274,155,84.4877853,162.6988983,105.4167709,95.2198868,110.1817245,87.0708389,101.480423,119.0860443,130.1066742,152.1551056,101.8857956,120.472023,91.0654678,60.5319748,80.4111328,57.8828735,41.5547066,43.0738106,43.8022499,41.5336914,38.2964859,36.9880409,37.0466003,34.7544365,34.5921402,34.5402107,33.5869789,-3.88E+12,3327.955811,26.2251225,0,10
23,49.8274473,45.9199652,35.207212,26.5475692,16.228886,11.6649486,11.8247269,26.5575397,14.7195042,18.2691269,15.3504634,11.6818952,0.5728769,-66855948,613.5202026,444.3217468,344.9884949,290.2753906,215.3313904,184.1928558,137.3522034,119.8050385,105.4373169,92.6045151,79.5401382,371.2455139,295.292511,263.2185059,146.192337,152.957962,84.4463577,155.8581085,102.9201584,94.6825638,115.3040161,88.8292847,103.568222,121.8459396,134.2109833,154.4273682,105.769928,125.1869431,94.4329453,62.2877197,85.4117432,60.3986855,42.5194092,43.1203308,43.8000603,41.5545883,38.2849617,37.0067787,36.8507919,34.7458687,34.6341515,34.4364319,33.5903969,-3.88E+12,3327.954346,26.2055359,0,10
24,53.269387,48.6418122,40.3988752,30.5203884,18.5067794,11.2973169,12.4742532,23.3044431,15.1609104,22.8704572,18.0747519,14.4241163,0.5838749,-72770832,631.9309692,445.9963989,344.5176392,284.5124512,211.8374023,186.2312927,138.525528,120.0554047,106.3032837,94.1861191,79.4915314,367.4307556,298.2530518,266.3920288,151.508606,157.2939606,83.9206314,144.0298157,98.8916016,91.0315552,108.6493912,88.9716492,105.7438736,126.1694183,142.8215179,161.9498444,110.6383209,128.4504852,94.7172241,62.5351982,84.543335,59.6017685,43.1886482,43.182579,43.7664223,41.6255035,38.2810211,37.0114326,36.7130165,34.7074661,34.6013451,34.4156075,33.5605545,-3.88E+12,3327.953613,26.2260895,0,10
25,48.5752296,50.0951416,34.7836569,27.9266521,21.0657754,12.5792563,12.2092485,24.5201615,16.1099664,28.0142329,17.4908732,13.1247686,0.5796372,-91643944,628.583374,453.2444458,353.7526855,289.0371704,214.5597687,186.6974945,142.3595581,124.443985,110.3611221,97.7683258,81.9465866,378.4674377,307.28125,269.3406982,154.8926239,165.9835205,85.7571945,148.9325562,101.6944962,93.1410828,109.3729477,89.088768,107.3837814,128.7583008,149.9741516,170.9586792,112.6040497,132.8373718,96.3533478,63.6104546,83.9772491,60.3255615,43.4104996,43.2021866,43.7269478,41.7557297,38.2771873,37.0509644,36.6572151,34.6972542,34.5907555,34.437252,33.5191841,-3.88E+12,3327.952393,26.2139072,0,10
26,49.8762656,45.27353,35.5306821,21.9693866,20.4175985,12.1317211,12.7213557,27.3777921,17.6737684,27.150497,19.6401591,13.8118512,0.6002207,-107426208,614.3861694,450.236145,353.2781677,286.4493408,209.6711121,180.4541168,139.0783844,119.1903992,108.1552048,95.4672089,80.7618484,360.8131104,305.7355652,266.6746826,152.9430237,170.8236389,86.981926,139.5807495,97.5116882,88.8644333,101.7640076,83.9614792,109.3680954,136.1579437,154.9292908,185.7934418,118.3592834,135.5917816,98.7396088,64.0844955,83.6104431,60.1551323,43.5739098,43.1771278,43.7398033,41.8959351,38.30653,37.0881996,36.6406136,34.6551628,34.6179581,34.4820786,33.5783119,-3.88E+12,3327.952637,26.2296124,0,10
27,56.2714866,44.3697652,35.5758818,25.457588,16.7808595,10.2578146,12.6737002,23.2936533,13.3197646,24.3986436,21.4819088,16.058754,0.5875073,-102226936,633.99823,487.4532471,365.1838074,287.7227783,209.7724304,180.2574615,137.7726135,118.7679138,106.2771301,95.595459,81.3849335,361.0892944,297.0796814,272.2897949,155.3944092,164.0809479,86.6205978,129.3407288,94.7021713,87.4173431,104.4633408,82.2054749,111.1234665,136.6598663,157.4767151,190.7568512,121.7612762,137.371521,101.108696,64.2872314,86.7233124,61.0656433,43.8742104,43.1496201,43.7461243,42.010231,38.3546829,37.1532516,36.7045517,34.622963,34.6284599,34.5439262,33.6128349,-3.88E+12,3327.95044,26.2103672,0,10
28,42.4297886,36.0123772,31.055296,19.43226,14.3762895,10.6914897,11.0476151,19.3591631,11.7208063,17.2241921,15.5491191,11.6953036,0.5581455,-119732776,653.7429199,513.2528687,392.1035461,305.6388245,222.6020508,193.3184357,144.8171844,124.8847733,108.5749588,98.0767593,83.9224091,361.723877,286.2278442,258.8019714,154.3179016,159.2663879,86.4228516,131.8501282,94.231514,86.0623703,105.1988373,84.6104965,112.1377029,136.8200836,150.3654785,180.5218201,121.2374802,134.8247681,99.5584335,65.0541306,86.5640869,61.4786682,44.1092033,43.0709686,43.7589188,41.8901558,38.3757477,37.2192078,36.842659,34.6145172,34.6458588,34.5703278,33.5893631,-3.88E+12,3327.950684,26.2214832,0,10
29,42.4688907,37.1704946,31.8481358,22.4793642,15.8385519,10.88962,9.7248608,15.9378877,7.4813857,9.8815317,11.1142781,9.1257258,0.5736841,-131795720,690.1433105,530.9093628,401.6997375,311.8163757,230.5899048,193.9212799,145.351181,127.0895081,110.8439713,100.2060852,85.384407,376.9391785,286.1191406,254.0974274,154.8052673,158.8696442,86.7070541,138.3538513,96.9630814,89.6561508,105.133728,83.0718307,112.3156433,133.4265289,142.2822113,165.9812164,118.6327209,127.4978104,96.1548615,65.1943893,83.6524582,60.5050621,44.0664787,43.0252342,43.7540894,41.5975037,38.3940353,37.3418083,36.9047089,34.5961609,34.628624,34.5699501,33.5435982,-3.88E+12,3327.950684,26.2060032,0,10
