Time,TC1_LR_0-03mBC,TC1_LR_0-30mBC,TC1_LR_0-61mBC,TC1_LR_0-91mBC,TC1_LR_1-22mBC,TC1_LR_1-52mBC,TC1_LR_1-83mBC,TC1_LR_2-13mBC,TC2_BED1_0-03mBC,TC2_BED1_0-30mBC,TC2_BED1_0-61mBC,TC2_BED1_0-91mBC,TC2_BED1_1-22mBC,TC2_BED1_1-52mBC,TC2_BED1_1-83mBC,TC2_BED1_2-13mBC,TC3_BED2_0-03mBC,TC3_BED2_0-30mBC,TC3_BED2_0-61mBC,TC3_BED2_0-91mBC,TC3_BED2_1-22mBC,TC3_BED2_1-52mBC,TC3_BED2_1-83mBC,TC3_BED2_2-13mBC,TC4_Kitch_0-03mBC,TC4_Kitch_0-30mBC,TC4_Kitch_0-61mBC,TC4_Kitch_0-91mBC,TC4_Kitch_1-22mBC,TC4_Kitch_1-52mBC,TC4_Kitch_1-83mBC,TC4_Kitch_2-13mBC,TC5_BaseB_0-03mBC,TC5_BaseB_0-30mBC,TC5_BaseB_0-61mBC,TC5_BaseB_0-91mBC,TC5_BaseB_1-22mBC,TC5_BaseB_1-52mBC,TC5_BaseB_1-83mBC,TC5_BaseB_2-13mBC,TC6_BaseD_0-03mBC,TC6_BaseD_0-30mBC,TC6_BaseD_0-61mBC,TC6_BaseD_0-91mBC,TC6_BaseD_1-22mBC,TC6_BaseD_1-52mBC,TC6_BaseD_1-83mBC,TC6_BaseD_2-13mBC,HF_FF_H_100672,HF_FF_V_100671,TC_FF_top_out,TC_FF_top_in,TC_FF_side_out,TC_FF_side_in
20,23.625863,23.085012,22.827198,22.208222,22.219172,21.876106,22.033321,21.582341,22.982344,23.432972,22.8633,22.7855,22.252145,22.2243,22.072917,16.107652,21.66196,21.127401,21.503812,21.536803,21.30686,16.089139,16.064982,20.844959,21.816415,21.536261,21.191567,21.109412,20.89177,20.598167,20.920684,20.63489,24.58349,25.642593,25.283744,25.742566,24.578085,25.486912,23.506121,23.410814,25.489136,26.546089,25.554859,25.340974,25.254411,25.370009,25.248849,24.99558,-0.000163,3.49E-05,22.305342,22.004113,21.282148,20.78676
21,23.593554,23.090554,22.719124,22.289558,22.262613,21.881654,21.963065,21.512069,23.063608,23.476368,22.868843,22.75316,22.295567,22.191941,22.116367,16.113227,21.705413,21.170876,21.509362,21.504434,21.274474,16.056616,15.994353,20.888453,21.897797,21.617594,21.159184,21.077043,20.973207,20.679601,20.888296,20.56458,24.58349,25.529223,25.434893,25.667016,24.615895,25.562465,23.695313,23.297216,25.753599,26.432857,25.40377,25.303195,25.216632,25.332225,25.702076,25.29788,-0.000163,-0.000118,22.267455,21.890426,21.206313,20.748819
22,23.566785,23.06378,22.805959,22.262758,22.235814,21.892752,21.936258,21.409428,23.074694,23.525304,22.842065,22.840016,22.268786,22.240941,22.051657,16.238598,21.754414,21.219902,21.558393,21.553454,21.361451,16.067767,16.005503,20.89956,21.908894,21.628694,21.170289,21.088148,20.908431,20.69071,20.899403,20.537756,24.507868,25.642593,25.699352,25.742566,24.653704,25.562465,23.884474,23.410814,25.753599,26.395111,25.214878,25.416528,25.329967,25.29444,26.041872,26.015504,-0.000163,0.000188,22.267455,21.966219,21.244231,20.748819
23,23.588014,23.047151,22.751453,22.284012,22.219172,21.800284,21.995419,21.392775,23.058066,23.470828,22.825433,22.7855,22.29002,22.262205,21.997108,16.107652,21.737766,21.203246,21.465881,21.536803,21.30686,16.012943,15.988777,20.844959,21.930163,21.612044,21.115695,21.147332,20.929713,20.636107,20.920684,20.407279,24.394426,25.68038,25.661576,25.855882,24.578085,25.675785,24.149244,23.486539,25.86692,26.432857,25.101527,25.378752,25.178851,25.332225,26.192858,26.430752,-0.000163,0.000188,22.343227,21.966219,21.244231,20.78676
24,23.474459,23.047151,22.713579,22.208222,22.181277,21.876106,21.919612,21.468605,23.209493,23.546535,22.8633,22.70973,22.327895,22.300108,22.035013,16.069575,21.699864,21.279087,21.503812,21.574721,21.344797,16.089139,15.988777,20.882899,21.778497,21.498368,21.077757,21.109412,20.967654,20.674047,20.882742,20.407279,24.394426,25.529223,25.661576,25.931419,24.464647,25.60024,24.149244,23.448677,25.791374,26.244111,25.139312,25.378752,25.027713,25.029907,25.513255,25.675636,-0.000163,3.49E-05,22.305342,21.814629,21.244231,20.748819
25,23.48,22.97697,22.756998,22.213768,22.148927,21.881654,22.000967,21.512069,23.328592,23.665626,22.944573,22.791045,22.371314,22.229847,22.040561,16.07515,21.781215,21.170876,21.471432,21.542353,21.388283,16.056616,15.956249,20.888453,21.821964,21.617594,21.159184,21.114964,20.935266,20.641662,20.888296,20.374895,24.394426,25.604804,25.586021,26.195756,24.691512,25.751325,23.997955,23.562259,25.86692,26.432857,25.101527,25.227633,24.800968,24.954314,25.3244,25.675636,-0.000163,0.000188,22.305342,21.966219,21.282148,20.78676
26,23.436605,23.00929,22.751453,22.284012,22.14338,21.876106,21.957516,21.54443,23.285199,23.660086,22.901165,22.70973,22.29002,22.262205,21.883385,15.955339,21.699864,21.127401,21.465881,21.574721,21.420666,16.012943,16.02688,20.882899,21.968076,21.536261,21.115695,21.07149,20.967654,20.711985,20.844799,20.407279,24.280972,25.529223,25.548241,26.157998,24.804927,25.60024,23.846644,23.372949,25.791374,26.168603,25.025954,25.038705,24.574175,24.500646,24.757638,24.42854,-0.000468,0.00034,22.343227,21.776728,21.206313,20.710876
27,23.442146,23.014833,22.832741,22.289558,22.186824,21.881654,22.000967,21.549981,23.404289,23.741319,22.944573,22.791045,22.333441,22.343557,21.926842,15.998994,21.781215,21.208798,21.547292,21.542353,21.388283,16.208999,16.032455,21.002267,21.935711,21.541811,21.197119,21.190803,20.935266,20.679601,20.888296,20.48871,24.318791,25.68038,25.586021,26.157998,24.993925,25.751325,23.808814,23.486539,25.640266,26.244111,24.950375,24.963124,24.422954,24.198096,24.455245,24.088175,-0.000315,-0.000118,22.305342,21.890426,21.244231,20.748819
28,23.48,22.97697,23.097804,22.289558,22.186824,21.805833,22.076769,21.587891,23.404289,23.741319,22.982435,22.75316,22.333441,22.154034,21.851023,15.998994,21.705413,21.170876,21.547292,21.504434,21.426216,16.13281,15.956249,20.888453,21.897797,21.428128,21.272986,21.190803,20.935266,20.679601,20.926237,20.48871,24.513401,25.648119,25.629326,26.088001,25.18842,25.681312,23.81435,23.567797,25.532448,26.174127,24.993695,24.968655,24.352869,23.749651,24.30955,23.791076,-0.000163,0.000188,22.310886,21.895972,21.24978,20.792311
29,23.404291,23.128413,23.438507,22.554783,22.148927,21.881654,22.152566,21.549981,23.593512,23.703473,22.906709,22.791045,22.371314,22.154034,21.851023,15.960915,21.743315,21.132953,21.547292,21.504434,21.426216,16.056616,15.918145,20.926392,21.935711,21.541811,21.235053,21.114964,21.011148,20.717539,20.888296,20.56458,24.507868,25.793734,25.472677,26.00695,25.069515,25.713556,24.187063,23.902936,25.678045,26.168603,24.988165,25.000915,24.385146,23.592746,24.114952,23.407129,-0.000468,3.49E-05,22.305342,21.852528,21.282148,20.672932
