Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
21,0.7288532,0.5620714,0.4360295,0.3620076,0.3219802,0.306918,0.7225166,0.4950018,0.3711968,0.4039486,0.3664962,0.3280538,0,26.2008286,23.5984879,21.7135983,19.9147949,20.6372356,20.3122158,19.4399204,18.4869404,18.3109207,17.6057549,17.097414,16.9725647,29.1802979,26.7690659,26.14077,26.2776051,26.7067795,26.6329403,3316.496826,23.7876434,22.5224438,21.699789,20.8801689
22,0.8117973,0.6072597,0.4217316,0.3695337,0.3276479,0.3061606,0.7974038,0.5266672,0.3747776,0.3919454,0.3407978,0.2864004,0,25.8397484,23.2935314,22.0400314,19.9184875,20.6511784,20.3462772,19.4398136,18.4647903,18.2811337,17.6155396,17.1315746,16.969038,29.4822979,26.8478298,26.1784286,26.2892132,26.6821404,26.6143475,3316.497315,23.8004017,22.5223408,21.7163639,20.8880291
23,0.8513734,0.6308008,0.4407955,0.3726423,0.3449454,0.295633,0.8311912,0.5322966,0.428163,0.3759959,0.3211858,0.2753722,0,25.7977791,22.8377495,21.7225456,19.910841,20.7251415,20.3177528,19.4165936,18.4636002,18.2643394,17.5922852,17.1022091,16.9682255,29.8015633,26.939476,26.2078362,26.2782097,26.656044,26.5991993,3316.497803,23.8026199,22.5135803,21.7121429,20.8986015
24,0.9411899,0.6513656,0.4584756,0.3804957,0.3495826,0.3203236,0.8801074,0.567715,0.4895237,0.5274334,0.3703002,0.3068701,0,25.9167366,22.6361542,21.4634533,19.9051456,20.821167,20.3101635,19.4614143,18.477663,18.2590122,17.5842972,17.0820312,16.9731712,30.1346912,27.0571957,26.2818508,26.3152199,26.6628361,26.5803299,3316.497315,23.7871075,22.491621,21.6992569,20.877737
25,0.939294,0.6575891,0.4650865,0.3711698,0.3580473,0.3135829,0.9133906,0.5867143,0.5523492,0.5162523,0.3865308,0.3396374,0,26.1059494,22.5804825,21.2688465,19.9374619,20.8101978,20.3576508,19.510828,18.4921417,18.2731285,17.5850925,17.0626507,16.9572258,30.4403152,27.1741848,26.3577881,26.343586,26.6975994,26.5830078,3316.495606,23.8022766,22.4927902,21.6792011,20.8641167
26,0.9698648,0.6860009,0.4658552,0.3893307,0.3491409,0.3228229,0.9451609,0.5827268,0.5652073,0.5721576,0.4323485,0.3685171,0,26.4554977,22.5372581,21.1940746,19.9716244,20.8041096,20.3982525,19.4978981,18.5103703,18.2643604,17.5755672,17.0790062,16.9644394,30.7642097,27.3012924,26.4476337,26.4829235,26.758358,26.5912933,3316.493652,23.8030186,22.5234413,21.6852512,20.8599281
27,1.0115738,0.7006126,0.4743109,0.3935846,0.3483313,0.3219898,1.0003807,0.621429,0.4574599,0.4723503,0.3903349,0.3436044,0,26.5979538,22.534399,21.1377048,19.9782524,20.8418541,20.4310665,19.5132618,18.5173836,18.2641525,17.5871506,17.0966911,16.962328,31.1415234,27.4444103,26.5301075,26.5914726,26.8019352,26.6193886,3316.494873,23.8406448,22.5463314,21.7062683,20.8650322
28,1.0625252,0.7257773,0.4729272,0.3880218,0.3544406,0.3309269,1.0260996,0.6566128,0.4429742,0.5037559,0.4103695,0.3566955,0,27.4571609,22.6123276,21.3060436,19.9902611,20.8470249,20.4499016,19.50704,18.5107784,18.2910233,17.6045074,17.1094913,16.9911041,31.5022469,27.5985107,26.6179276,26.6275749,26.8066978,26.606041,3316.496826,23.8389874,22.5567913,21.7228031,20.8868904
29,1.1705894,0.7720479,0.4767707,0.3665887,0.3503186,0.34562,1.0793022,0.6849944,0.4377658,0.4371628,0.3675106,0.3451119,0,27.949604,22.9314709,21.6942329,20.1877975,20.8398991,20.4488506,19.5177612,18.5180855,18.3055725,17.6236134,17.1331844,16.9946136,31.9670296,27.7580967,26.7255955,26.6839199,26.8411312,26.6046162,3316.494385,23.8519344,22.5814857,21.7236462,20.8865948
30,1.2549553,0.7493185,0.4733884,0.3608623,0.3343461,0.3241862,1.2124349,0.695315,0.4221408,0.4078948,0.3383463,0.4327823,0,28.0447464,24.2167931,21.9208279,20.3451481,20.9861736,20.591732,19.5429974,18.5638638,18.3125896,17.6313896,17.1394424,16.9951611,32.4620743,27.9524193,26.8057861,26.7101383,26.8288403,26.662899,3316.495606,23.857399,22.5994511,21.7207832,20.881834
