Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod5,21,BDP_A10_6,Voltage,,,,,99.52,0,
SC1Mod5,22,BDP_A10_7,Voltage,,,,,99.52,0,
SC1Mod5,23,BDP_A10_8,Voltage,,,,,99.52,0,
SC1Mod5,24,HF_A1,Voltage,,,0.15 m AF,146131,10964.91,0,Heat Flux 1 0.15 m AF
SC1Mod5,25,RAD_A1,Voltage,,,0.15 m AF,91834,12220.91,0,Radiometer 1 0.15 m AF
SC1Mod5,26,HF_A2,Voltage,,,0.15 m AF,150792,11210.76,0,Heat Flux 2 0.15 m AF
SC1Mod5,27,RAD_A2,Voltage,,,0.15 m AF,179084,11350.74,0,Radiometer 2 0.15 m AF
SC1Mod5,28,HF_A3,Voltage,,,0.15 m AF,150313,5537.1,0,Heat Flux 3 0.15 m AF
SC1Mod5,29,RAD_A3,Voltage,,,0.15 m AF,179083,11350.74,0,Radiometer 3 0.15 m AF
SC1Mod5,30,HF_A4_0p15_AF,Voltage,,,0.15 m AF,146502,6613.76,0,Heat Flux 4 0.15 m AF
SC1Mod5,31,RAD_A4,Voltage,,,0.15 m AF,179082,5274.26,0,Radiometer 4 0.15 m AF
SC1Mod6,0,HF_A5_0p15_AF,Voltage,,,0.15 m AF,90321,2976.19,0,Heat Flux 4 0.15 m AF
SC1Mod6,1,RAD_A5,Voltage,,,0.15 m AF,179081,6242.2,0,Radiometer 4 0.15 m AF
SC1Mod6,2,CO_1,Voltage,,,,1,1,0,CO Gas Analyzer 1
SC1Mod6,3,CO2_1,Voltage,,,,1,2,0,CO2 Gas Analyzer 1
SC1Mod6,4,O2_1,Voltage,,,,1,20,0,O2 Gas Analyzer 1
SC1Mod6,5,CO_2,Voltage,,,,2,1,0,CO Gas Analyzer 2
SC1Mod6,6,CO2_2,Voltage,,,,2,2,0,CO2 Gas Analyzer 2
SC1Mod6,7,O2_2,Voltage,,,,2,20,0,O2 Gas Analyzer 2
SC1Mod6,8,,,,,,,,,
SC1Mod6,9,,,,,,,,,
SC1Mod6,10,,,,,,,,,
SC1Mod6,11,,,,,,,,,
SC1Mod6,12,,,,,,,,,
SC1Mod6,13,,,,,,,,,
SC1Mod6,14,,,,,,,,,
SC1Mod6,15,,,,,,,,,
SC1Mod6,16,,,,,,,,,
SC1Mod6,17,,,,,,,,,
SC1Mod6,18,,,,,,,,,
SC1Mod6,19,,,,,,,,,
SC1Mod6,20,,,,,,,,,
SC1Mod6,21,,,,,,,,,
SC1Mod6,22,,,,,,,,,
SC1Mod6,23,,,,,,,,,
SC1Mod6,24,,,,,,,,,
SC1Mod6,25,,,,,,,,,
SC1Mod6,26,,,,,,,,,
SC1Mod6,27,,,,,,,,,
SC1Mod6,28,,,,,,,,,
SC1Mod6,29,,,,,,,,,
SC1Mod6,30,,,,,,,,,
SC1Mod6,31,,,,,,,,,
SC1Mod7,0,TC_A1_1,TC,,,0.03 m BC,,,,TC 1 0.03 m BC
SC1Mod7,1,TC_A1_2,TC,,,0.30 m BC,,,,TC 1 0.30 m BC
SC1Mod7,2,TC_A1_3,TC,,,0.61 m BC,,,,TC 1 0.61 m BC
SC1Mod7,3,TC_A1_4,TC,,,0.91 m BC,,,,TC 1 0.91 m BC
SC1Mod7,4,TC_A1_5,TC,,,1.22 m BC,,,,TC 1 1.22 m BC
SC1Mod7,5,TC_A1_6,TC,,,1.52 m BC,,,,TC 1 1.52 m BC
SC1Mod7,6,TC_A1_7,TC,,,1.83 m BC,,,,TC 1 1.83 m BC
SC1Mod7,7,TC_A1_8,TC,,,2.13 m BC,,,,TC 1 2.13 m BC
SC1Mod7,8,TC_A2_1,TC,,,0.03 m BC,,,,TC 2 0.03 m BC
SC1Mod7,9,TC_A2_2,TC,,,0.30 m BC,,,,TC 2 0.30 m BC
SC1Mod7,10,TC_A2_3,TC,,,0.61 m BC,,,,TC 2 0.61 m BC
SC1Mod7,11,TC_A2_4,TC,,,0.91 m BC,,,,TC 2 0.91 m BC
SC1Mod7,12,TC_A2_5,TC,,,1.22 m BC,,,,TC 2 1.22 m BC
SC1Mod7,13,TC_A2_6,TC,,,1.52 m BC,,,,TC 2 1.52 m BC
SC1Mod7,14,TC_A2_7,TC,,,1.83 m BC,,,,TC 2 1.83 m BC
SC1Mod7,15,TC_A2_8,TC,,,2.13 m BC,,,,TC 2 2.13 m BC
SC1Mod7,16,TC_A3_1,TC,,,0.03 m BC,,,,TC 3 0.03 m BC
SC1Mod7,17,TC_A3_2,TC,,,0.30 m BC,,,,TC 3 0.30 m BC
SC1Mod7,18,TC_A3_3,TC,,,0.61 m BC,,,,TC 3 0.61 m BC
SC1Mod7,19,TC_A3_4,TC,,,0.91 m BC,,,,TC 3 0.91 m BC
SC1Mod7,20,TC_A3_5,TC,,,1.22 m BC,,,,TC 3 1.22 m BC
SC1Mod7,21,TC_A3_6,TC,,,1.52 m BC,,,,TC 3 1.52 m BC
SC1Mod7,22,TC_A3_7,TC,,,1.83 m BC,,,,TC 3 1.83 m BC
SC1Mod7,23,TC_A3_8,TC,,,2.13 m BC,,,,TC 3 2.13 m BC
SC1Mod7,24,TC_A4_1,TC,,,0.08 m BS,,,,TC 4 0.08 m BS
SC1Mod7,25,TC_A4_2,TC,,,0.34 m BS,,,,TC 4 0.34 m BS
