Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,EVENT,,,,,,,,,,,,,,
34,17.698585,16.126367,15.829235,14.787956,14.074408,13.9583,13.65849,12.975242,25.392825,24.296003,23.118279,22.211471,20.457442,20.018736,19.02968,13.658222,90.424498,72.851269,55.310787,31.080873,29.918157,20.837813,17.888985,21.25456,43.58338,26.775812,25.085808,24.090154,23.007991,21.725779,20.53421,19.40798,9.057845,0.00054,,,,,,,,,,,,,,
35,17.654958,16.082695,15.785551,14.744236,14.106944,13.990843,13.652887,13.007796,25.349495,24.214792,23.112718,22.243808,20.527736,19.975181,19.0621,13.652619,91.117547,79.701964,58.069263,33.215564,30.28894,21.363453,18.263826,21.400693,44.729781,27.109631,25.344844,24.23587,23.153912,21.796017,20.604541,19.36443,9.013994,0.00054,,,,,,,,,,,,,,
36,17.698585,16.164445,15.943496,14.826077,14.150682,13.996445,13.811077,13.089716,25.317264,24.144687,23.080421,22.325176,20.495377,20.018736,19.067681,13.658222,97.196079,83.595428,60.09921,36.44204,30.633026,21.786231,18.573667,21.595862,46.331236,27.454424,25.652699,24.317054,23.386657,21.915284,20.723963,19.370009,8.904884,0.000234,,,,,,,,,,,,,,
37,17.698585,16.164445,15.981581,14.864197,14.036269,13.9583,13.849222,13.166027,25.392825,24.144687,23.080421,22.325176,20.571242,20.018736,19.143679,13.658222,98.781288,83.999055,61.239553,38.272982,31.159462,22.051648,18.725768,21.709606,47.554761,27.906591,26.06823,24.581711,23.462374,21.991077,20.723963,19.294063,8.981366,0.000234,,,,,,,,,,,,,,
38,17.666131,16.170038,15.987174,14.793555,14.118147,13.963902,13.93111,13.286091,25.322814,24.074577,23.12384,22.33074,20.576815,19.986334,19.149259,13.701965,100.520694,86.023112,62.237746,40.143675,31.803868,22.398372,19.035493,21.715174,47.856647,28.288785,26.526897,24.814062,23.619352,22.261878,20.729536,19.261667,8.948737,0.000387,,,,,,,,,,,,,,
39,17.616916,16.120774,16.014071,14.782358,14.106944,13.990843,13.996189,13.23673,25.273932,24.101298,23.07486,22.28171,20.527736,19.975181,19.176096,13.690759,100.177702,87.187273,64.468692,41.957717,32.543982,22.7283,19.290398,21.628209,48.586605,31.13596,26.968743,25.029708,23.759635,22.326518,20.794284,19.250508,8.981366,0.000845,,,,,,,,,,,,,,
40,17.590048,16.13196,15.987174,14.755433,14.118147,14.002046,14.007392,13.324242,25.322814,24.074577,23.12384,22.29284,20.576815,19.948355,19.149259,13.701965,102.256119,89.953369,66.683031,42.563946,33.193055,23.004619,19.605558,21.639346,48.338233,31.785279,27.206218,25.229733,23.808597,22.299764,20.881316,19.299642,8.904884,0.000387,,,,,,,,,,,,,,
41,17.578874,16.120774,15.975987,14.744236,14.259487,13.990843,14.072468,13.465632,25.236148,24.063464,23.112718,22.243808,20.527736,20.013159,19.0621,13.690759,105.720632,94.76124,68.397571,42.887748,33.519677,23.637279,19.898329,21.779862,50.917748,31.511469,27.53464,25.596381,23.759635,22.288634,20.832229,19.288483,8.872254,0.00054,,,,,,,,,,,,,,
42,17.508373,16.126367,15.90541,14.635463,14.150682,13.996445,14.03993,13.547528,25.203913,24.031186,23.156136,22.249374,20.495377,20.094688,19.02968,13.734501,107.614291,95.650419,68.146035,43.971148,33.6002,24.097045,20.169778,21.861248,51.144999,31.742227,27.841865,25.715228,23.727345,22.142648,20.761911,19.142156,8.899273,0.00054,,,,,,,,,,,,,,
43,17.51396,16.170038,15.83483,14.602937,14.232554,14.002046,14.121808,13.553131,25.209464,23.998906,23.199552,22.179133,20.500951,20.100264,19.03526,13.854514,109.695311,97.166362,70.793556,46.278047,34.093179,24.594445,20.289279,22.056338,53.293098,31.63513,27.92281,25.796301,23.5815,21.996643,20.729536,19.185714,8.861031,0.000692,,,,,,,,,,,,,,
