Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,CO2_OB_1-0mAF,CO_OB_1-0mAF,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF
27,14.491092,14.517333,14.563077,14.093277,14.14226,13.873843,13.802653,13.119015,18.220852,18.105252,17.949239,17.874686,17.218987,16.931059,16.092018,10.671565,18.377837,17.309975,17.350019,17.03795,17.228524,11.268951,10.786876,14.743332,21.044827,19.273057,18.670919,18.279655,17.609452,16.702976,16.229738,14.719473,91.387871,44.517628,38.510015,29.191611,23.367168,22.273682,18.848771,17.759034,7.421346,16.51025,21.202427,14.094876,14.826167,0.147309504,1.017353152,1.196787712,-0.001044,0.001680588,20.97236832,-0.00134586,0.00021937
28,14.485374,14.587856,14.55736,14.125697,14.098404,13.753677,13.720641,13.075136,18.29118,18.175605,17.905512,17.868983,17.175246,16.925351,16.048217,10.627628,18.258104,17.304269,17.306252,17.032242,17.222818,11.225007,10.819374,14.775737,21.342645,19.229394,18.627203,18.273953,17.527653,16.621144,16.224028,14.67565,92.664432,47.918275,39.319485,28.728523,23.431512,22.413878,18.875373,17.899748,7.142031,16.460759,21.266918,14.121587,14.738513,0.451144064,0.652910912,0.619671232,-0.000495,0.001680588,20.96918392,0.00167634,0.00070615
29,14.517785,14.582138,14.513519,14.081839,14.130822,13.786106,13.71492,13.069413,18.285478,18.093847,17.899808,17.863279,17.207574,16.881571,16.004416,10.660104,18.252402,17.260519,17.300546,17.026535,17.255175,11.219278,10.775416,14.808141,22.550189,19.299628,18.697534,18.306262,17.483899,16.577371,16.218317,14.669933,97.574145,64.147551,43.12786,28.099424,23.329323,22.652513,18.962733,17.949167,7.230028,16.434081,21.278281,14.056738,14.788051,0.177663104,1.078159872,1.044920192,-0.0007686,0.001315104,20.96918392,0.00112554,-0.000754988
30,14.52922,14.479211,14.524955,14.093277,14.14226,13.797547,13.688214,13.080859,18.258867,18.14328,17.949239,17.836644,17.104878,16.892987,16.053929,10.709771,18.339828,17.271932,17.350019,17.03795,17.266588,11.307165,10.863331,14.819574,24.000549,19.273057,18.670919,18.241644,17.533358,16.626853,16.229738,14.681367,102.588745,70.894106,47.278239,27.716899,23.361497,22.72259,18.995026,18.019515,7.300824,16.466463,21.462215,14.089163,14.820457,0.208116224,0.683364032,1.303075072,-0.000495,0.001558494,20.97557367,0.00167634,0.001680557
31,14.45868,14.484928,14.645037,14.098996,14.109842,13.765117,13.846518,12.972107,18.264569,18.148982,17.954942,17.880389,17.110585,16.936766,16.05964,10.639089,18.421545,17.277637,17.431843,17.043656,17.272293,11.274679,10.830834,14.82529,26.01009,19.316718,18.714633,18.285356,17.615156,16.632561,16.273532,14.72519,105.991767,72.067602,51.790855,27.679204,23.550702,22.72259,19.146956,18.095557,7.26256,16.504547,21.57597,14.051025,14.744224,0.238469824,0.561850112,0.224775872,-0.0007686,0.001558494,20.92761912,-0.00162126,-0.001120472
32,14.517785,14.505897,14.551642,14.119978,14.054546,13.709806,13.753067,13.031255,18.247464,18.093847,17.899808,17.787193,17.131502,16.957715,16.042506,10.69831,18.404442,17.260519,17.414727,17.064594,17.217111,11.295708,10.813643,14.884381,26.710574,19.337592,18.697534,18.268251,17.598043,16.653497,16.218317,14.669933,105.430972,75.692064,55.47451,27.59816,23.772037,22.67904,19.217222,18.165897,7.40988,16.498843,21.570289,14.121587,14.814746,0.223243264,0.394855552,0.133615552,-0.000495,0.0014364,20.91483962,-0.00107226,-0.001120472
33,14.447245,14.587856,14.55736,14.049419,14.098404,13.753677,13.796933,12.922501,18.29118,18.137578,17.98156,17.945064,17.099171,16.925351,16.124394,10.704041,18.410144,17.228181,17.344314,17.108359,17.260882,11.33965,10.857601,14.890097,30.221094,19.343289,18.665219,18.311963,17.603747,16.697267,16.224028,14.599433,108.294104,79.443148,60.27074,27.420949,23.783375,22.690389,19.266582,18.215306,7.68917,16.472166,21.657479,14.094876,14.788051,0.253696384,0.455562752,0.574091072,-0.0002196,0.001315104,20.97557367,0.00194994,0.000584854
34,14.414832,14.555453,14.601199,14.131416,14.104123,13.721247,13.726361,12.966385,18.296881,18.14328,17.949239,17.836644,17.142916,16.816839,16.015839,10.786181,18.453851,17.195842,17.426138,17.076008,17.228524,11.268951,10.825104,14.895813,29.059743,19.121186,18.670919,18.241644,17.609452,16.664915,16.267822,14.681367,115.537036,82.047313,65.927496,27.345536,23.707713,22.728264,19.494419,18.177289,8.262996,16.395994,21.771214,14.094876,14.749934,0.466271104,0.683364032,0.467803712,-0.001044,0.001315104,20.95638347,0.00030294,0.00094954
35,14.523503,14.549736,14.595482,14.125697,14.060266,13.753677,13.758787,12.922501,18.21515,18.175605,17.905512,17.868983,17.099171,16.925351,16.086307,10.704041,18.486156,17.228181,17.420433,17.108359,17.260882,11.263222,10.857601,14.890097,29.430688,19.191426,18.665219,18.311963,17.565701,16.735327,16.224028,14.599433,112.705046,81.124754,69.663937,27.603809,23.853364,23.13913,19.640596,18.133575,8.639747,16.504547,21.879259,14.127301,14.782341,0.299177024,0.531496512,0.361516352,-0.0002196,0.00119301,20.95958882,0.00112554,0.001193728
36,14.491092,14.555453,14.63932,14.131416,14.104123,13.797547,13.726361,12.966385,18.220852,18.14328,17.987262,17.874686,17.142916,16.96913,16.015839,10.671565,18.529861,17.233887,17.426138,17.03795,17.266588,11.268951,10.939783,14.972048,32.819608,19.235091,18.708933,18.279655,17.647497,16.741036,16.229738,14.681367,111.781866,83.184664,71.686187,28.099424,24.199426,23.750398,19.722212,18.101253,8.874939,16.51025,21.99865,14.094876,14.826167,0.162536064,0.683364032,0.406996992,-0.000495,0.001315104,20.98196342,0.00194994,0.002289382
