Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
20,4.0712603,4.4352714,3.8858127,2.8317261,1.9846725,1.4335189,3.5190603,3.6371522,3.0710666,2.5054924,1.6843022,1.0676593,-661.1752922,483.9786072,357.0827942,345.2875061,145.9227905,114.22686,87.4659119,88.6858368,69.0811157,62.4843559,56.1229134,52.8155365,41.6556625,21.183403,49.623642,29.765173,26.8667984,25.7359161,19.2146912,24.3603249,21.5587101,23.1558018,22.6229153,20.8273144,15.8604183,31.6942024,31.801775,24.5184193,3321.27002,3319.709473,25.4793358,23.4838314,19.8701057,21.3768845,17.057476,18.2627716,18.527853,18.5934467,18.6387806,18.4218464,18.4730148,18.3695297,18.7023487,18.8591003,18.8215294,21.3461857,20.8371563,21.8319378,0,10
21,4.1236335,4.6087185,4.2108201,3.1937988,2.1985723,1.4306408,3.6184055,3.8639707,3.3448296,2.7960353,1.7915763,1.1120896,-661.1752922,502.4080505,349.7427063,338.3993225,149.8019867,126.6227036,99.7993622,100.0500946,76.0899506,66.6776047,61.104332,56.1646996,45.5291138,21.1846619,50.0421371,30.4553509,27.4635735,26.179121,19.3139572,23.7808971,21.6482925,22.911438,22.7203655,20.9731026,15.857111,32.3467903,32.5436058,25.1006279,3321.270752,3319.710205,24.4910641,22.5854168,19.9693317,21.464222,17.0819569,18.2412186,18.5378551,18.5623894,18.6446037,18.4170265,18.472374,18.3742104,18.6861229,18.8645439,18.8322983,21.3762798,20.8342419,22.0715961,0,10
22,4.2186636,4.9301773,4.7905756,3.9845342,2.994477,2.3797879,3.8483621,4.3403597,4.0598362,3.665033,2.7003205,2.2989335,-661.1752922,538.2722778,467.9241028,440.42453,178.5782318,149.5842285,117.6366119,108.4837952,78.9777832,66.341568,60.6495895,56.017704,47.434967,21.1859016,50.8035965,31.1619759,28.2752781,27.0606823,19.4036999,25.1586285,22.299427,24.1455288,23.6864853,21.1476727,15.8046503,33.0717201,33.5515976,25.6700478,3321.270264,3319.709717,27.8478451,23.2739697,20.1478786,21.8021317,17.0950012,18.2207909,18.5269375,18.5723782,18.6116447,18.410284,18.4892025,18.3746967,18.6751995,18.854002,18.8289776,21.3805561,20.8461094,22.0368328,0,10
23,4.7208304,5.353648,4.8580677,3.6951051,2.8380637,2.3358599,4.4736825,4.9574839,4.381288,3.6811468,2.7091121,1.8778773,-661.1752922,544.1611328,518.6030273,495.7472839,185.263031,164.220108,124.1277313,104.3550949,79.4128799,62.7539902,57.4328957,54.4259567,47.2321587,21.179287,51.677845,31.9850445,29.0913658,28.2537575,19.4848042,27.192379,23.2720699,25.6098156,24.709322,21.4990196,15.6387758,34.0492134,34.7183533,26.2309628,3321.269531,3319.708984,31.6474495,28.0141239,20.3845787,23.1245384,17.1165237,18.2050285,18.5298042,18.5760078,18.6023521,18.4036484,18.4780064,18.3714828,18.6750259,18.8485069,18.8212013,21.3739357,20.8432808,21.7933273,0,10
24,4.8675228,5.6591421,5.1741581,3.7014859,2.5423136,1.8864314,4.5800878,5.1835986,4.564068,3.6081412,2.283059,1.5438568,-661.1752922,561.942749,526.0852051,473.4124146,187.0726318,168.1564789,125.5611572,98.0052338,77.4123917,62.5690613,55.9568176,52.5570755,44.8545074,21.1778316,52.6297417,32.7514114,29.7154408,28.5036888,19.5695553,27.8142681,23.5608959,25.9273663,24.6643982,21.8914223,15.5131168,35.1289787,35.7594414,26.872551,3321.270264,3319.709717,33.7311592,28.9903088,20.6411934,23.7699757,17.1371384,18.1822758,18.5291042,18.5722675,18.6138134,18.3835526,18.4826298,18.3715439,18.6560783,18.8470459,18.8144169,21.3607159,20.8486538,21.5208054,0,10
25,4.7623024,5.385848,5.0377903,3.8217405,2.9910911,1.8742376,4.4976362,4.895795,4.4048883,3.512609,2.1725726,1.4304802,-661.1752922,572.6838379,531.4940796,480.1330261,204.2638092,174.5897827,134.819809,105.7602158,82.5842209,69.1916122,59.848217,56.472641,46.4389114,21.189352,54.4094658,33.6253166,30.6153755,29.158947,19.6862869,27.4422684,23.5939655,25.8467331,24.6184254,22.1557121,15.4439259,36.1860695,37.0762901,27.6359978,3321.269531,3319.70874,31.9900246,27.9283905,20.8356228,24.2638397,17.1684952,18.1790028,18.5296345,18.5990353,18.6303043,18.3886471,18.4900036,18.3705521,18.6512852,18.8567028,18.8320599,21.3453102,20.8613262,21.3708,0,10
26,4.7068484,5.3136009,4.7529091,3.4843732,2.7216921,1.801605,4.2278407,4.5812516,3.896913,3.1791506,2.016015,1.2756883,-661.1752922,598.9135742,561.0372314,500.4655151,219.0743713,189.8116455,145.6837769,120.6293564,92.2893982,76.9459152,64.1950302,60.1147995,49.7407494,21.1767044,55.3802795,34.3404617,31.3045101,29.8183994,19.8198032,27.1479378,23.7115002,25.4392071,24.5872879,22.2556019,15.460166,36.904808,37.8997803,28.2490349,3321.270752,3319.710205,31.4563866,26.5379333,20.9557495,24.0469475,17.1687355,18.1910305,18.5150528,18.6110573,18.6522045,18.3744335,18.4902401,18.3780136,18.663311,18.8497162,18.8300171,21.3967667,20.8850937,20.9948044,0,10
27,4.8267618,5.2210597,4.6362201,3.3916054,2.3641864,2.0809262,4.2185114,4.459281,3.7496148,2.9571739,1.9229427,1.2053932,-661.1752922,602.9854736,539.3930054,463.8106995,217.3134155,195.3356323,149.4835968,125.4171295,96.4609222,82.3805466,68.4426422,65.3144531,52.1318741,21.175436,56.0373726,35.0394096,31.9004211,29.8976803,19.942688,27.5430603,23.8657322,25.4311485,24.6627674,22.4354324,15.520999,37.5439148,38.6420479,28.8180542,3321.266113,3319.705566,30.6996632,26.0991383,21.1066055,23.8678627,17.1682262,18.1863403,18.5263252,18.6158752,18.6703167,18.3579559,18.5132999,18.3828259,18.6540585,18.8469276,18.8492832,21.3731194,20.8754807,20.6706848,0,10
28,4.6184538,4.9537185,4.2232731,3.1434064,2.2319896,1.7391969,3.9446816,4.0727281,3.4496473,2.7876495,1.8465236,1.1672308,-661.1752922,622.3936157,533.0371704,448.7114563,219.677536,202.4195099,152.7161407,124.0645752,95.7901611,78.4873428,64.8427811,62.545208,52.636631,21.1800518,55.6887703,35.6853218,32.2817574,30.0016117,20.0456333,27.5257854,23.9592381,25.8669186,25.3105869,22.6472435,15.5702114,38.0917625,39.2560425,29.3131886,3321.26709,3319.706299,29.4912128,26.2430573,21.2951813,23.8085232,17.1629658,18.1909695,18.5108128,18.623167,18.6996441,18.3812218,18.5156479,18.3844147,18.6476631,18.8542194,18.8482075,21.3750839,20.8782043,20.3686829,0,10
29,4.8066182,4.9604832,4.1073528,2.9555802,2.1162069,1.5122863,4.0884044,4.1283185,3.3741265,2.6847181,1.7693438,1.1232765,-661.1752922,643.0033569,553.3314819,480.4899902,232.4129486,211.764801,162.8483429,131.2986145,98.8431625,82.5117798,69.8977051,65.0372467,50.7744408,21.1808834,55.7397041,36.2421951,32.5991364,30.1698742,20.1743851,27.0683537,23.9982719,25.7405243,25.3771496,22.9737568,15.5668535,38.6169548,39.6925659,29.7652054,3321.268311,3319.707275,28.2625504,25.6358776,21.4283695,23.9319439,17.1360149,18.2028294,18.5181046,18.6236191,18.7023773,18.410574,18.5259838,18.3768845,18.6621819,18.8539124,18.8737545,21.3869171,20.8862476,20.0711632,0,10
