Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
20,26.252387,28.4551183,26.9677972,19.0057243,12.4188042,7.6606871,10.4243119,13.5730653,12.4042373,12.2910476,8.3410442,5.9451523,-661.1752922,602.8782349,637.5643921,598.5674438,334.5179749,325.9686279,274.275238,212.1334534,161.5480347,128.0561676,112.2259216,103.5740891,77.8758621,20.0873241,168.2540131,92.0291748,76.2250214,91.9184723,54.8351746,67.7632523,41.2014542,44.5149803,37.5088196,30.0261211,16.8052082,153.0563812,174.2332764,79.2225342,3319.982666,3318.412354,83.5320511,54.7006569,28.622776,34.6161804,19.5355225,19.4350033,20.2847824,20.2225838,20.2428856,20.2277088,20.4569416,20.2886333,20.0353718,20.2284851,20.3532772,20.0895977,21.2569523,21.1674004,0,10
21,30.1791939,31.5392831,26.0917838,19.9325846,13.1511131,9.6171479,17.6858448,21.5600288,19.1952529,17.5995794,11.0780974,8.3625564,-661.1752922,596.6618652,618.4243164,583.8747559,345.7208557,340.1352539,291.5461731,228.3751526,181.9856415,145.0943604,118.7011185,106.9813995,79.9827118,20.0901222,170.388382,95.4403458,76.3858337,98.0155029,57.4071999,70.1178665,42.2127075,46.3721581,38.1023178,30.3504696,16.7391224,155.8641663,184.1407471,81.874855,3319.980713,3318.410889,86.0113831,56.0930939,29.0530548,35.4797592,19.5143948,19.448061,20.2928925,20.2443714,20.2430267,20.2445583,20.4726448,20.2918129,20.061718,20.2396431,20.3625355,20.0931587,21.3333454,21.2176075,0,10
22,28.2847525,26.4289538,27.5071188,18.4659692,13.4369998,7.9743934,15.9208276,25.5838859,25.8488988,24.0275314,14.4684321,8.6290587,-661.1752922,601.7636108,640.0563965,586.1009521,337.0013123,330.7692261,277.3428345,218.3604889,175.4028168,142.4917603,118.3912506,103.7365875,77.7238083,20.0912151,171.0710907,98.2459564,76.7254791,100.0327148,57.9170761,69.6897659,42.751545,45.926548,37.9630165,30.7350597,16.7261353,166.3281097,210.2914429,84.81987,3319.98169,3318.411865,100.3162994,58.0933113,29.3850975,35.8853645,19.5230846,19.4685268,20.3034725,20.2355919,20.2604389,20.2650166,20.4805679,20.2841778,20.0544605,20.2380772,20.3704643,20.0665264,21.3932343,21.2149067,0,10
23,24.2430088,30.6127888,26.9153716,20.5058799,15.3185236,9.4205324,9.4419537,11.4990958,13.3668024,11.5590178,9.6746581,6.5014829,-661.1752922,625.8528442,676.5238647,623.2323608,357.3239441,336.2599487,281.727478,221.8037567,177.0581055,147.1891479,121.3324661,105.7663498,77.9452667,20.0794792,176.1860046,100.8675537,76.8960953,101.2542725,59.0620575,71.002121,43.3883286,45.5390816,38.3621025,30.9966946,16.747858,166.1239319,201.8298645,88.5308838,3319.979736,3318.409424,100.2742691,57.9954147,29.7189903,36.1910172,19.4946213,19.4947643,20.3042603,20.2344818,20.2733688,20.2752953,20.4589634,20.2731991,20.0465107,20.2426624,20.3708725,20.1090946,21.4425774,21.2600651,0,10
24,28.0032167,29.3307419,24.8069743,18.3589673,14.4772774,8.985797,9.6113953,11.1179377,8.9664118,8.9475853,6.5619342,4.3824758,-661.1752922,632.342041,669.4825439,632.4661255,358.8963928,349.3874512,284.3697815,223.9469452,171.5712433,144.0376282,119.3309174,102.7635422,76.7490158,20.0911999,183.2657318,104.4673996,77.4327469,106.3022537,60.4082947,72.1330566,43.866848,46.1211662,39.1414642,31.3231983,16.7794113,160.2076721,183.2280579,89.8730698,3319.980713,3318.4104,92.1252289,56.6946869,30.2133446,36.4905396,19.5713139,19.5270081,20.3205338,20.2488689,20.2642212,20.3048687,20.4194546,20.2815075,20.0343189,20.2479382,20.391716,20.0786686,21.5085316,21.2820206,0,10
25,29.4244033,30.9772712,28.121466,21.5716465,17.0192702,11.0370816,14.5133524,26.229861,21.5303766,29.0940263,15.8226723,10.6029533,-661.1752922,638.6036377,669.3286743,633.187439,354.4473572,350.1183777,305.1515503,245.033432,184.437149,149.0163269,125.2298965,107.3231354,78.6598816,20.0841064,189.3267365,107.1539078,77.0153885,107.5352249,61.7792969,74.037735,44.6943398,47.2806664,39.8574524,31.5633564,16.8579311,164.2749023,187.8059082,92.6944046,3319.980957,3318.411133,91.8727417,55.4116898,30.6557331,36.2595406,19.5923195,19.5400372,20.3267193,20.263792,20.2366314,20.3000488,20.4104595,20.2721329,20.0169621,20.2495708,20.3937283,20.0958729,21.5185089,21.2590008,0,10
26,33.783941,30.7589065,23.6008801,14.4615729,13.0850146,7.7333197,20.1659461,28.6054731,30.8917049,32.1282012,20.6516971,11.8148686,-661.1752922,637.2423706,661.4962769,589.9442749,335.7870483,335.9925232,293.419342,230.1170654,175.4247894,145.6045074,129.2899933,119.2941284,89.1068192,20.0952263,190.9151917,109.5004044,77.5180893,103.733757,61.5063171,75.1139908,46.0398331,48.610878,40.2186928,31.9135017,16.9208488,178.8181,224.5181885,98.2786713,3319.981445,3318.411621,108.0028763,62.9007378,30.8130074,37.871582,19.6501751,19.5595245,20.3533974,20.275301,20.2397842,20.2975082,20.4538403,20.2881889,19.9920158,20.2504501,20.397644,20.0709209,21.5702076,21.2777004,0,10
27,27.4775885,26.7087419,29.3347859,26.2789188,17.846384,10.9963347,10.3524504,13.5629792,21.2927464,16.8012854,13.843385,9.1177918,-661.1752922,650.2424316,690.6168213,615.8233643,346.282135,336.4472351,297.6541748,225.9900818,172.4333191,147.2721405,128.9713593,118.8160172,91.5669708,20.0874596,193.0183105,112.0736542,77.6917953,106.9834442,62.9911003,77.271637,47.0012779,49.428936,40.2997475,32.2666054,16.7284546,182.9169922,233.9808197,102.1379547,3319.984863,3318.414551,113.5063477,64.4580002,31.1499996,38.2227783,19.7293739,19.5688381,20.3847122,20.2982788,20.2525063,20.3102341,20.4984398,20.306982,19.9196739,20.2301388,20.4031563,20.1106205,21.7020035,21.2251835,0,10
28,28.3439982,29.9650007,35.4814852,28.2293338,21.3297276,13.9897985,10.7425192,16.0507104,15.2011122,14.0865926,11.3252758,7.051625,-661.1752922,667.7758789,719.0735474,640.3108521,359.469635,352.257019,310.5623779,238.3547516,185.6429291,160.711441,138.7698212,124.3613205,93.2823181,20.0915222,196.6125793,115.3656158,78.9856567,115.5595779,65.4665451,81.6192856,48.4278717,52.1828003,42.1094055,32.7464943,16.4995613,178.8372803,216.1908875,105.2860489,3319.980713,3318.4104,102.5434113,60.0390282,31.5339222,38.0975952,19.7448387,19.585062,20.4160957,20.3103237,20.2626438,20.3275948,20.5427303,20.3209171,19.885006,20.2034473,20.3977337,20.0873451,21.7546082,21.3634949,0,10
29,28.0591447,25.8258125,18.939468,16.0176838,17.0119096,13.7768993,16.8762061,27.419778,25.4288142,24.5645504,17.4510574,11.2402899,-661.1752922,674.0019531,698.2662964,629.319397,365.1713562,356.5143433,305.6077271,232.8405457,187.6655426,161.3084869,142.6044006,131.7012329,97.5139618,20.0845642,195.8780212,117.0643463,77.8119049,116.3864212,68.5530319,86.2620392,49.9199409,53.5560074,43.0984344,33.3442726,16.4941006,188.5864868,224.511322,107.4063568,3319.979004,3318.408691,115.0897141,64.2602005,31.7235031,38.7208481,19.8035774,19.589489,20.4432831,20.3162689,20.2811089,20.3521423,20.579031,20.3355865,19.9513416,20.1706581,20.359251,20.0875969,21.7996063,21.3542652,0,10
30,26.0729909,30.8955537,28.6637086,18.202718,14.0409394,9.6216922,19.8512687,37.090405,32.037701,26.373743,14.9563643,9.1183472,-661.1752922,680.2713623,684.9649658,593.4285278,344.7570801,341.7878113,290.9935608,220.5121918,179.3015442,153.1687775,135.977478,126.7515945,95.616127,20.0885944,198.8815765,118.7983093,78.7850723,116.6142197,69.03125,84.0157013,50.4326363,53.2795982,43.101265,33.8974724,16.5110874,220.7574463,261.91922,109.5906296,3319.980225,3318.409912,112.4551315,63.1283455,32.112812,38.8781815,19.8190041,19.5882053,20.4882889,20.3199215,20.2877979,20.3664265,20.6073456,20.3377209,20.0172768,20.1781082,20.3393593,20.072258,21.8343449,21.3704262,0,10
31,24.4264336,31.12393,31.4828484,24.3363571,18.0721345,12.501019,12.6154546,23.9905275,22.6433324,25.3422913,14.9660012,8.6045427,-661.1752922,684.4847412,693.579895,594.383728,337.0217896,333.6807556,282.3245239,205.5741882,175.5200195,151.2148132,131.8069305,122.247406,94.7398148,20.0775948,200.8415375,121.9579086,79.1915894,122.0868607,70.3817673,84.2887573,50.3949242,52.3574982,42.370636,34.1804123,16.5331726,234.0176544,267.3711853,114.918335,3319.980713,3318.4104,107.8997192,60.5845337,32.4664612,38.6307716,19.8805294,19.58745,20.538372,20.316885,20.2999439,20.3941441,20.588377,20.3422756,20.0074043,20.1800098,20.3507557,20.0642834,21.8498936,21.3400917,0,10
