 Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
20,8.4672933,8.3355302,6.4654246,3.8204316,3.0340772,1.8825688,4.769701,4.5812516,3.4037489,2.383323,1.7414474,1.3658183,-661.1752922,270.230072,197.6751709,155.904068,85.7010345,83.210289,70.9440765,64.0656967,51.2468262,49.1307831,45.9089279,47.2117119,38.7765656,19.5540199,108.1373215,61.6240463,59.7203407,59.3089027,39.2468834,44.3562546,31.7873993,34.458107,31.9494591,26.6232224,16.5686226,67.2975616,83.1179733,42.7139091,3319.352295,3317.777588,46.8567429,35.5846405,24.4277821,27.6435375,23.2378368,23.1772461,23.2317848,21.7116661,21.0214863,20.5075054,20.646101,20.256855,19.6619816,19.8954525,19.9177227,20.2461586,20.5112267,20.8129082,0,10
21,9.8370546,9.9861185,8.1050672,5.3457835,3.1856325,1.9876929,5.3988036,4.8828943,3.8163466,2.6945837,1.6019657,1.1842095,-661.1752922,293.9266357,200.4408569,154.3138428,85.2622375,82.1686478,70.201622,62.5701332,52.1101303,50.0428085,47.4949188,48.207592,40.5144958,19.5635281,105.1990356,62.5746918,59.2654266,56.3163643,38.8455124,42.0730705,31.5572052,32.9323235,30.8150082,26.799839,16.7898045,66.1233444,77.7802658,42.981617,3319.354248,3317.779541,42.6964989,32.8459015,24.6301231,27.1498775,23.3048744,23.1946831,23.2094727,21.7185097,21.0021629,20.5101795,20.5971718,20.253458,19.6509838,19.8836937,19.9006481,20.2716217,20.5438919,20.8258266,0,10
22,14.7383351,17.0127539,17.7347574,13.2578817,8.1695873,5.7767074,7.6544956,8.7838425,7.115012,5.0138292,3.324015,2.5090253,-661.1752922,328.7944641,228.0119476,167.6603241,94.4634094,89.4576721,70.8802719,59.2693367,50.0232925,47.5675888,46.4771156,48.1509056,41.2760048,19.5669403,108.7808838,64.9411469,61.6616859,63.9607849,40.7337112,46.8188133,32.3197479,34.4809608,31.1573524,26.8454914,16.9325275,66.7288437,78.9434357,43.3057327,3319.35376,3317.779053,47.5290909,34.5235558,24.7212486,27.3082981,23.3824863,23.1931629,23.2030354,21.748085,20.9627151,20.5010643,20.4639683,20.2572479,19.6205883,19.8434219,19.890007,20.2530098,20.5700817,20.7753639,0,10
23,18.1648711,25.0478714,25.0618761,17.9085442,12.4596556,8.103375,8.7593963,12.1675886,15.3768936,9.9635808,7.1792886,4.9118309,-661.1752922,322.6358337,221.4988708,165.8537292,93.6846008,91.3876877,72.1243973,61.5034943,53.543438,48.2244682,45.6191521,46.1004181,40.1817551,19.5642357,117.2582855,68.7112732,67.6902618,74.2295685,42.9984474,53.0230713,33.6302605,36.7513123,33.1483154,27.2181549,17.0424652,72.9452057,92.1434021,45.0630798,3319.354492,3317.780029,56.987915,40.0248909,24.8849068,28.5035954,23.4475574,23.1866798,23.1886063,21.7431087,20.9607716,20.4550838,20.3504467,20.2534084,19.5897694,19.8342571,19.8998375,20.274229,20.6004009,20.7108154,0,10
24,13.7498794,15.7564124,13.7064487,9.0321187,8.4404584,6.7375181,6.7233229,7.2678886,6.8593154,4.6798776,4.4976899,3.6717499,-661.1752922,333.765686,230.5142212,163.3246155,93.6104202,90.2913895,76.0798721,61.053318,54.2050781,51.9111366,47.0585213,50.0197487,41.1949883,19.5556927,122.2718887,71.5085678,69.4783401,78.00737,45.0506172,54.932785,35.2025642,38.4737816,34.5052338,27.7462482,17.1594772,75.2135391,94.4859695,46.3834152,3319.356445,3317.781738,63.1465759,44.4709206,25.1160583,29.6601448,23.5060444,23.2080688,23.1906853,21.7440548,20.9715786,20.473114,20.3707485,20.2672558,19.5998344,19.8371029,19.8757095,20.2353001,20.6077995,20.6654701,0,10
25,11.1369058,11.7406125,10.0687946,6.5390036,5.7586136,4.5162019,6.310561,6.1912635,5.0320042,3.6444796,3.0083637,2.5146584,-661.1752922,369.0862122,270.2614441,196.0582428,108.8263092,99.5259628,85.1389542,65.0367889,53.1254959,52.5827446,48.0091934,52.7059441,43.0363235,19.5723667,119.9444733,73.2757416,70.0614471,74.6027145,45.5556374,53.5063477,35.2773972,38.0028458,34.6430321,28.1969967,17.1659203,74.4935226,88.1067963,47.205822,3319.354492,3317.779785,59.593483,44.1674576,25.4886436,29.7899494,23.5434952,23.2508259,23.1774101,21.7372017,20.9753456,20.4913101,20.3969097,20.2691288,19.6655273,19.8332787,19.8958187,20.2265396,20.6047382,20.7041473,0,10
26,9.1189963,10.7618952,10.1233724,7.6260398,5.8971406,4.0531405,5.7172631,6.1323893,5.631939,4.1435161,2.6919516,2.0348114,-661.1752922,426.0926208,311.0549011,236.09552,127.7850189,115.5777283,102.6251144,84.7571869,62.3335419,57.6767845,52.6300163,55.8402672,44.59132,19.5609932,118.3488998,74.4967041,70.221817,72.3302307,46.1554527,51.9261932,35.3047333,37.6377869,34.1984215,28.515377,17.2047462,74.0862503,85.070076,47.7381706,3319.351074,3317.776611,54.3719063,42.2552643,25.7516022,29.8223228,23.5397243,23.25387,23.1819668,21.7413902,20.9840832,20.4704456,20.4155216,20.2979851,19.7305012,19.8116417,19.8707619,20.2671928,20.6317043,20.8589573,0,10
27,11.2326469,11.9083772,10.3109359,6.9285631,5.3341998,3.7187578,7.0637191,7.2608518,5.7313857,4.2489139,2.3898259,2.0179914,-661.1752922,460.2401733,343.6800537,245.9189301,130.013916,124.7322311,105.9945068,90.5561981,70.8042603,62.8931427,57.4338608,57.969017,46.556427,19.5668468,116.6976166,75.3957672,69.8318863,71.0384674,46.6617126,52.2820244,35.6091309,37.542366,33.9179192,28.6530247,17.2049046,73.9723892,82.5640488,48.1245689,3319.350342,3317.775879,50.7635193,41.1611481,25.9625187,29.8484421,23.5402622,23.269928,23.1946163,21.7400303,21.0073757,20.4736423,20.4316196,20.3205338,19.7967529,19.807621,19.8720608,20.2825413,20.6626072,20.9164009,0,10
28,14.9442733,18.5924479,17.06614,11.8706181,6.5992709,4.6697983,8.9343852,10.9014399,9.2816787,9.0122051,5.5410128,3.312182,-661.1752922,455.4677734,374.1564636,255.7823944,124.8663788,122.207962,102.392067,84.3132095,69.6412964,64.1549911,58.9703903,59.5073547,48.0283089,19.5600128,118.6506958,76.6148529,70.3691254,71.9764175,47.3347397,54.1329994,36.1631279,38.1455765,33.5820885,28.8624287,17.1200504,76.1341782,85.0265274,49.1861,3319.350342,3317.775879,55.1162796,40.8520393,26.1373692,29.8823051,23.5429115,23.2615986,23.1870461,21.7430649,21.0115471,20.4626331,20.4707088,20.3364716,19.8533478,19.8509293,19.8302689,20.2430439,20.6812077,20.9046402,0,10
29,14.6070466,16.5246127,13.8089936,10.6235697,7.1255558,4.800219,8.5808774,9.2614043,7.4983128,6.3223408,5.0533342,3.8616101,-661.1752922,484.0488586,413.7146606,311.5090027,139.8568878,131.6675415,110.8820496,87.6197357,70.6888733,66.4202881,58.4953995,57.8350677,47.8555183,19.5681267,120.7673721,78.2896729,71.4384766,73.1843872,47.9623909,54.6502419,36.9729958,39.7928123,34.5425987,29.1630383,17.0764294,79.0280304,88.8763275,50.4880295,3319.353272,3317.778565,61.4074821,44.3642464,26.4029369,31.1380196,23.5426731,23.246973,23.1943779,21.733345,21.0230675,20.4418907,20.508419,20.3593807,19.8648815,19.8753815,19.8262291,20.2541981,20.6619873,20.7940025,0,10
