Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
20,7.3226658,7.971589,6.1748551,4.151909,3.4198477,2.3267714,6.0087431,6.6289504,5.3583387,3.9953672,2.6803704,2.0217996,-661.1752922,565.0463867,462.1834412,374.3948059,185.0883179,162.3152008,129.8347015,97.4330444,75.5810013,63.8261261,55.1610222,49.3101807,42.7399139,52.2672539,50.9296074,37.09758,37.4386139,39.1065063,32.1166916,34.7183571,28.0470409,30.2116356,28.749094,24.9556465,16.026207,46.9888268,52.8183708,34.2979393,3320.46167,3318.894775,41.7866554,33.4491959,23.1593857,26.6651535,19.3857479,19.179287,20.3706169,19.9843006,19.8796749,20.806839,19.7082996,19.4819679,19.1500626,19.1317501,19.1113548,21.0829391,20.6522884,19.9857273,0,10
21,7.2463573,7.4666714,6.8938994,6.9213642,4.9869254,3.2029072,6.0516078,6.8100298,6.8477594,5.8744411,3.5365343,2.4065183,-661.1752922,588.6075439,499.606781,375.4869995,183.7457123,163.1722107,133.7039948,99.7217484,75.0968018,64.143486,55.7910995,50.379406,42.1256485,53.9590836,52.5047302,37.9380531,39.2922134,41.3551407,32.8426208,36.5023918,28.5071697,30.7037296,28.981905,25.0971031,16.0773468,48.1638565,57.5570946,35.352459,3320.461426,3318.894531,44.4241333,35.3873062,23.3434982,26.8180962,19.3277245,19.1759739,20.3714828,19.9342728,19.8361225,20.7386303,19.6962566,19.4740982,19.1140652,19.1637859,19.1327477,21.0424385,20.6580906,20.0534077,0,10
22,7.832653,8.8415303,8.4311507,5.7229085,4.224806,2.7265916,6.1542309,9.004797,6.2330133,5.3675121,3.458171,2.4874449,-661.1752922,604.4956055,499.5045166,407.721405,194.325531,169.8536224,140.1258087,95.4822769,73.4380646,62.5347328,57.0739059,55.3910713,45.7645149,55.1137619,53.8217049,38.9150505,40.4975204,42.1249313,33.3061371,36.4529419,28.9657669,30.8881207,29.0243549,25.2598801,16.109623,49.0380249,57.46492,36.3276138,3320.462402,3318.895752,44.488636,35.1562462,23.5364628,27.1228561,19.3112946,19.1994362,20.385807,19.9417744,19.8348923,20.5867081,19.6729984,19.4591942,19.0333977,19.2062626,19.1060448,21.0495548,20.6822872,20.1049442,0,10
23,7.6399859,8.6924362,8.7636915,6.9454151,5.3027699,3.5683424,6.1393544,8.112066,6.8091852,6.2424291,4.2631916,2.7356197,-661.1752922,610.1055908,491.8452759,415.0650024,195.5428619,166.9107971,132.3688507,89.1115799,71.3851776,62.8065948,57.9776306,55.636013,47.0309677,56.713398,56.0387421,40.0501938,41.8841896,44.0326996,34.1991043,38.2068634,29.502615,32.1625519,29.7350121,25.3963547,16.1428318,50.6083412,60.0617828,37.8100243,3320.460449,3318.893555,47.4693336,35.9964828,23.7113991,27.1372662,19.3645611,19.2147102,20.3866425,19.9483089,19.8349667,20.6167736,19.7030754,19.4699039,18.9772224,19.2321854,19.1490784,21.0534267,20.6998253,20.1456394,0,10
24,7.7994754,8.6937891,7.6017207,6.3982976,4.6478212,3.0542337,6.2971973,7.8294225,5.7992567,4.4636558,3.3279035,2.5932842,-661.1752922,619.5199585,490.8909607,390.6001587,186.0334015,162.2984924,127.9666443,82.3333588,68.9487915,60.4264946,55.5437126,51.8956833,45.3557434,57.8517227,57.272522,41.1598816,43.0664177,44.5924911,34.7815399,38.280735,29.9153118,33.1729317,30.933733,25.6664066,16.1237373,51.6041031,59.9016724,38.6580429,3320.460205,3318.893555,46.024498,36.1453056,23.9701805,27.5430431,19.4089603,19.2161789,20.3771038,19.94104,19.8003654,20.664547,19.7451725,19.4899788,18.9954147,19.2211113,19.1775341,21.081461,20.7069855,20.1949348,0,10
25,7.0574819,8.797695,7.4527461,5.4884529,4.6024062,3.2310816,5.6189265,6.3955642,5.4721083,4.4983499,3.0534205,2.6576287,-661.1752922,639.8485718,541.9835815,401.4613647,187.0352478,158.5678864,127.0215912,82.4102631,69.2710724,60.2021751,54.4676476,50.4594727,43.9913788,59.1798401,58.4749184,42.2699089,44.0567551,46.0593262,35.597847,39.6032104,30.5488281,34.795948,31.9237614,26.050703,16.0413303,52.5950737,61.9100685,39.2148476,3320.46167,3318.894775,47.933857,37.2726822,24.219347,28.1890297,19.4361649,19.231987,20.3841648,19.9302559,19.8362865,20.6602211,19.77882,19.5038795,19.0503769,19.2266636,19.2020931,21.0437393,20.7186012,20.2604523,0,10
26,5.8145066,6.484436,5.7227043,4.2320787,3.6095311,3.0132595,4.7086819,4.7351222,4.0308648,3.1696139,2.9065843,2.2656902,-661.1752922,642.8859863,531.0629883,420.4677124,195.4006042,162.8611755,130.3653564,83.980423,70.9045792,60.3733368,55.3315926,50.0931969,43.8238449,59.6993599,58.8381844,43.1195183,44.255188,45.8971863,36.5437851,40.2000198,31.155798,35.5394516,33.0757866,26.5961571,16.0116119,52.4562531,58.8025818,39.7360954,3320.460693,3318.893799,47.9442139,38.399044,24.4591389,28.7417278,19.4528675,19.2315941,20.3936386,19.915432,19.8746147,20.6848812,19.8255119,19.5220966,19.1092739,19.2274113,19.1864967,21.0699139,20.7345314,20.2828331,0,10
27,5.6346365,6.3153185,6.0237282,4.8209172,3.8131997,3.2151767,4.6408548,4.8542781,4.1773492,3.6217886,2.84293,2.0475057,-661.1752922,645.7220459,511.3468018,400.6735535,196.831131,168.3610077,135.4893036,90.3658447,73.4705582,63.906517,56.2850456,51.4804344,43.8327484,59.7820702,59.0902672,44.0101471,44.2745018,44.7249146,36.8177986,40.5249443,31.6399975,35.4111328,33.2205353,27.0674057,16.0607319,52.4998093,57.0739174,40.0290489,3320.459961,3318.893555,47.2768936,37.5816307,24.676569,28.9341793,19.4551373,19.227787,20.3978043,19.8675652,19.8852386,20.7072678,19.8600559,19.5448704,19.1848927,19.1935749,19.1990337,21.0516891,20.7516022,20.2391758,0,10
28,6.793009,7.4298713,6.6657486,5.1126369,4.2329763,2.8629956,5.4860459,5.66937,4.7318739,3.83094,2.6984608,2.1991241,-661.1752922,658.2474976,549.8868408,379.9375916,187.2930298,164.3509216,136.7667084,97.2234879,76.4457016,65.69487,57.3886032,52.1334534,43.9749603,60.4160881,59.7510338,44.7025452,44.4286537,44.9669724,37.0692749,40.7063179,31.9136925,35.0679665,33.1661072,27.43433,16.0854301,52.7422905,56.426075,40.2581711,3320.459961,3318.893555,47.0141983,36.8252525,24.8840847,28.8678417,19.4284897,19.2353287,20.4049568,19.8462391,19.9045429,20.7186012,19.9070835,19.5505142,19.1969986,19.1900997,19.2145634,21.0391102,20.7587585,20.2402611,0,10
29,7.7480502,9.0101068,8.7782968,6.7585705,4.8424363,3.5595568,5.9799986,6.4230077,6.4496474,5.4589336,3.7318932,2.4111993,-661.1752922,635.3774414,531.8878784,389.7481079,190.9367523,159.1087799,129.8698425,91.7550964,75.3469696,62.7383499,54.8190842,49.9218636,44.3437805,61.8127518,61.4100609,45.6522331,45.8138008,46.5759926,37.619648,42.1125298,32.5428391,35.6475372,33.1350327,27.6647587,16.0192165,53.7253876,58.1358032,40.8467903,3320.459473,3318.893066,47.0927849,37.7119942,25.0686092,28.9707069,19.3951111,19.2441216,20.4319496,19.8876934,19.9216785,20.7281399,19.9283981,19.5710697,19.17729,19.2342415,19.2465439,21.0752163,20.7717133,20.0812588,0,10
