Time (s),Mass_Loss_1,Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
280,,,,,0.34827
281,,,,,0.3482123
282,,,,,0.3443354
283,,,,,0.3432508
284,,,,,0.3440701
285,,,,,0.34512
286,,,,,0.3476123
287,,,,,0.3479007
288,,,,,0.3477277
289,,,,,0.34797
290,,,,,0.3479931
291,,,,,0.3476584
292,,,,,0.3441047
293,,,,,0.3466662
294,,,,,0.3471161
295,,,,,0.3468969
296,,,,,0.3471969
297,,,,,0.3471969
298,,,,,0.3471508
299,,,,,0.34692
300,,,,,0.3471508
301,,,,,0.3466085
302,,,,,0.3470469
303,,,,,0.3472661
304,,,,,0.3473584
305,,,,,0.3473584
306,,,,,0.3475084
307,,,,,0.3474046
308,,,,,0.3471738
309,,,,,0.34677
310,,,,,0.3470469
311,,,,,0.3470585
312,,,,,0.3450277
313,,,,,0.3477969
314,,,,,0.3476584
315,,,,,0.3458931
316,,,,,0.3479469
317,,,,,0.3482815
318,,,,,0.348293
319,,,,,0.3480854
320,,,,,0.3481084
321,,,,,0.3482123
322,,,,,0.3437124
323,,,,,0.3430201
324,,,,,0.3430085
325,,,,,0.34692
326,,,,,0.3470815
327,,,,,0.34737
328,,,,,0.3474508
329,,,,,0.3472546
330,,,,,0.34752
331,,,,,0.34752
332,,,,,0.3472546
333,,,,,0.3477046
334,,,,,0.3471854
335,,,,,0.3476123
336,,,,,0.3474738
337,,,,,0.3468738
338,,,,,0.34722
339,,,,,0.3476931
340,,,,,0.3474392
341,,,,,0.3474046
342,,,,,0.3479354
343,,,,,0.3474623
344,,,,,0.3471738
345,,,,,0.3477161
346,,,,,0.3474623
347,,,,,0.3472085
348,,,,,0.3488815
349,,,,,0.3496315
350,,,,,0.3494238
351,,,,,0.34812
352,,,,,0.3464008
353,,,,,0.3466546
354,,,,,0.3469431
355,,,,,0.3457431
356,,,,,0.3434239
357,,,,,0.3471508
358,,,,,0.348293
359,,,,,0.34827
360,,,,,0.3483046
361,,,,,0.3479007
362,,,,,0.34827
363,,,,,0.3482123
364,,,,,0.34797
365,,,,,0.3479584
366,,,,,0.348143
367,,,,,0.34797
368,,,,,0.3481315
369,,,,,0.3480046
370,,,,,0.3467931
371,,,,,0.3467931
372,,,,,0.3478546
373,,,,,0.3485238
374,,,,,0.3470931
375,,,,,0.3465392
376,,,,,0.3469546
377,,,,,0.3465738
378,,,,,0.3467815
379,,,,,0.3470469
380,,,,,0.34707
381,,,,,0.34797
382,,,,,0.3477623
383,,,,,0.34752
384,,,,,0.3484661
385,,,,,0.3495392
386,,,,,0.3466777
387,,,,,0.3471277
388,,,,,0.3470238
389,,,,,0.3467123
390,,,,,0.3469661
391,,,,,0.3467469
392,,,,,0.3469085
393,,,,,0.3469431
394,,,,,0.3466662
