Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
123,2.785038582,3.181965955,3.198111084,4.435771914,3.204512697,3.089573648,2.2946788,4.6564546,2.6315328,2.9085804
124,2.834229924,3.101965825,2.680254285,3.669653022,3.311655483,3.502907653,2.3932213,4.0608197,2.5076992,2.8855692
125,3.137464224,3.155612971,2.8975722,3.336632873,2.811655815,3.833261131,2.297763,3.5941293,2.4765995,2.8763264
126,2.730456408,3.304162232,2.639486118,3.190436557,2.729445627,3.952633874,2.2707242,3.6078498,2.4597388,2.9189726
127,2.938677294,3.450829137,2.657006322,2.628239565,2.549526609,3.39451532,2.410082,3.8537902,2.5809507,3.1255472
128,3.876008208,4.050673249,2.801884932,2.690514176,2.518866252,3.152632574,2.4378918,3.9264876,2.5800768,3.0392969
129,3.093326787,3.415691825,3.034701489,2.816004576,2.647572366,3.365025076,2.5395187,3.7460371,2.434859,3.1612973
130,3.228097587,3.383221184,3.910374762,3.578829345,2.562666762,3.482672326,2.4871374,3.7962261,2.329274,3.1192496
131,3.138811932,3.351691721,3.46697883,3.47765271,2.498313705,3.610829397,2.5308827,3.6152249,2.3957401,2.8932795
132,2.814688158,2.898043925,3.227086806,3.354201529,2.655321687,3.617888232,2.5227094,3.5791875,2.3362136,2.7039933
133,3.270213462,3.136789411,2.92115709,3.545417526,2.394877116,3.255064113,2.4600986,3.3427055,2.3350827,2.701527
134,2.796831027,3.130044302,2.846022369,3.660398105,2.4595671,3.182279681,2.5175689,2.8070052,2.247438,2.5961684
135,2.96158833,3.005338217,2.649930855,3.172240449,2.410712685,3.064004979,2.557356,2.7195098,2.3699864,2.9247195
136,2.601413367,2.843455601,2.790092487,3.175691435,2.455860903,2.936632223,2.5715951,2.8652158,2.5584869,3.5029223
137,2.315699271,2.552317873,2.99191176,3.045024556,2.456534757,2.824788904,2.3190445,2.7562416,2.2451248,3.3064765
138,2.4258744,2.492082481,3.135105735,2.879220365,2.390497065,2.756553499,2.3833516,2.7152236,2.4757256,3.3821431
