Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
20,637.7762327,632.2932235,513.199402,399.3920091,354.5027244,270.4404707,191.9933712,145.8235703,122.3719636,98.2535359,94.3733628,84.120302,89.8244857,80.2282875,93.6263047,87.2509549,68.747277,63.9856732,57.4469609,58.527106,52.0202162,51.0748637,46.0512751,41.1826187,422.6643441,406.2860769,383.0035374,271.1589212,191.1899278,216.5995126,190.2615209,135.2773794,137.7130616,121.5430174,98.491381,84.9668289,394.4305426,406.5655573,348.8016364,285.9676665,276.1846133,226.2853496,214.2521233,179.322502,158.0432743,131.4751493,111.6817187,94.5455193,97.2927253,110.7208273,103.7964403,114.2125102,93.0849848,84.1365133,73.5272079,59.7287078,54.3111761,45.2308658,42.0528737,39.8131282,2.242923039,2.822279096,0.3188838,0.0409729
21,637.371867,643.6565113,533.27028,419.6479406,373.9960627,288.4807202,203.4966977,150.2184303,121.9484112,100.0482586,96.0827703,86.1142482,92.0759564,82.1938539,101.0515321,96.7494565,70.1776021,64.0847101,57.9888025,57.229041,52.5649777,50.1156724,44.1810973,40.1554205,434.2854028,412.2033432,392.1398081,282.6499075,201.785919,226.4240616,202.300765,142.9875353,147.9896982,129.0669643,106.5483219,89.2411745,401.0111193,420.0777834,355.5424342,290.6214449,286.6760601,242.6182958,231.3959653,190.9403797,168.0291309,137.555232,114.9131593,98.5168869,100.2135471,113.0943571,105.8648159,113.1101334,92.4631249,82.9700033,72.1265487,59.6682133,54.602277,44.7901019,43.1360434,39.4778743,2.441709969,3.037338269,0.3190684,0.0407883
22,637.123159,649.2810083,553.9116038,446.2216203,396.1976499,306.5885852,219.3607302,162.7818277,128.6720366,105.9788332,105.6398314,95.2276097,93.7097679,84.0974694,99.4145804,94.1946254,70.6652867,65.6764119,59.7876237,59.7638856,54.5373294,54.123293,45.6188496,42.0044176,451.3938469,432.7040966,403.7506535,286.1559536,204.9467561,226.420098,199.1847257,144.316892,143.6248218,127.7498703,110.0926999,94.0862315,370.3232534,400.6396195,347.7508328,290.0619264,283.6058047,240.5645622,236.1189115,200.3566175,176.1481981,144.8652158,119.3303394,102.493263,101.8242005,114.8763583,107.2971838,112.8116399,92.7034371,82.5490146,70.923604,58.6253474,54.4108117,45.5035745,46.151069,40.2522647,2.213947317,2.871847804,0.3173718,0.0424849
23,643.9861413,655.0945386,567.1196747,465.5436941,410.7975095,322.8456932,235.2572603,171.3228092,135.7939832,112.0887213,108.2019655,95.6429424,95.7444474,86.2006049,102.6072325,94.102234,72.0231858,66.1351393,59.3278456,58.6521632,52.3256923,54.7251345,46.4389877,45.2963557,458.2350405,460.8316489,432.2588038,303.1140415,221.8162334,241.6703054,210.1495214,150.0846648,150.5761911,131.2107475,108.9947975,96.695979,348.0216893,381.768279,340.0559664,283.9388713,270.2486566,228.9723641,223.4012245,193.9579759,170.9368037,144.9204416,120.3931992,105.8623219,103.5255504,116.9727746,109.5510062,112.7844513,94.1203856,82.6252379,71.4688225,58.9976289,55.961662,45.7566638,46.1474193,40.3687777,2.139149523,2.682200437,0.3155136,0.0443431
24,652.2557042,662.4071331,566.4469672,463.1245311,415.3078127,326.736478,237.8084434,177.5521075,143.406612,119.2611745,110.621089,96.2028981,97.0335332,87.8493327,107.9714202,95.5892811,73.3990715,65.6468087,57.8365948,56.6118043,51.0036688,54.5549891,46.5927484,46.3878582,460.4973008,455.9380004,440.2664486,314.0915545,232.5512921,251.3392199,219.1280292,157.5966039,159.5115227,138.9255522,114.6304296,104.5935339,340.7006164,389.0305679,349.0934995,289.7707855,274.0483953,226.8813536,219.1344431,191.5248348,168.6618948,142.193811,120.1169028,105.4662823,105.7432687,119.1260653,111.0848748,115.7338366,98.7683137,86.8258516,75.8705453,62.3485034,57.2778539,47.6390198,45.9242501,40.6778312,2.248313871,2.703690668,0.3128705,0.0469862
25,661.8851068,670.4788823,572.5982238,470.785377,417.1978298,324.4814303,241.3448649,177.9784771,142.7213271,117.9054891,108.744772,93.1913616,101.2197515,91.4081437,111.8914917,102.2254308,89.5393365,78.3154758,65.3285209,61.7266916,53.9855349,56.2367286,46.5979023,46.7104871,483.1291352,459.9226894,455.9179396,329.9263921,236.3527007,253.9580144,222.7451839,156.6072281,153.6171078,134.3445063,112.3268055,103.9907949,331.9014648,388.7580657,351.2347071,297.1319303,284.7216795,237.0608551,234.0444317,198.9693137,176.8931819,147.7597462,123.62465,109.0666624,109.3295403,122.2849194,114.3978112,122.4768616,109.8876634,93.7097402,78.6731431,64.6668984,57.9722687,48.3502688,45.6495581,41.1580659,2.491912092,2.927691032,0.310089,0.0497677
26,676.0498786,672.3061807,585.9367074,499.1597299,439.519302,346.0848295,263.813996,195.0222204,151.3090399,120.4847281,114.4593246,100.5225312,105.3763937,95.0010331,115.2289921,103.1079293,90.6198854,87.7225332,72.2217183,67.0221102,59.440948,58.2757322,51.3784313,50.0234553,471.7902089,455.9555809,453.3757209,324.1710809,237.0000292,248.0035441,217.6777366,156.0350456,158.4980382,137.9014474,119.1909064,111.9377016,323.3634579,377.9690572,343.7297367,295.8339743,288.8811014,246.3220873,247.9762833,207.1988061,185.8798903,154.1832637,130.5621377,115.1574409,111.6375606,125.113067,118.7601903,125.0966121,113.7745708,97.1054784,81.2079655,66.7573083,60.9108032,50.4385188,47.6034626,42.3893998,2.521898595,3.097887387,0.3084847,0.051372
27,681.9540126,689.5294067,597.4674666,507.7770691,447.8400109,356.599902,273.6858264,203.2958624,158.1550876,125.3696826,118.3629587,103.5609716,107.9164287,96.8555248,116.4230208,105.6840153,90.0030113,85.6264693,73.951299,68.5258173,62.6012307,57.8783228,50.7343189,49.1423541,438.3099624,429.9251666,437.0808462,316.8767995,242.0373644,255.824724,214.4724467,150.5172152,152.7423751,139.9865257,122.9074525,115.9274364,336.1506156,384.3122875,345.5524134,302.1819803,299.954932,258.6547325,263.1997636,219.3633785,202.4478562,169.1562214,144.2216463,126.8417948,114.0452319,131.539668,130.5979425,131.9459608,115.8734515,100.6762198,85.6170682,68.1498042,62.7816601,52.2590458,53.5519251,47.6923122,2.305254534,2.818357521,0.3057378,0.0541189
28,691.9124298,700.2740507,618.2592664,542.8878819,479.4501159,388.4206812,298.5235521,220.5363582,168.38461,134.2799455,123.1927976,105.6177912,113.6590388,99.4264268,126.7717111,122.3897921,91.7109868,85.8148678,73.5312408,68.3812747,68.0863149,63.7396982,53.2379163,52.3522205,409.5118446,403.5700551,413.4250158,304.6693491,252.0416234,267.6125392,225.2154918,148.7515798,149.4615868,139.6935339,121.4785289,115.4392169,349.4790879,380.7703116,343.8032342,301.8199002,296.3623944,257.4263631,264.596445,219.1883485,204.9798786,176.6702002,150.2006257,133.2748443,116.0074678,141.3539182,148.807374,150.0524849,144.6130664,124.7742477,97.9220809,79.4172361,68.0363017,57.1851638,58.0715543,52.6108952,2.609499615,2.61804347,0.3044567,0.0554
29,697.7144857,717.8642335,635.7658092,557.8019659,496.014203,404.5812142,319.028815,239.5409795,186.1975375,146.3251466,139.0347999,116.6487126,118.2367099,101.9061577,126.3597535,125.5846369,100.2149448,86.1013296,74.4021137,67.8229608,64.5924118,63.5048995,53.2861972,53.3455194,392.9081095,388.2979656,405.2204323,303.2402625,255.5658983,269.2351044,230.8713495,155.7638995,160.0096535,143.0945181,119.4497109,114.18319,372.1557096,410.1210539,364.6312617,310.9075507,297.3071347,258.4780425,271.4347323,230.191557,216.434215,184.3273062,157.7359719,136.9688673,117.8569221,141.3850657,152.5899337,154.059177,158.5551123,136.3059851,110.3335098,89.6908434,75.7853631,62.8665986,62.3051866,59.1287601,2.430928305,2.633259181,0.3034294,0.0564273
