Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod4,5,TC_S_6,TC,,,,,1,0,
SC1Mod4,6,TC_S_7,TC,,,,,1,0,TC Ignition 1
SC1Mod4,7,TC_S_8,TC,,,,,1,0,TC Ignition 2
SC1Mod4,8,TC_Ignition,TC,,,,,1,0,TC Ignition 3
SC1Mod4,9,HF_1_V,Voltage,,,0.30 m AF,65285,1563.72,0,HF A1 V
SC1Mod4,10,HF_1_H,Voltage,,,0.30 m AF,65287,1568.63,0,HF A1 H
SC1Mod4,11,HF_2_V,Voltage,,,,,1,0,
SC1Mod4,12,HF_2_H,Voltage,,,,,1,0,
SC1Mod4,13,HF_3_V,Voltage,,,,,1,0,
SC1Mod4,14,HF_3_H,Voltage,,,,,1,0,
SC1Mod4,15,Voltage_1,Voltage,,,,,1,0,
SC1Mod4,16,Voltage_2,Voltage,,,,,1,0,
SC1Mod4,17,P_S_1,Voltage,,,,,99.52,-248.8,P A1 1
SC1Mod4,18,P_S_2,Voltage,,,,,99.52,-248.8,P A1 2
SC1Mod4,19,P_S_3,Voltage,,,,,99.52,-248.8,P A1 3
SC1Mod4,20,P_S_4,Voltage,,,,,99.52,-248.8,P A3 1
SC1Mod4,21,P_S_5,Voltage,,,,,99.52,-248.8,P A3 2
SC1Mod4,22,P_S_6,Voltage,,,,,99.52,-248.8,P A3 3
SC1Mod4,23,P_S_7,Voltage,,,,,99.52,-248.8,P A4 1
SC1Mod4,24,P_S_8,Voltage,,,,,99.52,-248.8,P A4 2
SC1Mod4,25,P_S_9,Voltage,,,,,99.52,-248.8,P A4 3
SC1Mod4,26,O2_A,Voltage,,,,,20,0,O2 A
SC1Mod4,27,CO_A,Voltage,,,,,1,0,CO A
SC1Mod4,28,CO2_A,Voltage,,,,,2,0,CO2 A
SC1Mod4,29,O2_B,Voltage,,,,,20,0,O2 B
SC1Mod4,30,CO_B,Voltage,,,,,1,0,CO B
SC1Mod4,31,CO2_B,Voltage,,,,,2,0,CO2 B
