s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 2.1002460E+001, 6.6585804E+002, 8.1506233E+002, 8.7619495E+002, 8.3868780E+002, 7.4976599E+002, 6.8493962E+002, 5.8823443E+002, 5.2410248E+002, 4.4559454E+002, 4.0887265E+002, 3.5239728E+002, 3.1350880E+002, 6.2558077E+002, 7.5016708E+002, 8.1345252E+002, 8.1209326E+002, 7.2441900E+002, 6.4908824E+002, 5.4798348E+002, 4.9574698E+002, 4.3453493E+002, 3.8798438E+002, 3.1873566E+002, 2.8082407E+002,-5.6843419E-017, 1.4218434E+000
 2.2003736E+001, 5.8963564E+002, 8.1942785E+002, 8.4187096E+002, 8.4843847E+002, 8.6875293E+002, 7.7227062E+002, 5.8446994E+002, 4.9769396E+002, 4.0451469E+002, 3.7718301E+002, 3.3918954E+002, 3.0390948E+002, 5.9577208E+002, 7.4628669E+002, 8.1299369E+002, 8.1506182E+002, 7.5311586E+002, 6.6887682E+002, 5.5475227E+002, 4.9868459E+002, 4.3499419E+002, 3.9826727E+002, 3.3392703E+002, 2.9127236E+002,-5.6843419E-017, 1.3945865E+000
 2.3000276E+001, 6.4138820E+002, 8.2967198E+002, 8.8350905E+002, 8.4995739E+002, 7.8502447E+002, 7.1721533E+002, 6.1727524E+002, 5.4958487E+002, 5.1164404E+002, 4.5977202E+002, 3.3118224E+002, 2.5857111E+002, 5.9843723E+002, 7.4260371E+002, 8.0329757E+002, 8.1471112E+002, 7.9905071E+002, 7.4352264E+002, 6.2822102E+002, 5.5705339E+002, 4.7452088E+002, 4.2123256E+002, 3.3819940E+002, 2.9200515E+002,-5.6843419E-017, 1.4776229E+000
 2.4001598E+001, 9.2742051E+002, 1.0324076E+003, 8.9738913E+002, 8.3122940E+002, 7.0261740E+002, 6.2136243E+002, 5.2082177E+002, 4.7930940E+002, 4.3873428E+002, 3.9125899E+002, 3.0450131E+002, 2.6401131E+002, 6.7037747E+002, 7.9980480E+002, 8.1534675E+002, 8.0662696E+002, 7.7356123E+002, 7.2564481E+002, 6.2258344E+002, 5.5927770E+002, 4.9027535E+002, 4.3840215E+002, 3.4274308E+002, 2.8958216E+002,-5.6843419E-017, 1.5100251E+000
 2.5000507E+001, 6.5751774E+002, 9.3258064E+002, 9.5508440E+002, 8.5931169E+002, 4.7413878E+002, 3.6998732E+002, 3.1339514E+002, 3.0494673E+002, 2.8107464E+002, 2.3945170E+002, 1.7661769E+002, 1.5956821E+002, 6.7403050E+002, 8.1231446E+002, 8.1546433E+002, 7.7601234E+002, 6.5635252E+002, 5.9837480E+002, 5.2558838E+002, 4.8352135E+002, 4.2962722E+002, 3.7917686E+002, 2.9626789E+002, 2.5652279E+002,-5.6843419E-017, 1.5441365E+000
 2.6001050E+001, 7.0313037E+002, 8.1796314E+002, 8.8666284E+002, 8.5097951E+002, 7.6626967E+002, 7.3267976E+002, 6.6114533E+002, 5.5884966E+002, 4.6873519E+002, 4.3870421E+002, 3.8999882E+002, 3.5666645E+002, 6.5722574E+002, 7.9164519E+002, 8.3048154E+002, 8.0521064E+002, 6.8584053E+002, 6.2287664E+002, 5.3984860E+002, 4.8984104E+002, 4.2740266E+002, 3.8059672E+002, 3.0579316E+002, 2.6873167E+002,-5.6843419E-017, 1.4531235E+000
 2.7004089E+001, 7.3960803E+002, 7.9408616E+002, 8.7529226E+002, 8.6178293E+002, 7.4781519E+002, 6.8254968E+002, 6.1578326E+002, 5.4475865E+002, 4.1452562E+002, 3.5454788E+002, 3.0720142E+002, 2.7963140E+002, 6.8062417E+002, 7.5723744E+002, 8.0872850E+002, 7.9432089E+002, 7.0664343E+002, 6.6265425E+002, 5.8826752E+002, 5.1857044E+002, 4.3486442E+002, 3.8713880E+002, 3.2184222E+002, 2.8670800E+002,-5.6843419E-017, 1.4534521E+000
 2.8001932E+001, 7.5524605E+002, 8.8328874E+002, 8.3016737E+002, 8.1638783E+002, 8.3521340E+002, 8.1553102E+002, 6.7941591E+002, 5.5304557E+002, 3.8718758E+002, 3.0338226E+002, 2.2882016E+002, 2.0700324E+002, 6.6880339E+002, 7.8169537E+002, 8.3378247E+002, 8.3255028E+002, 7.7562440E+002, 7.2553730E+002, 6.2314788E+002, 5.3675196E+002, 4.2360031E+002, 3.6609239E+002, 3.0202858E+002, 2.7468678E+002,-5.6843419E-017, 1.4835378E+000
 2.9003782E+001, 7.2012471E+002, 7.8199492E+002, 7.8300439E+002, 7.6912873E+002, 7.0117416E+002, 5.8679999E+002, 4.4850038E+002, 3.8636044E+002, 3.3151909E+002, 3.0294889E+002, 2.7332668E+002, 2.6061105E+002, 6.5774940E+002, 7.4896644E+002, 7.8827382E+002, 7.8362195E+002, 7.3971793E+002, 6.8769683E+002, 5.9157520E+002, 5.1325897E+002, 4.0543283E+002, 3.5033090E+002, 2.9016726E+002, 2.6290950E+002,-5.6843419E-017, 1.4583719E+000
 3.0003311E+001, 8.8652495E+002, 1.0228451E+003, 7.8788213E+002, 6.9261202E+002, 6.5849483E+002, 6.0257993E+002, 5.4940108E+002, 4.9096193E+002, 3.7758561E+002, 3.2568122E+002, 2.5977811E+002, 2.2916969E+002, 7.1947793E+002, 7.8217252E+002, 7.6255115E+002, 7.4344154E+002, 7.0954646E+002, 6.5452150E+002, 5.6384542E+002, 4.9586744E+002, 3.9352473E+002, 3.4114568E+002, 2.8493088E+002, 2.6065925E+002,-5.6843419E-017, 1.5071341E+000
