s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 2.1001466E+001, 6.1561726E+002, 9.0133801E+002, 9.0462658E+002, 7.9644466E+002, 6.9821465E+002, 6.2395842E+002, 4.9910871E+002, 4.3249158E+002, 3.7165828E+002, 3.2193107E+002, 2.5649450E+002, 2.3012747E+002, 5.9879071E+002, 7.4775871E+002, 8.0113130E+002, 7.5053037E+002, 6.5152852E+002, 5.8886764E+002, 4.9965158E+002, 4.5323039E+002, 3.9633195E+002, 3.4845374E+002, 2.9099247E+002, 2.5968167E+002,-5.6843419E-017, 1.6021340E+000
 2.2000827E+001, 7.1084792E+002, 8.7246903E+002, 9.3011998E+002, 9.3635903E+002, 8.5972422E+002, 7.6675889E+002, 6.6797549E+002, 5.8168532E+002, 4.3116876E+002, 3.6265824E+002, 3.0638971E+002, 2.8843842E+002, 6.2001150E+002, 7.8265026E+002, 8.2187392E+002, 7.9147582E+002, 7.1298657E+002, 6.4872403E+002, 5.5626699E+002, 4.9796999E+002, 4.1647034E+002, 3.6181830E+002, 3.0210475E+002, 2.7393654E+002,-5.6843419E-017, 1.5455185E+000
 2.3003047E+001, 5.5714552E+002, 7.9755041E+002, 9.4149529E+002, 9.9194330E+002, 8.6767462E+002, 7.0958863E+002, 5.3852884E+002, 4.3404117E+002, 3.4934847E+002, 3.1874160E+002, 2.8586442E+002, 2.5949799E+002, 6.0726441E+002, 7.5446122E+002, 8.1430032E+002, 8.2391289E+002, 7.6348772E+002, 6.9204076E+002, 5.9244566E+002, 5.1558471E+002, 4.1207281E+002, 3.5559809E+002, 2.9765373E+002, 2.7035513E+002,-5.6843419E-017, 1.5656897E+000
 2.4001609E+001, 6.3364475E+002, 9.3829009E+002, 9.3324250E+002, 8.9226546E+002, 7.9761791E+002, 7.5253666E+002, 6.5266696E+002, 5.8099639E+002, 5.0598260E+002, 4.5970080E+002, 3.8394876E+002, 3.3071083E+002, 6.0659657E+002, 7.9016236E+002, 8.5763473E+002, 8.7064154E+002, 8.1195999E+002, 7.4196567E+002, 6.3716225E+002, 5.6137839E+002, 4.5603011E+002, 3.9491068E+002, 3.2625006E+002, 2.9244223E+002,-5.6843419E-017, 1.5529936E+000
 2.5002398E+001, 7.1235009E+002, 8.3921855E+002, 9.1213833E+002, 9.0712627E+002, 8.2182601E+002, 7.0287261E+002, 5.6835673E+002, 4.9002234E+002, 3.8976038E+002, 3.4708762E+002, 2.6044592E+002, 2.1378710E+002, 5.9807214E+002, 7.6766432E+002, 8.2509004E+002, 8.3190558E+002, 7.8605444E+002, 7.2342175E+002, 6.1871362E+002, 5.4211677E+002, 4.4637958E+002, 3.9466078E+002, 3.1889355E+002, 2.7829456E+002,-5.6843419E-017, 1.7117168E+000
 2.6002959E+001, 6.8496380E+002, 9.0271972E+002, 9.0137980E+002, 8.1989794E+002, 6.4006903E+002, 5.4484313E+002, 4.3025974E+002, 3.6155926E+002, 3.2754200E+002, 2.9457241E+002, 2.3653316E+002, 1.8483015E+002, 6.3969209E+002, 7.7841144E+002, 8.1545789E+002, 7.9908887E+002, 7.2308738E+002, 6.5125634E+002, 5.5299120E+002, 4.8720630E+002, 4.1006759E+002, 3.6711907E+002, 2.9585703E+002, 2.5180743E+002,-5.6843419E-017, 1.4747974E+000
 2.7002843E+001, 7.4581895E+002, 8.3988480E+002, 8.0543569E+002, 8.3262432E+002, 7.9205606E+002, 6.2983130E+002, 4.5117388E+002, 3.7666540E+002, 2.8962705E+002, 2.6339441E+002, 2.4869640E+002, 2.4350257E+002, 6.6867273E+002, 7.8684291E+002, 8.0616947E+002, 7.8977954E+002, 7.2168713E+002, 6.4573491E+002, 5.4259695E+002, 4.6910919E+002, 3.9450075E+002, 3.5123305E+002, 2.8907976E+002, 2.4889581E+002,-5.6843419E-017, 1.6000341E+000
 2.8000235E+001, 7.3703150E+002, 8.2863290E+002, 8.4964745E+002, 7.9234988E+002, 6.9096410E+002, 6.4494776E+002, 5.4237396E+002, 4.8013730E+002, 4.3505424E+002, 4.0224002E+002, 3.3303477E+002, 2.8876397E+002, 6.6255155E+002, 7.7052003E+002, 7.9921492E+002, 7.9629847E+002, 7.4428070E+002, 6.6169535E+002, 5.4249796E+002, 4.6947177E+002, 3.9365439E+002, 3.4978699E+002, 2.9097744E+002, 2.5723136E+002,-5.6843419E-017, 1.6796034E+000
 2.9001102E+001, 8.8335764E+002, 1.0031821E+003, 9.5702446E+002, 9.3368895E+002, 9.0251065E+002, 8.4687462E+002, 7.5059609E+002, 6.8205654E+002, 5.7255079E+002, 5.0922265E+002, 4.3668663E+002, 3.8993303E+002, 7.0428759E+002, 7.8575343E+002, 8.0175764E+002, 7.9684574E+002, 7.6073367E+002, 7.0917525E+002, 6.0944955E+002, 5.3774260E+002, 4.5036202E+002, 3.9852356E+002, 3.2732345E+002, 2.8788653E+002,-5.6843419E-017, 1.5308714E+000
 3.0002084E+001, 6.8269550E+002, 8.5584860E+002, 9.1735538E+002, 9.0862231E+002, 8.2654509E+002, 6.8201035E+002, 4.8007806E+002, 3.9367656E+002, 2.9326850E+002, 2.6901295E+002, 2.4989907E+002, 2.3932140E+002, 6.9246579E+002, 8.0870381E+002, 8.4344401E+002, 8.4314560E+002, 7.9587201E+002, 7.2442662E+002, 6.2016827E+002, 5.5434198E+002, 4.6595229E+002, 4.2286059E+002, 3.5967135E+002, 3.1711361E+002,-5.6843419E-017, 1.7025371E+000
