s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","T01_Wall","T02_Wall","T03_Wall","T04_Wall","T05_Wall","T06_Wall","T07_Wall","T08_Wall","T09_Wall","T10_Wall","T11_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R"
 9.0015393E+000, 9.5081037E+002, 7.9243406E+002, 5.4126672E+002, 3.5650931E+002, 2.3292988E+002, 1.5517511E+002, 1.1837144E+002, 9.7730044E+001, 9.7616927E+001, 9.6538764E+001, 1.0217861E+002, 9.5608290E+001, 7.8429501E+002, 8.0647783E+002, 6.6888970E+002, 4.8379544E+002, 3.3079066E+002, 2.3979702E+002, 1.8466690E+002, 1.5637469E+002, 1.2859979E+002, 1.1029523E+002, 1.0028616E+002, 8.8293612E+001, 9.3336479E+001, 1.0129585E+002, 8.9970716E+001, 6.9866286E+001, 5.3270990E+001, 4.3113646E+001, 3.7272033E+001, 3.3747053E+001, 3.1231478E+001, 2.9464940E+001, 2.8251718E+001, 1.0891898E+001, 1.1992334E+001, 1.0402355E+001, 7.3806146E+000, 4.6809846E+000, 3.1370857E+000, 6.1220531E+000, 6.6353331E+000, 5.7572929E+000, 4.6217220E+000, 3.6897203E+000, 2.9616849E+000
 1.0001444E+001, 8.3262317E+002, 6.0671552E+002, 4.0432444E+002, 2.6464760E+002, 2.1368490E+002, 1.8316149E+002, 1.6654073E+002, 1.3499219E+002, 1.0553646E+002, 9.1524448E+001, 7.6131590E+001, 7.0078802E+001, 7.8057487E+002, 7.3885119E+002, 6.0806676E+002, 4.2156626E+002, 2.9665069E+002, 2.2332370E+002, 1.7329979E+002, 1.4360643E+002, 1.1811263E+002, 1.0246642E+002, 9.3796696E+001, 8.5114979E+001, 9.6394039E+001, 1.0400190E+002, 9.1107701E+001, 6.9553944E+001, 5.2577031E+001, 4.2798659E+001, 3.6991773E+001, 3.3419618E+001, 3.1199189E+001, 2.9642651E+001, 2.8591376E+001, 1.0927060E+001, 1.2586976E+001, 1.0499575E+001, 7.1862245E+000, 4.6384386E+000, 3.0986016E+000, 6.1802022E+000, 6.6347656E+000, 5.4039644E+000, 3.7374189E+000, 2.3158489E+000, 1.5503872E+000
 1.1000802E+001, 8.1576636E+002, 8.0700160E+002, 5.9581750E+002, 3.6718121E+002, 2.3192088E+002, 1.8119511E+002, 1.5889892E+002, 1.5067017E+002, 1.2302311E+002, 1.0789058E+002, 1.0396943E+002, 8.7143466E+001, 7.6963358E+002, 7.4094355E+002, 5.9049434E+002, 3.9775054E+002, 2.7996551E+002, 2.1615326E+002, 1.7332130E+002, 1.4585903E+002, 1.1855983E+002, 1.0328082E+002, 9.4411990E+001, 8.4271834E+001, 1.0271380E+002, 1.1187276E+002, 9.7954557E+001, 7.4707569E+001, 5.5948064E+001, 4.5178524E+001, 3.9070972E+001, 3.5050704E+001, 3.2342031E+001, 3.0427369E+001, 2.9120936E+001, 1.1345419E+001, 1.3172816E+001, 1.1196775E+001, 7.2174086E+000, 4.4776415E+000, 3.0973475E+000, 6.6849871E+000, 7.7894518E+000, 7.2555626E+000, 5.1085061E+000, 3.5996132E+000, 2.5979977E+000
 1.2001813E+001, 8.9058323E+002, 7.5668681E+002, 4.4040735E+002, 2.9945352E+002, 2.1069666E+002, 1.8161096E+002, 1.4946294E+002, 1.3451231E+002, 1.0804037E+002, 9.6981329E+001, 8.7598062E+001, 8.4025627E+001, 7.8464265E+002, 7.2931728E+002, 5.5968652E+002, 3.9007187E+002, 2.6473399E+002, 2.0830913E+002, 1.7360767E+002, 1.4788563E+002, 1.1802059E+002, 1.0218056E+002, 9.4868812E+001, 8.5574876E+001, 1.0588588E+002, 1.1490811E+002, 1.0091833E+002, 7.5964696E+001, 5.5703261E+001, 4.4504383E+001, 3.8026620E+001, 3.3620601E+001, 3.1162433E+001, 2.9652936E+001, 2.8682793E+001, 1.1547080E+001, 1.3261148E+001, 1.1164360E+001, 6.7181319E+000, 3.8104423E+000, 2.5008011E+000, 6.3343997E+000, 6.9484228E+000, 5.9110201E+000, 4.3228442E+000, 3.0832606E+000, 1.9193217E+000
 1.3000993E+001, 9.2442540E+002, 8.3713063E+002, 6.2073457E+002, 3.7546287E+002, 2.6142849E+002, 2.4008705E+002, 1.8512074E+002, 1.4399150E+002, 1.2071420E+002, 1.2433457E+002, 1.1861172E+002, 1.0922342E+002, 7.7666129E+002, 7.5402231E+002, 5.9361282E+002, 4.0758612E+002, 2.7280848E+002, 2.1443659E+002, 1.7006755E+002, 1.4225538E+002, 1.1673780E+002, 1.0619527E+002, 9.8871496E+001, 8.9796609E+001, 1.1010294E+002, 1.2092433E+002, 1.0943504E+002, 8.2427555E+001, 6.1686708E+001, 4.9288620E+001, 4.1966729E+001, 3.6804481E+001, 3.3354830E+001, 3.1294052E+001, 3.0149355E+001, 1.0870262E+001, 1.2199246E+001, 1.1829087E+001, 8.7731629E+000, 6.1262603E+000, 4.5926308E+000, 6.8603343E+000, 7.8486500E+000, 7.4160896E+000, 4.9510903E+000, 3.4156593E+000, 2.6606782E+000
 1.4002380E+001, 9.8638470E+002, 7.0594677E+002, 4.8694109E+002, 3.3920084E+002, 2.0461820E+002, 1.6605042E+002, 1.3246567E+002, 1.0430548E+002, 1.1116064E+002, 9.0768968E+001, 8.8620208E+001, 8.2619294E+001, 8.0688925E+002, 7.4892315E+002, 5.7478835E+002, 3.9300368E+002, 2.5702467E+002, 2.1102234E+002, 1.6751582E+002, 1.3828140E+002, 1.1937885E+002, 1.0921226E+002, 1.0158662E+002, 9.4053943E+001, 1.1728304E+002, 1.2704245E+002, 1.1021642E+002, 8.1412963E+001, 6.1364217E+001, 4.8748224E+001, 4.1768302E+001, 3.6961200E+001, 3.3710792E+001, 3.1552751E+001, 3.0120217E+001, 1.2936893E+001, 1.5282555E+001, 1.1683210E+001, 6.6303953E+000, 4.2123501E+000, 2.7799400E+000, 7.3577237E+000, 7.8157179E+000, 5.6230190E+000, 3.6426489E+000, 2.5655526E+000, 1.9935937E+000
 1.5000890E+001, 8.0480897E+002, 8.8954151E+002, 8.2519541E+002, 5.6601342E+002, 2.8807937E+002, 2.2010872E+002, 1.8864899E+002, 1.5592984E+002, 1.3447129E+002, 1.0497927E+002, 9.6991054E+001, 9.7665802E+001, 8.0026340E+002, 7.6581694E+002, 6.3267810E+002, 4.4017614E+002, 2.6504863E+002, 2.1251844E+002, 1.7252561E+002, 1.3878299E+002, 1.1762856E+002, 1.0288441E+002, 9.6667842E+001, 9.2352717E+001, 1.2062502E+002, 1.3103881E+002, 1.1324846E+002, 8.3791285E+001, 6.1708914E+001, 4.9637349E+001, 4.2566248E+001, 3.7609744E+001, 3.3962031E+001, 3.1603598E+001, 3.0254181E+001, 1.2450321E+001, 1.4642104E+001, 1.1195460E+001, 7.2830725E+000, 4.5655044E+000, 3.4024075E+000, 6.6841490E+000, 7.1957768E+000, 6.1729361E+000, 4.4704456E+000, 2.9121021E+000, 2.0018676E+000
 1.6001090E+001, 8.2745405E+002, 1.0315201E+003, 8.6659785E+002, 5.6101781E+002, 3.6815153E+002, 2.6947338E+002, 2.0849018E+002, 1.7457931E+002, 1.3667114E+002, 1.1160880E+002, 9.6324807E+001, 8.5125480E+001, 7.7054592E+002, 8.4636225E+002, 7.3535091E+002, 4.9490232E+002, 3.0242911E+002, 2.2950375E+002, 1.8405564E+002, 1.5097538E+002, 1.2548871E+002, 1.0570457E+002, 9.9198764E+001, 9.3287693E+001, 1.2134702E+002, 1.3145586E+002, 1.1673577E+002, 8.8515734E+001, 6.5244583E+001, 5.2147257E+001, 4.4211935E+001, 3.8707171E+001, 3.4959215E+001, 3.2703290E+001, 3.1057955E+001, 1.0536301E+001, 1.2590129E+001, 1.2210876E+001, 9.1143945E+000, 5.6168828E+000, 3.7958777E+000, 6.1728501E+000, 6.7942631E+000, 6.3463882E+000, 5.0188685E+000, 3.5704798E+000, 2.6283141E+000
 1.7002608E+001, 1.0091400E+003, 8.9331911E+002, 5.6201941E+002, 3.9792598E+002, 2.7926745E+002, 1.7776957E+002, 1.4522806E+002, 1.2442943E+002, 1.1117801E+002, 1.0057085E+002, 8.6714554E+001, 8.4120922E+001, 8.0669399E+002, 8.6996177E+002, 7.1945003E+002, 4.9243220E+002, 3.0539777E+002, 2.2814499E+002, 1.8171171E+002, 1.4942239E+002, 1.2470643E+002, 1.0659008E+002, 9.7073125E+001, 9.0674371E+001, 1.2573452E+002, 1.3524465E+002, 1.1759497E+002, 8.7377820E+001, 6.4958215E+001, 5.1423366E+001, 4.3379119E+001, 3.8143229E+001, 3.4864539E+001, 3.2519589E+001, 3.0970991E+001, 1.2260088E+001, 1.3398261E+001, 1.0145125E+001, 6.4067156E+000, 4.3279979E+000, 2.8014641E+000, 7.0764923E+000, 7.5166288E+000, 5.9375365E+000, 4.1440148E+000, 2.9871581E+000, 1.9996094E+000
 1.8002994E+001, 9.4557755E+002, 1.0157382E+003, 4.9556533E+002, 3.2171202E+002, 2.3717835E+002, 2.0148595E+002, 1.5586806E+002, 1.2824813E+002, 1.0028881E+002, 8.9483867E+001, 7.6264541E+001, 6.5189306E+001, 8.5101250E+002, 8.4970642E+002, 6.4633052E+002, 4.5526353E+002, 2.9841150E+002, 2.2331315E+002, 1.7818447E+002, 1.4548152E+002, 1.2034762E+002, 1.0236988E+002, 9.0534616E+001, 8.4039179E+001, 1.3110317E+002, 1.4070555E+002, 1.1982502E+002, 8.8499228E+001, 6.5761003E+001, 5.2362426E+001, 4.4298520E+001, 3.8959242E+001, 3.5713859E+001, 3.3996605E+001, 3.2953816E+001, 1.2720739E+001, 1.4013911E+001, 1.0397921E+001, 6.5881175E+000, 4.4588634E+000, 3.0053770E+000, 7.4501182E+000, 8.3988491E+000, 7.0281130E+000, 4.6501168E+000, 2.7407092E+000, 1.9197091E+000
