s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","Temp_TC01_Wall","Temp_TC02_Wall","Temp_TC03_Wall","Temp_TC04_Wall","Temp_TC05_Wall","Temp_TC06_Wall","Temp_TC07_Wall","Temp_TC08_Wall","Temp_TC09_Wall","Temp_TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 1.3301151E+002, 9.0153916E+002, 9.6303276E+002, 8.8791893E+002, 7.8908721E+002, 6.3647883E+002, 5.8401039E+002, 5.3872091E+002, 4.9092708E+002, 6.3647883E+002, 5.8401039E+002, 5.3872091E+002, 4.9092708E+002, 7.6778946E+002, 8.0512357E+002, 7.7274971E+002, 7.2529388E+002, 6.0755094E+002, 5.4417283E+002, 4.9121295E+002, 4.4143697E+002, 6.0755094E+002, 5.4417283E+002, 4.9121295E+002, 4.4143697E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.9332459E+001, 9.6713525E+001, 7.7867504E+001, 6.5570973E+001, 5.1138325E+001, 4.3887151E+001, 3.5930706E+001, 3.2120160E+001, 2.8143856E+001, 2.6515615E+001, 3.7815960E+000, 3.5703141E+000, 2.5592084E+000, 2.0039932E+000, 1.3722064E+000, 1.0288524E+000, 3.0527387E+000, 2.9022492E+000, 2.1532895E+000, 1.7177678E+000, 1.2261449E+000, 9.6353152E-001, 9.7249374E-001, 9.6926626E-001
 1.3400808E+002, 7.1122036E+002, 8.2132145E+002, 8.6245390E+002, 8.4793375E+002, 6.9547440E+002, 5.8867462E+002, 5.0960629E+002, 4.5364804E+002, 6.9547440E+002, 5.8867462E+002, 5.0960629E+002, 4.5364804E+002, 7.4287820E+002, 8.0626614E+002, 7.9776598E+002, 7.5514233E+002, 6.2672528E+002, 5.5663291E+002, 4.9894517E+002, 4.4859617E+002, 6.2672528E+002, 5.5663291E+002, 4.9894517E+002, 4.4859617E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.9700846E+001, 9.7383722E+001, 7.8499633E+001, 6.6069053E+001, 5.1388181E+001, 4.4044323E+001, 3.6025316E+001, 3.2185761E+001, 2.8147084E+001, 2.6476060E+001, 3.6935699E+000, 3.6910949E+000, 2.7446704E+000, 2.1249917E+000, 1.3967456E+000, 1.0458193E+000, 2.8809955E+000, 2.8748566E+000, 2.2546622E+000, 1.8148244E+000, 1.2746963E+000, 9.8783589E-001, 9.9014725E-001, 9.8681423E-001
 1.3500700E+002, 7.4919198E+002, 8.6698390E+002, 8.8728594E+002, 8.5833645E+002, 7.0848227E+002, 5.9704271E+002, 4.9726400E+002, 4.1249740E+002, 7.0848227E+002, 5.9704271E+002, 4.9726400E+002, 4.1249740E+002, 7.0113510E+002, 7.7671302E+002, 7.8650562E+002, 7.6111734E+002, 6.4319755E+002, 5.6595878E+002, 5.0186012E+002, 4.4078383E+002, 6.4319755E+002, 5.6595878E+002, 5.0186012E+002, 4.4078383E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.9423346E+001, 9.7108646E+001, 7.8341667E+001, 6.5862384E+001, 5.1308066E+001, 4.4051258E+001, 3.6066363E+001, 3.2222449E+001, 2.8181497E+001, 2.6495187E+001, 3.5820522E+000, 3.5236511E+000, 2.6024404E+000, 1.9618567E+000, 1.3181413E+000, 1.0221097E+000, 2.8744487E+000, 2.8293538E+000, 2.1998630E+000, 1.7398608E+000, 1.2257874E+000, 9.8043726E-001, 9.6476143E-001, 9.6145108E-001
 1.3601011E+002, 7.0122777E+002, 7.7751088E+002, 7.0201263E+002, 5.9260330E+002, 4.1268303E+002, 3.8792290E+002, 3.4827955E+002, 3.0620378E+002, 4.1268303E+002, 3.8792290E+002, 3.4827955E+002, 3.0620378E+002, 7.0368478E+002, 7.8669947E+002, 7.8645786E+002, 7.5680295E+002, 6.4968399E+002, 5.7585809E+002, 5.0577989E+002, 4.4129076E+002, 6.4968399E+002, 5.7585809E+002, 5.0577989E+002, 4.4129076E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0037274E+002, 9.8150841E+001, 7.9015266E+001, 6.6278824E+001, 5.1491023E+001, 4.4164631E+001, 3.6120213E+001, 3.2241579E+001, 2.8176938E+001, 2.6479437E+001, 3.7384957E+000, 3.7027222E+000, 2.7211494E+000, 2.0667848E+000, 1.3442502E+000, 1.0116913E+000, 3.2888665E+000, 3.2077725E+000, 2.4037535E+000, 1.8693433E+000, 1.2553791E+000, 9.6654903E-001, 8.7369912E-001, 8.7069612E-001
 1.3700376E+002, 6.1389006E+002, 7.4536935E+002, 6.7569182E+002, 5.4521031E+002, 3.5638739E+002, 2.8902384E+002, 2.4475735E+002, 2.1805448E+002, 3.5638739E+002, 2.8902384E+002, 2.4475735E+002, 2.1805448E+002, 6.5077420E+002, 7.2019396E+002, 7.0257881E+002, 6.4985529E+002, 5.2880218E+002, 4.7106129E+002, 4.2103673E+002, 3.7632057E+002, 5.2880218E+002, 4.7106129E+002, 4.2103673E+002, 3.7632057E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.9747450E+001, 9.7487466E+001, 7.8503309E+001, 6.6032971E+001, 5.1422889E+001, 4.4160825E+001, 3.6193287E+001, 3.2325425E+001, 2.8283324E+001, 2.6680138E+001, 3.3593734E+000, 3.2791033E+000, 2.3768478E+000, 1.8662908E+000, 1.2587894E+000, 9.6380123E-001, 2.7874180E+000, 2.7830205E+000, 2.1099137E+000, 1.6827131E+000, 1.1792702E+000, 9.1936290E-001, 9.7130150E-001, 9.6795847E-001
 1.3800844E+002, 7.2199251E+002, 8.1230318E+002, 8.4724398E+002, 8.2564111E+002, 6.8290381E+002, 6.1063004E+002, 5.4834535E+002, 4.9490357E+002, 6.8290381E+002, 6.1063004E+002, 5.4834535E+002, 4.9490357E+002, 6.3748676E+002, 7.4057556E+002, 7.4515809E+002, 6.9338347E+002, 5.5808933E+002, 4.9362830E+002, 4.3812376E+002, 3.8992610E+002, 5.5808933E+002, 4.9362830E+002, 4.3812376E+002, 3.8992610E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0049309E+002, 9.8055933E+001, 7.9028576E+001, 6.6517022E+001, 5.1707506E+001, 4.4347209E+001, 3.6320232E+001, 3.2418185E+001, 2.8342792E+001, 2.6690060E+001, 3.6674097E+000, 3.5380543E+000, 2.6914362E+000, 2.1142037E+000, 1.4068779E+000, 1.0759345E+000, 2.9566519E+000, 2.8420640E+000, 2.2152513E+000, 1.8191907E+000, 1.3047671E+000, 1.0272472E+000, 1.0413273E+000, 1.0377474E+000
 1.3900609E+002, 7.5523574E+002, 8.8974992E+002, 9.0764611E+002, 8.7713991E+002, 7.3287987E+002, 6.4094980E+002, 5.4697965E+002, 4.6822744E+002, 7.3287987E+002, 6.4094980E+002, 5.4697965E+002, 4.6822744E+002, 6.6315920E+002, 7.5191670E+002, 7.6083948E+002, 7.2189672E+002, 5.9705688E+002, 5.2935873E+002, 4.6687101E+002, 4.1601721E+002, 5.9705688E+002, 5.2935873E+002, 4.6687101E+002, 4.1601721E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.9794974E+001, 9.7659704E+001, 7.8930495E+001, 6.6341917E+001, 5.1645449E+001, 4.4366726E+001, 3.6324058E+001, 3.2431718E+001, 2.8389478E+001, 2.6742842E+001, 3.2749649E+000, 3.2945535E+000, 2.4999475E+000, 1.8935457E+000, 1.2748226E+000, 9.9196117E-001, 2.7442220E+000, 2.6667012E+000, 2.1079989E+000, 1.6639614E+000, 1.1493115E+000, 9.1708466E-001, 9.2108333E-001, 9.1796575E-001
 1.4000738E+002, 6.8791377E+002, 9.0194908E+002, 8.9581779E+002, 8.3274215E+002, 5.8300130E+002, 4.3785613E+002, 3.3305356E+002, 2.6257665E+002, 5.8300130E+002, 4.3785613E+002, 3.3305356E+002, 2.6257665E+002, 6.7253680E+002, 7.8049432E+002, 7.8408751E+002, 7.4660851E+002, 6.0434705E+002, 5.2561678E+002, 4.5723573E+002, 4.0294505E+002, 6.0434705E+002, 5.2561678E+002, 4.5723573E+002, 4.0294505E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0068857E+002, 9.8591676E+001, 7.9340060E+001, 6.6579633E+001, 5.1671278E+001, 4.4326236E+001, 3.6249505E+001, 3.2347788E+001, 2.8266561E+001, 2.6591474E+001, 3.9303173E+000, 3.8550143E+000, 2.7090549E+000, 2.0433866E+000, 1.3150796E+000, 9.9000214E-001, 3.2436812E+000, 3.1961756E+000, 2.3579308E+000, 1.8589179E+000, 1.2543629E+000, 9.5731958E-001, 9.9268040E-001, 9.8933888E-001
 1.4100521E+002, 7.4585789E+002, 7.8910481E+002, 7.1779856E+002, 6.2943407E+002, 4.5311642E+002, 3.9905734E+002, 3.6402802E+002, 3.3107265E+002, 4.5311642E+002, 3.9905734E+002, 3.6402802E+002, 3.3107265E+002, 6.7221082E+002, 7.8896606E+002, 7.8415770E+002, 7.4300302E+002, 5.8914689E+002, 5.0280181E+002, 4.3225328E+002, 3.7492027E+002, 5.8914689E+002, 5.0280181E+002, 4.3225328E+002, 3.7492027E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0129248E+002, 9.8869129E+001, 7.9267293E+001, 6.6510515E+001, 5.1636675E+001, 4.4299678E+001, 3.6238961E+001, 3.2348568E+001, 2.8379333E+001, 2.6755186E+001, 3.6459540E+000, 3.3567618E+000, 2.2910122E+000, 1.7569108E+000, 1.1820162E+000, 9.0652688E-001, 2.9201892E+000, 2.7464744E+000, 1.9783195E+000, 1.5705862E+000, 1.1177502E+000, 8.8676209E-001, 9.3109133E-001, 9.2796438E-001
 1.4200137E+002, 6.9180381E+002, 7.9189870E+002, 7.2070392E+002, 6.2663184E+002, 4.8835299E+002, 4.4472006E+002, 4.0969876E+002, 3.7262243E+002, 4.8835299E+002, 4.4472006E+002, 4.0969876E+002, 3.7262243E+002, 6.6257749E+002, 7.3572682E+002, 7.1539518E+002, 6.6779832E+002, 5.3561542E+002, 4.6949455E+002, 4.1594107E+002, 3.6863226E+002, 5.3561542E+002, 4.6949455E+002, 4.1594107E+002, 3.6863226E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0102734E+002, 9.8265167E+001, 7.9084713E+001, 6.6583413E+001, 5.1817893E+001, 4.4480337E+001, 3.6374316E+001, 3.2454140E+001, 2.8497891E+001, 2.6935868E+001, 3.4040903E+000, 3.1541722E+000, 2.3995298E+000, 1.9319663E+000, 1.3402641E+000, 1.0439723E+000, 3.0027479E+000, 2.8385556E+000, 2.2370682E+000, 1.8555068E+000, 1.3356990E+000, 1.0515839E+000, 8.5650276E-001, 8.5357491E-001
 1.4300564E+002, 8.0253538E+002, 8.9707453E+002, 8.9079729E+002, 8.1432625E+002, 6.6774255E+002, 6.0680994E+002, 5.5848684E+002, 4.9672042E+002, 6.6774255E+002, 6.0680994E+002, 5.5848684E+002, 4.9672042E+002, 6.8717489E+002, 7.6698029E+002, 7.4674828E+002, 6.8895811E+002, 5.5661003E+002, 4.9362176E+002, 4.4502401E+002, 3.9270387E+002, 5.5661003E+002, 4.9362176E+002, 4.4502401E+002, 3.9270387E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0175657E+002, 9.9028591E+001, 7.9595504E+001, 6.6986986E+001, 5.2122265E+001, 4.4764727E+001, 3.6595193E+001, 3.2629849E+001, 2.8533717E+001, 2.6874046E+001, 3.9159402E+000, 3.7705764E+000, 2.7113047E+000, 2.1110612E+000, 1.4046578E+000, 1.0790154E+000, 3.0492991E+000, 3.0135990E+000, 2.2706172E+000, 1.8075409E+000, 1.2701439E+000, 1.0122707E+000, 1.0314873E+000, 1.0279127E+000
 1.4400272E+002, 6.9370579E+002, 9.0371426E+002, 9.1525483E+002, 8.4560359E+002, 6.3604397E+002, 5.2830906E+002, 4.3402709E+002, 3.6708191E+002, 6.3604397E+002, 5.2830906E+002, 4.3402709E+002, 3.6708191E+002, 6.8282061E+002, 7.8566119E+002, 7.8723401E+002, 7.4249071E+002, 6.0207947E+002, 5.2728345E+002, 4.6680390E+002, 4.1199520E+002, 6.0207947E+002, 5.2728345E+002, 4.6680390E+002, 4.1199520E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0238733E+002, 1.0007743E+002, 8.0594085E+001, 6.7789516E+001, 5.2554812E+001, 4.5010825E+001, 3.6719367E+001, 3.2710804E+001, 2.8558993E+001, 2.6869512E+001, 3.8877162E+000, 3.8950883E+000, 2.9749854E+000, 2.3082488E+000, 1.5048102E+000, 1.1339380E+000, 3.1251378E+000, 3.0683960E+000, 2.3889892E+000, 1.9589244E+000, 1.3864853E+000, 1.0860789E+000, 9.8283452E-001, 9.7946941E-001
 1.4500441E+002, 7.0147594E+002, 6.8671829E+002, 6.7497583E+002, 5.9099796E+002, 4.3756808E+002, 3.8055240E+002, 3.3440454E+002, 2.9686426E+002, 4.3756808E+002, 3.8055240E+002, 3.3440454E+002, 2.9686426E+002, 6.7055276E+002, 7.7234234E+002, 7.8212001E+002, 7.2247902E+002, 5.8081505E+002, 5.0819990E+002, 4.4608145E+002, 3.9406813E+002, 5.8081505E+002, 5.0819990E+002, 4.4608145E+002, 3.9406813E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0227723E+002, 1.0006905E+002, 8.0891429E+001, 6.8038768E+001, 5.2805412E+001, 4.5218498E+001, 3.6847548E+001, 3.2797611E+001, 2.8613134E+001, 2.6935793E+001, 3.3946678E+000, 3.3590449E+000, 2.6339994E+000, 2.0921299E+000, 1.4453071E+000, 1.1119393E+000, 2.8083108E+000, 2.7366413E+000, 2.2060418E+000, 1.8139316E+000, 1.3153014E+000, 1.0471173E+000, 9.8085085E-001, 9.7754402E-001
 1.4600452E+002, 7.8508452E+002, 8.8313867E+002, 8.6731857E+002, 8.1042838E+002, 6.5612332E+002, 5.7781768E+002, 5.1191069E+002, 4.4830976E+002, 6.5612332E+002, 5.7781768E+002, 5.1191069E+002, 4.4830976E+002, 6.8796625E+002, 7.4128858E+002, 7.3493842E+002, 6.8633477E+002, 5.6431441E+002, 5.0077876E+002, 4.4416516E+002, 3.9383625E+002, 5.6431441E+002, 5.0077876E+002, 4.4416516E+002, 3.9383625E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0180885E+002, 9.9460976E+001, 8.0236571E+001, 6.7508264E+001, 5.2568562E+001, 4.5069667E+001, 3.6765271E+001, 3.2746194E+001, 2.8558508E+001, 2.6859371E+001, 3.5595571E+000, 3.4451430E+000, 2.4601696E+000, 1.8848361E+000, 1.3096422E+000, 9.9871401E-001, 2.7836798E+000, 2.7867426E+000, 2.1516957E+000, 1.6930227E+000, 1.2150186E+000, 9.6849114E-001, 9.8335428E-001, 9.8004840E-001
 1.4701158E+002, 7.9620176E+002, 9.0738863E+002, 8.6630608E+002, 7.9311777E+002, 6.3284007E+002, 5.4142439E+002, 4.6243839E+002, 3.8481378E+002, 6.3284007E+002, 5.4142439E+002, 4.6243839E+002, 3.8481378E+002, 6.9786507E+002, 7.8079770E+002, 7.7646959E+002, 7.3199778E+002, 6.0842105E+002, 5.3684209E+002, 4.7329470E+002, 4.1241380E+002, 6.0842105E+002, 5.3684209E+002, 4.7329470E+002, 4.1241380E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0247169E+002, 9.9920426E+001, 8.0466406E+001, 6.7679577E+001, 5.2656519E+001, 4.5090301E+001, 3.6738982E+001, 3.2718677E+001, 2.8518692E+001, 2.6777353E+001, 3.6014981E+000, 3.4145060E+000, 2.5376452E+000, 1.9842956E+000, 1.3226819E+000, 9.9086668E-001, 2.7870338E+000, 2.6648155E+000, 2.0696666E+000, 1.6895638E+000, 1.2172637E+000, 9.5413441E-001, 9.3106682E-001, 9.2795912E-001
 1.4800388E+002, 7.6234720E+002, 7.6597390E+002, 7.1799097E+002, 6.5659959E+002, 5.4045987E+002, 4.8412711E+002, 4.3434503E+002, 3.8831687E+002, 5.4045987E+002, 4.8412711E+002, 4.3434503E+002, 3.8831687E+002, 7.0862543E+002, 7.6416436E+002, 7.4868206E+002, 7.0546487E+002, 5.8587933E+002, 5.1700425E+002, 4.5618466E+002, 3.9711763E+002, 5.8587933E+002, 5.1700425E+002, 4.5618466E+002, 3.9711763E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0293786E+002, 1.0039944E+002, 8.0842517E+001, 6.8071655E+001, 5.2909158E+001, 4.5306787E+001, 3.6937745E+001, 3.2883859E+001, 2.8628734E+001, 2.6850453E+001, 3.8197421E+000, 3.6702127E+000, 2.6508213E+000, 2.0696183E+000, 1.3838074E+000, 1.0580097E+000, 3.1372972E+000, 3.0260086E+000, 2.2436069E+000, 1.7989892E+000, 1.2775066E+000, 1.0049757E+000, 1.0035832E+000, 1.0002044E+000
 1.4900433E+002, 5.6924764E+002, 6.9567432E+002, 7.4659303E+002, 7.3649692E+002, 5.2800628E+002, 4.3749577E+002, 3.7125689E+002, 3.3540173E+002, 5.2800628E+002, 4.3749577E+002, 3.7125689E+002, 3.3540173E+002, 6.5771547E+002, 7.2680871E+002, 7.3136301E+002, 6.9136474E+002, 5.4221725E+002, 4.7613698E+002, 4.2159085E+002, 3.7278936E+002, 5.4221725E+002, 4.7613698E+002, 4.2159085E+002, 3.7278936E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0306623E+002, 1.0095879E+002, 8.1271273E+001, 6.8259093E+001, 5.2984499E+001, 4.5352428E+001, 3.6964799E+001, 3.2916304E+001, 2.8740689E+001, 2.6978337E+001, 3.6073655E+000, 3.7470351E+000, 2.7822250E+000, 2.1071800E+000, 1.3916740E+000, 1.0531086E+000, 3.0265676E+000, 3.0689908E+000, 2.3890327E+000, 1.8651959E+000, 1.2939228E+000, 1.0143550E+000, 9.3833286E-001, 9.3517674E-001
 1.5000962E+002, 6.7886158E+002, 7.4783604E+002, 6.6649483E+002, 5.6760621E+002, 4.7261721E+002, 4.4389409E+002, 4.1221421E+002, 3.7394840E+002, 4.7261721E+002, 4.4389409E+002, 4.1221421E+002, 3.7394840E+002, 6.4574634E+002, 7.1961297E+002, 7.1687906E+002, 6.8255909E+002, 5.6494871E+002, 5.0316813E+002, 4.4512987E+002, 3.9608564E+002, 5.6494871E+002, 5.0316813E+002, 4.4512987E+002, 3.9608564E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0287453E+002, 1.0081279E+002, 8.1324502E+001, 6.8435791E+001, 5.3298248E+001, 4.5662717E+001, 3.7178410E+001, 3.3097546E+001, 2.8919011E+001, 2.7191023E+001, 3.3056176E+000, 3.1892578E+000, 2.4164570E+000, 1.9438698E+000, 1.3824534E+000, 1.0858281E+000, 2.7805507E+000, 2.7932902E+000, 2.2477446E+000, 1.8151302E+000, 1.3018945E+000, 1.0424439E+000, 8.9502466E-001, 8.9203054E-001
 1.5100465E+002, 7.1348305E+002, 8.6311112E+002, 9.1335486E+002, 8.2030846E+002, 4.9663450E+002, 3.9164631E+002, 3.2689999E+002, 2.8118171E+002, 4.9663450E+002, 3.9164631E+002, 3.2689999E+002, 2.8118171E+002, 6.2236030E+002, 7.0786876E+002, 7.1648803E+002, 6.7658016E+002, 5.4990691E+002, 4.8688991E+002, 4.3130846E+002, 3.8348923E+002, 5.4990691E+002, 4.8688991E+002, 4.3130846E+002, 3.8348923E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0338601E+002, 1.0118098E+002, 8.1591699E+001, 6.8659654E+001, 5.3321593E+001, 4.5629181E+001, 3.7138793E+001, 3.3051091E+001, 2.8825482E+001, 2.7067160E+001, 3.8903549E+000, 3.8155751E+000, 2.8700591E+000, 2.2433755E+000, 1.4627197E+000, 1.0888500E+000, 3.4038880E+000, 3.3984953E+000, 2.6137999E+000, 2.0584560E+000, 1.3787999E+000, 1.0427238E+000, 1.0565463E+000, 1.0529291E+000
 1.5200281E+002, 7.0255220E+002, 7.5369367E+002, 7.1683601E+002, 6.8884242E+002, 6.0491567E+002, 5.1121920E+002, 4.2816262E+002, 3.5812343E+002, 6.0491567E+002, 5.1121920E+002, 4.2816262E+002, 3.5812343E+002, 6.8480047E+002, 7.5384848E+002, 7.5057523E+002, 6.9894173E+002, 5.4251169E+002, 4.6941715E+002, 4.1113571E+002, 3.6033766E+002, 5.4251169E+002, 4.6941715E+002, 4.1113571E+002, 3.6033766E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0383174E+002, 1.0156146E+002, 8.1759018E+001, 6.8676308E+001, 5.3240371E+001, 4.5537099E+001, 3.7026761E+001, 3.2944705E+001, 2.8756345E+001, 2.7040154E+001, 3.8181472E+000, 3.7997596E+000, 2.8516896E+000, 2.1781252E+000, 1.3857998E+000, 1.0243610E+000, 3.0335631E+000, 3.0380676E+000, 2.4390436E+000, 1.9322062E+000, 1.2982881E+000, 9.8085665E-001, 9.6959488E-001, 9.6626242E-001
 1.5300990E+002, 7.8445029E+002, 8.4753021E+002, 7.7792558E+002, 6.7866475E+002, 5.3043846E+002, 4.9651589E+002, 4.6704364E+002, 4.3107067E+002, 5.3043846E+002, 4.9651589E+002, 4.6704364E+002, 4.3107067E+002, 6.7621388E+002, 7.3456376E+002, 7.2124470E+002, 6.8166665E+002, 5.5581088E+002, 4.9154877E+002, 4.3482465E+002, 3.8211363E+002, 5.5581088E+002, 4.9154877E+002, 4.3482465E+002, 3.8211363E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0329693E+002, 1.0119383E+002, 8.1845788E+001, 6.8898301E+001, 5.3439851E+001, 4.5723719E+001, 3.7203938E+001, 3.3078287E+001, 2.8845229E+001, 2.7145189E+001, 3.3733596E+000, 3.2964567E+000, 2.4826607E+000, 1.9479542E+000, 1.3084704E+000, 1.0032265E+000, 2.8684298E+000, 2.8038406E+000, 2.1514553E+000, 1.7565109E+000, 1.2412099E+000, 9.7332644E-001, 9.1666455E-001, 9.1352221E-001
 1.5400535E+002, 8.7569724E+002, 8.8974670E+002, 8.3358987E+002, 7.5611353E+002, 5.2538385E+002, 4.2407529E+002, 3.4259622E+002, 2.8698747E+002, 5.2538385E+002, 4.2407529E+002, 3.4259622E+002, 2.8698747E+002, 7.3509249E+002, 7.9038450E+002, 7.5427788E+002, 6.8723840E+002, 5.3147289E+002, 4.6818674E+002, 4.1670200E+002, 3.7246290E+002, 5.3147289E+002, 4.6818674E+002, 4.1670200E+002, 3.7246290E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0467487E+002, 1.0234515E+002, 8.2569034E+001, 6.9499748E+001, 5.3913596E+001, 4.6063921E+001, 3.7414653E+001, 3.3213961E+001, 2.8916675E+001, 2.7174452E+001, 3.8289639E+000, 3.6166601E+000, 2.6506028E+000, 2.1012870E+000, 1.4491107E+000, 1.1095195E+000, 3.1638785E+000, 2.9934664E+000, 2.2444583E+000, 1.8194419E+000, 1.3091527E+000, 1.0297200E+000, 8.8096344E-001, 8.7795646E-001
