s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.8000284E+002, 7.9915388E+001,-1.8766859E+001,-5.8713494E+001,-5.1164081E-002,-7.6653428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1725529E+000, 2.3762056E+000, 1.5996709E-003, 1.5996709E-003
 2.8100085E+002, 7.7002558E+001,-1.8036242E+001,-6.3422123E+001,-5.6325544E-002,-7.5339254E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4082500E+000,-4.5196662E+000, 1.5996709E-003, 1.5996709E-003
 2.8200858E+002, 8.2536567E+001,-1.9326764E+001,-5.0687722E+001,-1.4503988E-002,-7.4202912E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2523856E+001, 1.2500157E+001, 1.5996709E-003, 1.5996709E-003
 2.8300620E+002, 7.9752305E+001,-1.8772878E+001,-6.3413083E+001,-9.0346604E-002,-7.4918438E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6402604E+000,-2.5314950E+000, 1.5996709E-003, 1.5996709E-003
 2.8400317E+002, 7.9658777E+001,-1.8904059E+001,-6.5887226E+001,-8.6852946E-002,-7.4940610E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2960771E+000,-5.2268551E+000, 1.5996709E-003, 1.5996709E-003
 2.8500836E+002, 7.8990776E+001,-1.8640000E+001,-6.2133788E+001,-5.4081310E-002,-7.5438297E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0121203E+000,-1.8446373E+000, 1.5996709E-003, 1.5996709E-003
 2.8600394E+002, 7.5751929E+001,-1.7690946E+001,-5.3498494E+001,-3.4815797E-002,-7.3941495E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6743045E+000, 4.5202792E+000, 1.5996709E-003, 1.5996709E-003
 2.8700623E+002, 8.6041019E+001,-2.0209857E+001,-6.5622682E+001,-5.0599137E-002,-7.5742410E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3536314E-001, 1.5030591E-001, 1.5996709E-003, 1.5996709E-003
 2.8800287E+002, 7.6538768E+001,-1.7999181E+001,-6.2399106E+001,-4.2001419E-002,-7.5263570E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8249534E+000,-3.9090473E+000, 1.5996709E-003, 1.5996709E-003
 2.8900537E+002, 8.0404248E+001,-1.9120592E+001,-6.2186621E+001,-5.9169536E-002,-7.6087563E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1130759E+000,-9.6974281E-001, 1.5996709E-003, 1.5996709E-003
