s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.7008770E+001, 7.7296461E+001,-1.4760123E+001,-6.1321955E+001,-3.9907080E-001,-7.2843102E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2517031E-001, 8.0802899E-001, 1.5996709E-003, 1.5996709E-003
 3.8007290E+001, 8.2346713E+001,-1.5729916E+001,-6.6051730E+001,-3.7126176E-001,-7.6853667E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7643589E-002, 1.8612035E-001, 1.5996709E-003, 1.5996709E-003
 3.9006847E+001, 7.2666641E+001,-1.3809913E+001,-6.7892801E+001,-3.5844603E-001,-7.3225348E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4302675E+000,-9.4018414E+000, 1.5996709E-003, 1.5996709E-003
 4.0011795E+001, 8.4569279E+001,-1.6034333E+001,-6.4930452E+001,-3.6675922E-001,-7.6609809E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9493601E+000, 3.2300743E+000, 1.5996709E-003, 1.5996709E-003
 4.1007244E+001, 7.7979898E+001,-1.4843299E+001,-5.9489559E+001,-2.5004419E-001,-7.5483557E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1812494E+000, 3.3894476E+000, 1.5996709E-003, 1.5996709E-003
 4.2006420E+001, 8.2683759E+001,-1.5812156E+001,-6.1377745E+001,-3.4815149E-001,-7.4767888E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1925473E+000, 5.1382296E+000, 1.5996709E-003, 1.5996709E-003
 4.3002575E+001, 7.9290070E+001,-1.4925387E+001,-6.2805869E+001,-4.1736465E-001,-7.6246417E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2418396E+000, 1.1338248E+000, 1.5996709E-003, 1.5996709E-003
 4.4008213E+001, 7.8871128E+001,-1.4959559E+001,-6.6600031E+001,-3.9154003E-001,-7.7130559E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2346895E+000,-3.0877144E+000, 1.5996709E-003, 1.5996709E-003
 4.5000790E+001, 7.7675683E+001,-1.4997441E+001,-6.4305484E+001,-3.4768834E-001,-7.4970172E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9819414E+000,-1.9824279E+000, 1.5996709E-003, 1.5996709E-003
 4.6005535E+001, 7.9492393E+001,-1.5150877E+001,-7.0986335E+001,-3.0955545E-001,-7.6477952E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1463372E+000,-6.9620225E+000, 1.5996709E-003, 1.5996709E-003
