s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.9300223E+002, 7.9648621E+001,-1.5081475E+001,-5.9244988E+001,-8.6167482E+000,-5.4539210E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1861770E+000,-3.3000448E+000, 1.5996709E-003, 1.5996709E-003
 1.9400163E+002, 7.8795329E+001,-1.4991280E+001,-5.7756424E+001,-7.9075946E+000,-5.2861763E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5169351E+000,-1.8652566E+000, 1.5996709E-003, 1.5996709E-003
 1.9500069E+002, 7.8945049E+001,-1.5130260E+001,-5.4112983E+001,-8.2200688E+000,-5.4264375E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1412110E+000, 1.4763114E+000, 1.5996709E-003, 1.5996709E-003
 1.9600195E+002, 8.2690208E+001,-1.5757347E+001,-6.2410335E+001,-7.5881163E+000,-5.4903027E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8050438E+000,-3.0710805E+000, 1.5996709E-003, 1.5996709E-003
 1.9700264E+002, 7.6708216E+001,-1.4239478E+001,-5.2842469E+001,-5.1925758E+000,-5.2285084E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5820975E+000, 4.4284648E+000, 1.5996709E-003, 1.5996709E-003
 1.9800122E+002, 8.1562721E+001,-1.5733585E+001,-5.0163996E+001,-7.9938369E+000,-5.3591396E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8141238E+000, 7.6659434E+000, 1.5996709E-003, 1.5996709E-003
 1.9900371E+002, 8.4054969E+001,-1.6035844E+001,-5.8675282E+001,-8.2735566E+000,-5.6020316E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3710029E+000, 1.0646841E+000, 1.5996709E-003, 1.5996709E-003
 2.0000294E+002, 7.5166671E+001,-1.4240527E+001,-5.4684152E+001,-6.8209131E+000,-5.3820775E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9937492E-001,-5.8430307E-001, 1.5996709E-003, 1.5996709E-003
 2.0100218E+002, 8.3952274E+001,-1.6025166E+001,-5.5814681E+001,-8.7074687E+000,-5.4875973E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7340510E+000, 3.3994714E+000, 1.5996709E-003, 1.5996709E-003
 2.0200346E+002, 7.5268235E+001,-1.4134304E+001,-6.2395871E+001,-7.1605897E+000,-5.3361883E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1714521E+000,-8.4278663E+000, 1.5996709E-003, 1.5996709E-003
 2.0300018E+002, 8.6407237E+001,-1.6277316E+001,-6.4057790E+001,-7.2652578E+000,-5.4861706E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0437090E+000,-1.1986128E+000, 1.5996709E-003, 1.5996709E-003
 2.0400095E+002, 8.0969160E+001,-1.5404899E+001,-5.7412007E+001,-8.5428411E+000,-5.4879052E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8603825E-001,-3.9607454E-001, 1.5996709E-003, 1.5996709E-003
 2.0500153E+002, 7.2215973E+001,-1.3432931E+001,-5.9478319E+001,-6.0968193E+000,-5.3542328E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8011057E+000,-6.7974506E+000, 1.5996709E-003, 1.5996709E-003
 2.0600305E+002, 8.1822090E+001,-1.5394477E+001,-5.5568662E+001,-7.1616616E+000,-5.4324335E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9248932E+000, 3.6918571E+000, 1.5996709E-003, 1.5996709E-003
 2.0700134E+002, 8.1940538E+001,-1.5598642E+001,-5.5282207E+001,-7.8417181E+000,-5.4069682E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3650619E+000, 3.2125629E+000, 1.5996709E-003, 1.5996709E-003
 2.0800113E+002, 8.2923317E+001,-1.5648554E+001,-5.8005837E+001,-7.5706656E+000,-5.5327572E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8476445E+000, 1.6927281E+000, 1.5996709E-003, 1.5996709E-003
 2.0900304E+002, 8.1144424E+001,-1.5232857E+001,-6.1051023E+001,-7.3199699E+000,-5.5752552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3936102E+000,-2.4650004E+000, 1.5996709E-003, 1.5996709E-003
 2.1000296E+002, 7.5689470E+001,-1.4242960E+001,-5.5225547E+001,-7.5543691E+000,-5.3189289E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0797927E+000,-1.3387242E+000, 1.5996709E-003, 1.5996709E-003
 2.1100053E+002, 7.8064556E+001,-1.4577004E+001,-5.5618491E+001,-7.5001225E+000,-5.4572700E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6933156E-001, 3.6348116E-001, 1.5996709E-003, 1.5996709E-003
 2.1200143E+002, 8.1601108E+001,-1.5443740E+001,-5.8858597E+001,-7.1993428E+000,-5.4793447E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3561226E-001, 9.3949076E-002, 1.5996709E-003, 1.5996709E-003
 2.1300211E+002, 7.9883329E+001,-1.5138665E+001,-5.8208263E+001,-8.2283016E+000,-5.3661329E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4796543E+000,-1.6972669E+000, 1.5996709E-003, 1.5996709E-003
 2.1400191E+002, 7.8626802E+001,-1.4666396E+001,-5.5732434E+001,-6.7018796E+000,-5.2121206E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8265788E+000, 1.5208801E+000, 1.5996709E-003, 1.5996709E-003
 2.1500258E+002, 8.1679409E+001,-1.5420761E+001,-5.7103721E+001,-7.5288521E+000,-5.5708528E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4367461E+000, 1.6205045E+000, 1.5996709E-003, 1.5996709E-003
 2.1600259E+002, 8.3046015E+001,-1.5839683E+001,-5.6598527E+001,-7.8477174E+000,-5.5459196E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0519525E+000, 2.7545424E+000, 1.5996709E-003, 1.5996709E-003
 2.1700148E+002, 7.7270388E+001,-1.4406565E+001,-6.0775387E+001,-6.5070518E+000,-5.4177649E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1692264E+000,-4.4240336E+000, 1.5996709E-003, 1.5996709E-003
