s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 3.1500193E+001, 9.1821163E+003,-2.8327029E+003,-6.3681815E+003,-3.6773881E+001, 5.1902184E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8614903E+001,-5.0351741E+001, 5.2134146E-001
 3.1800665E+001, 9.1036786E+003,-2.7818935E+003,-6.3378618E+003,-1.5921310E+001, 5.0988794E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8013799E+001,-2.6899118E+001, 5.2134146E-001
 3.2100189E+001, 8.1060027E+003,-2.5286249E+003,-5.6046806E+003, 3.8116472E+000, 4.8543675E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5050116E+001,-1.8636781E+001, 5.2134146E-001
 3.2400990E+001, 8.2702990E+003,-2.6140025E+003,-5.6384320E+003,-1.7789360E+000, 5.1909696E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5393546E+001, 2.1276495E+001, 5.2134146E-001
 3.2700951E+001, 9.0694877E+003,-2.8544752E+003,-6.1187426E+003,-4.7686200E+001, 5.1978664E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1689952E+001, 5.3781572E+001, 5.2134146E-001
 3.3001980E+001, 8.3763319E+003,-2.6681031E+003,-5.7500252E+003,-1.9121708E+001, 5.1272321E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2330234E+001,-5.5790864E+001, 5.2134146E-001
 3.3301205E+001, 8.4596952E+003,-2.6630207E+003,-5.7597977E+003,-1.2410817E+001, 5.2119583E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3701109E+001, 2.9677978E+001, 5.2134146E-001
 3.3602200E+001, 7.8682062E+003,-2.4652150E+003,-5.4959568E+003,-1.9746028E+001, 4.9839954E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2869122E+002,-1.0772767E+002, 5.2134146E-001
 3.3900116E+001, 8.9211096E+003,-2.7599488E+003,-6.0688915E+003,-3.4513999E+001, 5.2686105E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3524398E+001, 6.3023938E+001, 5.2134146E-001
 3.4200714E+001, 8.2623522E+003,-2.5249124E+003,-5.6967375E+003,-5.5196062E+001, 5.2190359E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4460638E+001,-9.2747443E+000, 5.2134146E-001
