Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,
20,10.165766,9.427699,9.473488,9.078663,9.280788,8.896794,9.169736,8.867005,13.791918,13.446834,13.366846,13.177175,12.558184,12.421355,11.809137,7.715747,12.576106,11.38926,11.619382,11.574103,11.612047,5.864225,5.649119,10.342207,14.185982,13.895308,13.594669,13.278878,13.063834,12.536517,11.832665,11.044385,56.149567,38.760962,31.070964,24.223606,15.747952,14.989826,14.408446,13.086076,8.696693,11.06854,14.636588,7.880779,9.685443,20.95064317,-0.0014832,-0.003093287,0.066400792,-0.576246989,1.223006518,,
21,10.101254,9.516105,9.485432,9.052364,9.254493,8.79399,9.14344,8.840711,13.803833,13.535062,13.340617,13.074586,12.531952,12.395092,11.744676,7.7277,12.549866,11.477577,11.669521,11.395038,11.662185,5.914479,5.661079,10.430589,14.236039,13.754745,13.530273,13.25265,13.037588,12.548442,11.882789,11.209081,55.406637,40.656603,31.966511,23.952966,15.51351,14.831442,14.478742,13.156446,8.843715,11.024376,14.592531,7.874825,9.755951,20.95064317,-0.0014832,-0.001996835,0.066400792,-0.469959629,1.147072758,,
22,10.254155,9.477875,9.447199,9.128853,9.254493,8.908741,9.258164,8.840711,14.756983,13.496908,13.340617,13.112757,12.570109,12.395092,11.744676,7.804208,12.588031,11.439385,11.593106,11.547837,11.662185,5.952774,5.699379,10.430589,14.312325,13.907223,13.606586,13.290797,13.113923,12.548442,11.959174,11.323643,54.853547,42.443355,31.102688,24.40679,15.475421,14.831442,14.516855,13.1946,8.767229,11.100812,14.592531,7.836563,9.679494,20.95064317,-0.0014832,7.31766E-05,-0.131146408,-0.075163789,0.615536438,,
23,10.336571,9.522076,9.529636,9.134825,9.222224,8.876464,9.225895,8.884925,17.998799,14.227639,13.346575,13.118716,12.537914,12.439243,11.788837,7.77193,12.555828,11.407158,11.599071,11.477405,11.66815,5.882162,5.628756,10.474778,14.280137,13.875062,13.612544,13.334903,13.119883,12.516236,12.04152,11.482346,55.313242,44.541884,32.77212,23.516624,15.493207,14.925464,14.572765,13.326866,8.861569,11.118647,14.534077,7.854424,9.812026,20.95064317,-0.0017586,-0.001510055,0.203041752,0.137510451,0.645890038,,
24,10.330602,9.36318,9.485432,9.052364,9.178011,8.908741,9.219923,8.80247,20.841242,14.831751,13.340617,13.112757,12.493794,12.471469,11.821068,7.7277,12.626195,11.401193,11.631314,11.547837,11.623978,5.876184,5.622777,10.507029,14.541158,13.907223,13.56843,13.328944,13.152089,12.548442,12.111935,11.476381,55.44924,48.571518,36.056584,22.293247,15.405168,15.066047,14.637122,13.314992,8.849666,11.06854,14.484084,7.880779,9.723672,20.94743782,0.0012636,-0.003823457,0.051174232,0.304505011,0.737050358,,
25,10.292379,9.516105,9.447199,9.128853,9.178011,8.908741,9.181682,8.917192,23.077121,15.365351,13.302467,13.074586,12.531952,12.509656,11.821068,7.765954,12.549866,11.401193,11.631314,11.509639,11.58577,5.876184,5.584476,10.545248,17.132028,13.792866,13.606586,13.328944,13.113923,12.548442,12.073746,11.552745,56.708009,53.160626,36.959604,21.200016,15.449189,15.1863,14.795484,13.282779,8.817376,11.150919,14.451889,7.924993,9.76785,20.94743782,0.0009882,-0.003093287,-0.024759528,0.304505011,0.737050358,,
26,10.298348,9.445615,9.491404,9.134825,9.145741,8.876464,9.264136,8.923165,25.427771,15.409408,13.346575,13.118716,12.499756,12.553804,11.827032,7.657165,12.593993,11.407158,11.599071,11.592,11.66815,5.920458,5.667058,10.589434,20.217424,13.875062,13.612544,13.334903,13.196214,12.516236,12.117898,11.55871,58.880536,54.820704,37.744051,20.137797,15.563456,15.414917,15.024099,13.206476,9.008581,11.074485,14.490017,7.848471,9.729621,20.95703292,0.0009882,-0.000657791,0.263848472,1.109323251,0.737050358,,
27,10.368824,9.477875,9.447199,9.052364,9.139769,8.908741,9.181682,8.878952,27.648456,15.251025,13.340617,13.150926,12.531952,12.547842,11.897455,7.765954,12.549866,11.439385,11.631314,11.547837,11.662185,5.876184,5.584476,10.583466,20.629093,13.830986,13.56843,13.405234,13.152089,12.548442,12.150123,11.590926,63.928998,55.901182,39.621166,19.656117,15.689568,15.541067,15.074058,13.103889,9.135197,11.048156,14.578134,7.936899,9.779746,20.95064317,-0.0017586,-0.001875539,0.142334552,0.319632051,0.554729718,,
28,10.451235,9.522076,9.529636,9.134825,9.260465,8.914714,9.187654,8.884925,28.972996,15.142641,13.499165,13.195055,12.614227,12.477431,11.941612,7.69542,12.746643,11.368965,11.675485,11.592,11.66815,5.882162,5.743659,10.627651,20.597062,13.91318,13.574388,13.334903,13.158049,12.439897,12.194273,11.55871,66.346876,56.153393,42.519496,19.460348,15.759807,15.53514,15.144323,13.212413,9.167485,11.118647,14.724698,7.854424,9.888479,20.95064317,-0.0006588,-0.004188941,0.370135832,0.532306291,0.402862198,,
29,10.489454,9.598535,9.453171,9.096581,9.260465,8.876464,9.149413,8.923165,28.445733,15.180754,13.461019,13.156886,12.614227,12.553804,11.941612,7.77193,12.822964,11.368965,11.675485,11.515604,11.706356,5.843867,5.781959,10.665868,21.16629,13.951297,13.6507,13.411193,13.196214,12.439897,12.270644,11.55871,68.738075,57.337862,44.902902,19.314349,15.879975,15.655352,15.264537,13.180197,9.020482,11.086374,14.730629,7.936899,9.856201,20.95064317,-0.0012096,-0.002971193,0.066400792,0.258924851,0.569956278,,
